Sample (50 kS/s),   mV
00500,           -376.00
00501,            520.00
00502,             56.00
00503,           -632.00
00504,            376.00
00505,            376.00
00506,           -600.00
00507,             32.00
00508,            656.00
00509,           -560.00
00510,           -192.00
00511,            624.00
00512,           -248.00
00513,           -480.00
00514,            512.00
00515,            120.00
00516,           -632.00
00517,            296.00
00518,            464.00
00519,           -592.00
00520,            -40.00
00521,            680.00
00522,           -504.00
00523,           -248.00
00524,            584.00
00525,           -128.00
00526,           -552.00
00527,            496.00
00528,            200.00
00529,           -600.00
00530,            176.00
00531,            560.00
00532,           -592.00
00533,            -88.00
00534,            664.00
00535,           -400.00
00536,           -344.00
00537,            560.00
00538,            -48.00
00539,           -592.00
00540,            424.00
00541,            288.00
00542,           -592.00
00543,             72.00
00544,            624.00
00545,           -576.00
00546,           -136.00
00547,            624.00
00548,           -296.00
00549,           -440.00
00550,            560.00
00551,             24.00
00552,           -584.00
00553,            336.00
00554,            392.00
00555,           -592.00
00556,             24.00
00557,            648.00
00558,           -520.00
00559,           -216.00
00560,            600.00
00561,           -208.00
00562,           -520.00
00563,            528.00
00564,             96.00
00565,           -584.00
00566,            224.00
00567,            496.00
00568,           -600.00
00569,            -24.00
00570,            640.00
00571,           -432.00
00572,           -312.00
00573,            608.00
00574,           -128.00
00575,           -552.00
00576,            472.00
00577,            192.00
00578,           -576.00
00579,            136.00
00580,            568.00
00581,           -584.00
00582,            -88.00
00583,            624.00
00584,           -344.00
00585,           -408.00
00586,            600.00
00587,            -72.00
00588,           -560.00
00589,            368.00
00590,            304.00
00591,           -584.00
00592,             80.00
00593,            608.00
00594,           -528.00
00595,           -168.00
00596,            616.00
00597,           -264.00
00598,           -472.00
00599,            584.00
00600,              8.00
00601,           -552.00
00602,            272.00
00603,            424.00
00604,           -592.00
00605,             32.00
00606,            608.00
00607,           -456.00
00608,           -264.00
00609,            624.00
00610,           -192.00
00611,           -512.00
00612,            504.00
00613,            112.00
00614,           -560.00
00615,            200.00
00616,            496.00
00617,           -592.00
00618,            -32.00
00619,            608.00
00620,           -368.00
00621,           -360.00
00622,            632.00
00623,           -144.00
00624,           -520.00
00625,            424.00
00626,            232.00
00627,           -592.00
00628,            144.00
00629,            544.00
00630,           -536.00
00631,           -120.00
00632,            616.00
00633,           -304.00
00634,           -432.00
00635,            608.00
00636,            -64.00
00637,           -536.00
00638,            336.00
00639,            336.00
00640,           -608.00
00641,             96.00
00642,            560.00
00643,           -472.00
00644,           -208.00
00645,            640.00
00646,           -256.00
00647,           -464.00
00648,            544.00
00649,             40.00
00650,           -552.00
00651,            272.00
00652,            424.00
00653,           -592.00
00654,             24.00
00655,            576.00
00656,           -400.00
00657,           -304.00
00658,            656.00
00659,           -200.00
00660,           -496.00
00661,            464.00
00662,            152.00
00663,           -584.00
00664,            216.00
00665,            472.00
00666,           -536.00
00667,            -56.00
00668,            608.00
00669,           -344.00
00670,           -376.00
00671,            632.00
00672,           -128.00
00673,           -504.00
00674,            400.00
00675,            264.00
00676,           -600.00
00677,            168.00
00678,            504.00
00679,           -480.00
00680,           -152.00
00681,            640.00
00682,           -304.00
00683,           -424.00
00684,            584.00
00685,            -24.00
00686,           -544.00
00687,            336.00
00688,            344.00
00689,           -592.00
00690,            104.00
00691,            528.00
00692,           -424.00
00693,           -248.00
00694,            656.00
00695,           -256.00
00696,           -440.00
00697,            512.00
00698,             80.00
00699,           -584.00
00700,            280.00
00701,            392.00
00702,           -552.00
00703,              8.00
00704,            568.00
00705,           -376.00
00706,           -320.00
00707,            640.00
