Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
,,10000, 2.5e-9, 4.450729234389409, 0.01, 0 
1 cm, 51
2 cm, 50
3 cm, 55
4 cm, 58
5 cm, 57
6 cm, 60
7 cm, 80
8 cm, 82
9 cm, 82
10 cm, 73
11 cm, 72
12 cm, 63
13 cm, 77
14 cm, 62
15 cm, 68
16 cm, 75
17 cm, 61
18 cm, 62
19 cm, 56
20 cm, 83
21 cm, 67
22 cm, 62
23 cm, 59
24 cm, 70
25 cm, 60
26 cm, 73
27 cm, 69
28 cm, 68
29 cm, 65
30 cm, 59
31 cm, 67
32 cm, 38
33 cm, 68
34 cm, 71
35 cm, 67
36 cm, 70
37 cm, 72
38 cm, 61
39 cm, 74
40 cm, 62
41 cm, 57
42 cm, 63
43 cm, 53
44 cm, 74
45 cm, 59
46 cm, 68
47 cm, 62
48 cm, 56
49 cm, 59
50 cm, 53
51 cm, 58
52 cm, 66
53 cm, 61
54 cm, 62
55 cm, 55
56 cm, 45
57 cm, 57
58 cm, 64
59 cm, 64
60 cm, 71
61 cm, 72
62 cm, 70
63 cm, 66
64 cm, 64
65 cm, 60
66 cm, 62
67 cm, 60
68 cm, 52
69 cm, 68
70 cm, 45
71 cm, 66
72 cm, 46
73 cm, 53
74 cm, 53
75 cm, 52
76 cm, 51
77 cm, 39
78 cm, 54
79 cm, 54
80 cm, 62
81 cm, 42
82 cm, 45
83 cm, 61
84 cm, 54
85 cm, 46
86 cm, 62
87 cm, 40
88 cm, 45
89 cm, 57
90 cm, 46
91 cm, 46
92 cm, 53
93 cm, 41
94 cm, 45
95 cm, 43
96 cm, 40
97 cm, 47
98 cm, 43
99 cm, 47
100 cm, 44
101 cm, 43
102 cm, 33
103 cm, 38
104 cm, 42
105 cm, 41
106 cm, 42
107 cm, 39
108 cm, 48
109 cm, 45
110 cm, 39
111 cm, 35
112 cm, 39
113 cm, 40
114 cm, 42
115 cm, 34
116 cm, 44
117 cm, 39
118 cm, 38
119 cm, 46
120 cm, 45
121 cm, 38
122 cm, 32
123 cm, 40
124 cm, 39
125 cm, 40
126 cm, 48
127 cm, 39
128 cm, 22
129 cm, 30
130 cm, 35
131 cm, 34
132 cm, 34
133 cm, 41
134 cm, 31
135 cm, 35
136 cm, 25
137 cm, 27
138 cm, 31
139 cm, 27
140 cm, 36
141 cm, 40
142 cm, 37
143 cm, 30
144 cm, 31
145 cm, 21
146 cm, 45
147 cm, 35
148 cm, 26
149 cm, 34
150 cm, 23
151 cm, 41
152 cm, 29
153 cm, 29
154 cm, 41
155 cm, 25
156 cm, 30
157 cm, 27
158 cm, 20
159 cm, 19
160 cm, 23
161 cm, 22
162 cm, 30
163 cm, 34
164 cm, 30
165 cm, 23
166 cm, 23
167 cm, 26
168 cm, 21
