Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
,,1000000,2.50E-09,0.504700661,0.01,4
0%,216,,,,,
0.01%,246,,,,,
0.02%,230,,,,,
0.03%,230,,,,,
0.04%,256,,,,,
0.05%,264,,,,,
0.06%,235,,,,,
0.07%,230,,,,,
0.08%,231,,,,,
0.09%,250,,,,,
0.10%,268,,,,,
0.11%,265,,,,,
0.12%,281,,,,,
0.13%,274,,,,,
0.14%,290,,,,,
0.15%,251,,,,,
0.16%,278,,,,,
0.17%,294,,,,,
0.18%,278,,,,,
0.19%,291,,,,,
0.20%,285,,,,,
0.21%,288,,,,,
0.22%,287,,,,,
0.23%,249,,,,,
0.24%,264,,,,,
0.25%,292,,,,,
0.26%,288,,,,,
0.27%,282,,,,,
0.28%,278,,,,,
0.29%,279,,,,,
0.30%,288,,,,,
0.31%,285,,,,,
0.32%,297,,,,,
0.33%,301,,,,,
0.34%,303,,,,,
0.35%,332,,,,,
0.36%,278,,,,,
0.37%,307,,,,,
0.38%,293,,,,,
0.39%,301,,,,,
0.40%,312,,,,,
0.41%,365,,,,,
0.42%,298,,,,,
0.43%,323,,,,,
0.44%,334,,,,,
0.45%,328,,,,,
0.46%,283,,,,,
0.47%,312,,,,,
0.48%,314,,,,,
0.49%,318,,,,,
0.50%,314,,,,,
0.51%,313,,,,,
0.52%,288,,,,,
0.53%,298,,,,,
0.54%,285,,,,,
0.55%,340,,,,,
0.56%,328,,,,,
0.57%,303,,,,,
0.58%,330,,,,,
0.59%,315,,,,,
0.60%,339,,,,,
0.61%,321,,,,,
0.62%,348,,,,,
0.63%,313,,,,,
0.64%,346,,,,,
0.65%,313,,,,,
0.66%,304,,,,,
0.67%,349,,,,,
0.68%,328,,,,,
0.69%,328,,,,,
0.70%,320,,,,,
0.71%,342,,,,,
0.72%,332,,,,,
0.73%,343,,,,,
0.74%,344,,,,,
0.75%,332,,,,,
0.76%,341,,,,,
0.77%,338,,,,,
0.78%,315,,,,,
0.79%,332,,,,,
0.80%,371,,,,,
0.81%,357,,,,,
0.82%,347,,,,,
0.83%,346,,,,,
0.84%,339,,,,,
0.85%,315,,,,,
0.86%,354,,,,,
0.87%,337,,,,,
0.88%,328,,,,,
0.89%,309,,,,,
0.90%,357,,,,,
0.91%,332,,,,,
0.92%,326,,,,,
0.93%,326,,,,,
0.94%,345,,,,,
0.95%,326,,,,,
0.96%,382,,,,,
0.97%,342,,,,,
0.98%,334,,,,,
0.99%,334,,,,,
1%,312,,,,,
1.01%,344,,,,,
1.02%,343,,,,,
1.03%,333,,,,,
1.04%,313,,,,,
1.05%,346,,,,,
1.06%,330,,,,,
1.07%,340,,,,,
1.08%,353,,,,,
1.09%,338,,,,,
1.10%,340,,,,,
