Max Height Percentage, Count, Total Collision Count, Time increment τ[s], MaxH, StartH, Count of y_0' < y_max 
,,1000000, 2.5e-9, 0.125899544,0.1,51
0%,3682,,,,
0.10%,3708,,,,
0.20%,3757,,,,
0.30%,3713,,,,
0.40%,3740,,,,
0.50%,3754,,,,
0.60%,3807,,,,
0.70%,3672,,,,
0.80%,3769,,,,
0.90%,3768,,,,
1%,3780,,,,
1.10%,3744,,,,
1.20%,3762,,,,
1.30%,3650,,,,
1.40%,3631,,,,
1.50%,3834,,,,
1.60%,3671,,,,
1.70%,3772,,,,
1.80%,3646,,,,
1.90%,3687,,,,
2%,3694,,,,
2.10%,3660,,,,
2.20%,3710,,,,
2.30%,3652,,,,
2.40%,3697,,,,
2.50%,3762,,,,
2.60%,3738,,,,
2.70%,3738,,,,
2.80%,3660,,,,
2.90%,3672,,,,
3%,3636,,,,
3.10%,3732,,,,
3.20%,3615,,,,
3.30%,3624,,,,
3.40%,3692,,,,
3.50%,3630,,,,
3.60%,3580,,,,
3.70%,3649,,,,
3.80%,3690,,,,
3.90%,3628,,,,
4%,3543,,,,
4.10%,3561,,,,
4.20%,3518,,,,
4.30%,3495,,,,
4.40%,3464,,,,
4.50%,3515,,,,
4.60%,3544,,,,
4.70%,3615,,,,
4.80%,3538,,,,
4.90%,3389,,,,
5%,3421,,,,
5.10%,3399,,,,
5.20%,3485,,,,
5.30%,3400,,,,
5.40%,3506,,,,
5.50%,3426,,,,
5.60%,3468,,,,
5.70%,3390,,,,
5.80%,3339,,,,
5.90%,3385,,,,
6%,3267,,,,
6.10%,3298,,,,
6.20%,3317,,,,
6.30%,3279,,,,
6.40%,3403,,,,
6.50%,3309,,,,
6.60%,3204,,,,
6.70%,3328,,,,
6.80%,3201,,,,
6.90%,3266,,,,
7%,3283,,,,
7.10%,3248,,,,
7.20%,3352,,,,
7.30%,3194,,,,
7.40%,3220,,,,
7.50%,3144,,,,
7.60%,3174,,,,
7.70%,3170,,,,
7.80%,3215,,,,
7.90%,3119,,,,
8%,3109,,,,
8.10%,3064,,,,
8.20%,3186,,,,
8.30%,3094,,,,
8.40%,3105,,,,
8.50%,3059,,,,
8.60%,2899,,,,
8.70%,3103,,,,
8.80%,3080,,,,
8.90%,3074,,,,
9%,3064,,,,
9.10%,2962,,,,
9.20%,3093,,,,
9.30%,3077,,,,
9.40%,3046,,,,
9.50%,2998,,,,
9.60%,3032,,,,
9.70%,3030,,,,
9.80%,3022,,,,
9.90%,2966,,,,
10%,2964,,,,
10.10%,2915,,,,
10.20%,2981,,,,
10.30%,2947,,,,
10.40%,2747,,,,
10.50%,2841,,,,
10.60%,2810,,,,
10.70%,2902,,,,
10.80%,2893,,,,
10.90%,2998,,,,
11%,2942,,,,
11.10%,2793,,,,
11.20%,2805,,,,
11.30%,2931,,,,
11.40%,2801,,,,
11.50%,2864,,,,
11.60%,2845,,,,
11.70%,2834,,,,
11.80%,2927,,,,
11.90%,2842,,,,
12%,2831,,,,
12.10%,2792,,,,
12.20%,2843,,,,
12.30%,2788,,,,
12.40%,2839,,,,
12.50%,2690,,,,
12.60%,2784,,,,
12.70%,2825,,,,
12.80%,2830,,,,
12.90%,2703,,,,
13%,2739,,,,
13.10%,2769,,,,
13.20%,2729,,,,
13.30%,2804,,,,
13.40%,2693,,,,
13.50%,2746,,,,
13.60%,2802,,,,
13.70%,2683,,,,
13.80%,2650,,,,
13.90%,2722,,,,
14%,2728,,,,
14.10%,2654,,,,
14.20%,2773,,,,
14.30%,2688,,,,
14.40%,2773,,,,
14.50%,2764,,,,
14.60%,2691,,,,
14.70%,2626,,,,
14.80%,2672,,,,
14.90%,2612,,,,
15%,2518,,,,
15.10%,2645,,,,
15.20%,2673,,,,
15.30%,2675,,,,
15.40%,2584,,,,
15.50%,2635,,,,
15.60%,2623,,,,
15.70%,2633,,,,
15.80%,2609,,,,
15.90%,2578,,,,
16%,2534,,,,
16.10%,2495,,,,
16.20%,2549,,,,
16.30%,2579,,,,
16.40%,2523,,,,
16.50%,2574,,,,
16.60%,2511,,,,
16.70%,2476,,,,
16.80%,2468,,,,
16.90%,2511,,,,
17%,2511,,,,
17.10%,2534,,,,
17.20%,2492,,,,
17.30%,2527,,,,
17.40%,2533,,,,
17.50%,2584,,,,
17.60%,2383,,,,
17.70%,2429,,,,
17.80%,2394,,,,
17.90%,2339,,,,
18%,2488,,,,
18.10%,2420,,,,
18.20%,2347,,,,
18.30%,2396,,,,
18.40%,2358,,,,
18.50%,2345,,,,
18.60%,2323,,,,
18.70%,2310,,,,
18.80%,2315,,,,
18.90%,2318,,,,
19%,2361,,,,
19.10%,2243,,,,
19.20%,2287,,,,
19.30%,2296,,,,
19.40%,2385,,,,
19.50%,2283,,,,
19.60%,2249,,,,
19.70%,2260,,,,
19.80%,2211,,,,
19.90%,2194,,,,
20%,2242,,,,
20.10%,2241,,,,
20.20%,2155,,,,
20.30%,2150,,,,
20.40%,2121,,,,
20.50%,2168,,,,
20.60%,2204,,,,
20.70%,2095,,,,
20.80%,2039,,,,
20.90%,2055,,,,
21%,2118,,,,
21.10%,2065,,,,
21.20%,2068,,,,
21.30%,1995,,,,
21.40%,2017,,,,
21.50%,2014,,,,
21.60%,2049,,,,
21.70%,2087,,,,
21.80%,1945,,,,
21.90%,1986,,,,
22%,1988,,,,
22.10%,2011,,,,
22.20%,2025,,,,
22.30%,2034,,,,
22.40%,1977,,,,
22.50%,1933,,,,
22.60%,1943,,,,
22.70%,1951,,,,
22.80%,1893,,,,
22.90%,1922,,,,
23%,1988,,,,
23.10%,1849,,,,
23.20%,1942,,,,
23.30%,1819,,,,
23.40%,1955,,,,
23.50%,1867,,,,
23.60%,1877,,,,
23.70%,1865,,,,
23.80%,1903,,,,
23.90%,1750,,,,
24%,1841,,,,
24.10%,1829,,,,
24.20%,1766,,,,
24.30%,1787,,,,
24.40%,1764,,,,
24.50%,1819,,,,
24.60%,1845,,,,
24.70%,1830,,,,
24.80%,1779,,,,
24.90%,1732,,,,
25%,1749,,,,
25.10%,1713,,,,
25.20%,1641,,,,
25.30%,1691,,,,
25.40%,1692,,,,
25.50%,1779,,,,
25.60%,1704,,,,
25.70%,1710,,,,
25.80%,1674,,,,
25.90%,1638,,,,
26%,1675,,,,
26.10%,1629,,,,
26.20%,1576,,,,
26.30%,1642,,,,
26.40%,1613,,,,
26.50%,1520,,,,
26.60%,1659,,,,
26.70%,1604,,,,
26.80%,1621,,,,
26.90%,1628,,,,
27%,1515,,,,
27.10%,1665,,,,
27.20%,1591,,,,
27.30%,1524,,,,
27.40%,1580,,,,
27.50%,1559,,,,
27.60%,1513,,,,
27.70%,1552,,,,
27.80%,1518,,,,
27.90%,1500,,,,
28%,1510,,,,
28.10%,1545,,,,
28.20%,1481,,,,
28.30%,1473,,,,
28.40%,1449,,,,
28.50%,1445,,,,
28.60%,1484,,,,
28.70%,1465,,,,
28.80%,1438,,,,
28.90%,1422,,,,
29%,1444,,,,
29.10%,1436,,,,
29.20%,1455,,,,
29.30%,1452,,,,
29.40%,1464,,,,
29.50%,1414,,,,
29.60%,1462,,,,
29.70%,1435,,,,
29.80%,1290,,,,
29.90%,1359,,,,
30%,1401,,,,
30.10%,1407,,,,
30.20%,1291,,,,
30.30%,1356,,,,
30.40%,1358,,,,
30.50%,1324,,,,
30.60%,1287,,,,
30.70%,1314,,,,
30.80%,1323,,,,
30.90%,1336,,,,
31%,1369,,,,
31.10%,1336,,,,
31.20%,1333,,,,
31.30%,1217,,,,
31.40%,1296,,,,
31.50%,1262,,,,
31.60%,1348,,,,
31.70%,1291,,,,
31.80%,1278,,,,
31.90%,1285,,,,
32%,1258,,,,
32.10%,1305,,,,
32.20%,1276,,,,
32.30%,1187,,,,
32.40%,1289,,,,
32.50%,1278,,,,
32.60%,1232,,,,
32.70%,1201,,,,
32.80%,1261,,,,
32.90%,1245,,,,
33%,1230,,,,
33.10%,1172,,,,
33.20%,1205,,,,
33.30%,1151,,,,
33.40%,1181,,,,
33.50%,1199,,,,
33.60%,1168,,,,
33.70%,1145,,,,
33.80%,1105,,,,
33.90%,1092,,,,
34%,1079,,,,
34.10%,1193,,,,
34.20%,1115,,,,
34.30%,1149,,,,
34.40%,1101,,,,
34.50%,1052,,,,
34.60%,1108,,,,
34.70%,1085,,,,
34.80%,1032,,,,
34.90%,1127,,,,
35%,1142,,,,
35.10%,1067,,,,
35.20%,1084,,,,
35.30%,1095,,,,
35.40%,1066,,,,
35.50%,1051,,,,
35.60%,1042,,,,
35.70%,1065,,,,
35.80%,1027,,,,
35.90%,1026,,,,
36%,1044,,,,
36.10%,1020,,,,
36.20%,999,,,,
36.30%,1090,,,,
36.40%,957,,,,
36.50%,1041,,,,
36.60%,1085,,,,
36.70%,952,,,,
36.80%,925,,,,
36.90%,961,,,,
37%,1008,,,,
37.10%,955,,,,
37.20%,939,,,,
37.30%,941,,,,
37.40%,926,,,,
37.50%,1018,,,,
37.60%,902,,,,
37.70%,933,,,,
37.80%,930,,,,
37.90%,879,,,,
38%,879,,,,
38.10%,906,,,,
38.20%,883,,,,
38.30%,871,,,,
38.40%,859,,,,
38.50%,893,,,,
38.60%,871,,,,
38.70%,924,,,,
38.80%,928,,,,
38.90%,858,,,,
39%,883,,,,
39.10%,862,,,,
39.20%,866,,,,
39.30%,849,,,,
39.40%,834,,,,
39.50%,806,,,,
39.60%,839,,,,
39.70%,831,,,,
39.80%,874,,,,
39.90%,806,,,,
40%,830,,,,
40.10%,894,,,,
40.20%,791,,,,
40.30%,724,,,,
40.40%,836,,,,
40.50%,811,,,,
40.60%,821,,,,
40.70%,786,,,,
40.80%,768,,,,
40.90%,814,,,,
41%,802,,,,
41.10%,797,,,,
41.20%,765,,,,
41.30%,754,,,,
41.40%,740,,,,
41.50%,790,,,,
41.60%,723,,,,
41.70%,784,,,,
41.80%,755,,,,
41.90%,696,,,,
42%,785,,,,
42.10%,695,,,,
42.20%,721,,,,
42.30%,715,,,,
42.40%,696,,,,
42.50%,711,,,,
42.60%,708,,,,
42.70%,697,,,,
42.80%,710,,,,
42.90%,649,,,,
43%,673,,,,
43.10%,700,,,,
43.20%,701,,,,
43.30%,613,,,,
43.40%,654,,,,
43.50%,657,,,,
43.60%,674,,,,
43.70%,646,,,,
43.80%,668,,,,
43.90%,646,,,,
44%,661,,,,
44.10%,649,,,,
44.20%,676,,,,
44.30%,617,,,,
44.40%,639,,,,
44.50%,625,,,,
44.60%,635,,,,
44.70%,604,,,,
44.80%,637,,,,
44.90%,578,,,,
45%,614,,,,
45.10%,616,,,,
45.20%,623,,,,
45.30%,554,,,,
45.40%,621,,,,
45.50%,549,,,,
45.60%,588,,,,
45.70%,615,,,,
