"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,0.36684965001
0.005,0.358730067121
0.01,0.358730067121
0.015,0.358730067121
0.02,0.354793299659
0.025,0.350610484231
0.03,0.342490901341
0.035,0.346673716769
0.04,0.342490901341
0.045,0.342490901341
0.05,0.342490901341
0.055,0.338554133879
0.06,0.338554133879
0.065,0.334371318451
0.07,0.33043455099
0.075,0.33043455099
0.08,0.326251735562
0.085,0.3223149681
0.09,0.3223149681
0.095,0.318132152672
0.1,0.318132152672
0.105,0.313949337244
0.11,0.313949337244
0.115,0.310012569782
0.12,0.310012569782
0.125,0.310012569782
0.13,0.305829754354
0.135,0.305829754354
0.14,0.301892986892
0.145,0.301892986892
0.15,0.297710171464
0.155,0.301892986892
0.16,0.297710171464
0.165,0.293773404002
0.17,0.293773404002
0.175,0.297710171464
0.18,0.289590588574
0.185,0.293773404002
0.19,0.285653821113
0.195,0.285653821113
0.2,0.285653821113
0.205,0.281471005685
0.21,0.285653821113
0.215,0.281471005685
0.22,0.281471005685
0.225,0.281471005685
0.23,0.281471005685
0.235,0.277534238223
0.24,0.277534238223
0.245,0.277534238223
0.25,0.273351422795
0.255,0.269414655333
0.26,0.273351422795
0.265,0.269414655333
0.27,0.269414655333
0.275,0.265231839905
0.28,0.265231839905
0.285,0.269414655333
0.29,0.269414655333
0.295,0.261049024477
0.3,0.265231839905
0.305,0.261049024477
0.31,0.261049024477
0.315,0.265231839905
0.32,0.261049024477
0.325,0.257112257015
0.33,0.257112257015
0.335,0.261049024477
0.34,0.257112257015
0.345,0.257112257015
0.35,0.252929441587
0.355,0.257112257015
0.36,0.257112257015
0.365,0.257112257015
0.37,0.252929441587
0.375,0.252929441587
0.38,0.252929441587
0.385,0.252929441587
0.39,0.252929441587
0.395,0.248992674125
0.4,0.248992674125
0.405,0.252929441587
0.41,0.248992674125
0.415,0.248992674125
0.42,0.248992674125
0.425,0.248992674125
0.43,0.244809858697
0.435,0.244809858697
0.44,0.248992674125
0.445,0.248992674125
0.45,0.244809858697
0.455,0.244809858697
0.46,0.244809858697
0.465,0.240873091236
0.47,0.244809858697
0.475,0.240873091236
0.48,0.244809858697
0.485,0.244809858697
0.49,0.244809858697
0.495,0.244809858697
0.5,0.236690275808
0.505,0.240873091236
0.51,0.236690275808
0.515,0.236690275808
0.52,0.240873091236
0.525,0.240873091236
0.53,0.236690275808
0.535,0.240873091236
0.54,0.240873091236
0.545,0.236690275808
0.55,0.236690275808
0.555,0.236690275808
0.56,0.236690275808
0.565,0.236690275808
0.57,0.240873091236
0.575,0.240873091236
0.58,0.232753508346
0.585,0.236690275808
0.59,0.232753508346
0.595,0.236690275808
0.6,0.232753508346
0.605,0.236690275808
0.61,0.232753508346
0.615,0.232753508346
0.62,0.232753508346
0.625,0.236690275808
0.63,0.232753508346
0.635,0.232753508346
0.64,0.236690275808
0.645,0.236690275808
0.65,0.232753508346
0.655,0.232753508346
0.66,0.232753508346
0.665,0.232753508346
0.67,0.232753508346
0.675,0.232753508346
0.68,0.232753508346
0.685,0.236690275808
0.69,0.228570692918
0.695,0.228570692918
0.7,0.236690275808
0.705,0.232753508346
0.71,0.228570692918
0.715,0.228570692918
0.72,0.228570692918
0.725,0.228570692918
0.73,0.228570692918
0.735,0.228570692918
0.74,0.232753508346
0.745,0.232753508346
0.75,0.228570692918
0.755,0.232753508346
0.76,0.232753508346
0.765,0.232753508346
0.77,0.228570692918
0.775,0.228570692918
0.78,0.228570692918
0.785,0.232753508346
0.79,0.232753508346
0.795,0.232753508346
0.8,0.232753508346
0.805,0.232753508346
0.81,0.232753508346
0.815,0.232753508346
0.82,0.236690275808
0.825,0.236690275808
0.83,0.232753508346
0.835,0.236690275808
0.84,0.236690275808
0.845,0.236690275808
0.85,0.240873091236
0.855,0.244809858697
0.86,0.248992674125
0.865,0.252929441587
0.87,0.248992674125
0.875,0.248992674125
0.88,0.257112257015
0.885,0.261049024477
0.89,0.261049024477
0.895,0.265231839905
0.9,0.269414655333
0.905,0.273351422795
0.91,0.269414655333
0.915,0.269414655333
0.92,0.269414655333
0.925,0.265231839905
0.93,0.265231839905
0.935,0.261049024477
0.94,0.261049024477
0.945,0.257112257015
0.95,0.257112257015
0.955,0.261049024477
0.96,0.257112257015
0.965,0.257112257015
0.97,0.257112257015
0.975,0.257112257015
0.98,0.257112257015
0.985,0.257112257015
0.99,0.261049024477
0.995,0.265231839905
1,0.261049024477
1.005,0.265231839905
1.01,0.261049024477
1.015,0.257112257015
1.02,0.257112257015
1.025,0.261049024477
1.03,0.257112257015
1.035,0.261049024477
1.04,0.257112257015
1.045,0.257112257015
1.05,0.252929441587
1.055,0.252929441587
1.06,0.257112257015
1.065,0.257112257015
1.07,0.257112257015
1.075,0.252929441587
1.08,0.252929441587
1.085,0.252929441587
1.09,0.252929441587
1.095,0.257112257015
1.1,0.252929441587
1.105,0.252929441587
1.11,0.252929441587
1.115,0.248992674125
1.12,0.248992674125
1.125,0.252929441587
1.13,0.252929441587
1.135,0.252929441587
1.14,0.248992674125
1.145,0.252929441587
1.15,0.248992674125
1.155,0.248992674125
1.16,0.244809858697
1.165,0.248992674125
1.17,0.248992674125
1.175,0.248992674125
1.18,0.248992674125
1.185,0.248992674125
1.19,0.248992674125
1.195,0.248992674125
1.2,0.248992674125
1.205,0.244809858697
1.21,0.244809858697
1.215,0.248992674125
1.22,0.244809858697
1.225,0.244809858697
1.23,0.248992674125
1.235,0.244809858697
1.24,0.240873091236
1.245,0.244809858697
1.25,0.244809858697
1.255,0.244809858697
1.26,0.240873091236
1.265,0.240873091236
1.27,0.244809858697
1.275,0.244809858697
1.28,0.244809858697
1.285,0.244809858697
1.29,0.244809858697
1.295,0.240873091236
1.3,0.240873091236
1.305,0.240873091236
1.31,0.240873091236
1.315,0.240873091236
1.32,0.240873091236
1.325,0.240873091236
1.33,0.240873091236
1.335,0.244809858697
1.34,0.240873091236
1.345,0.240873091236
1.35,0.236690275808
1.355,0.240873091236
1.36,0.236690275808
1.365,0.236690275808
1.37,0.232753508346
1.375,0.240873091236
1.38,0.232753508346
1.385,0.236690275808
1.39,0.236690275808
1.395,0.240873091236
1.4,0.236690275808
1.405,0.236690275808
1.41,0.236690275808
1.415,0.232753508346
1.42,0.232753508346
1.425,0.236690275808
1.43,0.228570692918
1.435,0.232753508346
1.44,0.236690275808
1.445,0.228570692918
1.45,0.228570692918
1.455,0.228570692918
1.46,0.228570692918
1.465,0.228570692918
1.47,0.228570692918
1.475,0.232753508346
1.48,0.232753508346
1.485,0.228570692918
1.49,0.232753508346
1.495,0.232753508346
1.5,0.228570692918
1.505,0.232753508346
1.51,0.232753508346
1.515,0.228570692918
1.52,0.228570692918
1.525,0.232753508346
1.53,0.228570692918
1.535,0.232753508346
1.54,0.232753508346
1.545,0.232753508346
1.55,0.228570692918
1.555,0.228570692918
1.56,0.228570692918
1.565,0.228570692918
1.57,0.228570692918
1.575,0.228570692918
1.58,0.228570692918
1.585,0.228570692918
1.59,0.228570692918
1.595,0.228570692918
1.6,0.228570692918
1.605,0.228570692918
1.61,0.228570692918
1.615,0.228570692918
1.62,0.228570692918
1.625,0.232753508346
1.63,0.228570692918
1.635,0.228570692918
1.64,0.232753508346
1.645,0.232753508346
1.65,0.232753508346
1.655,0.232753508346
1.66,0.232753508346
1.665,0.228570692918
1.67,0.232753508346
1.675,0.236690275808
1.68,0.236690275808
1.685,0.244809858697
1.69,0.269414655333
1.695,0.3223149681
1.7,0.558274967836
1.705,1.24573298584
1.71,1.11557361163
1.715,0.326251735562
1.72,0.257112257015
1.725,0.790052152144
1.73,1.20095225596
1.735,0.371032465438
1.74,0.301892986892
1.745,0.920211526347
1.75,1.04643413309
1.755,0.301892986892
1.76,0.285653821113
1.765,0.920211526347
1.77,1.09121486296
1.775,0.310012569782
1.78,0.269414655333
1.785,0.86731121358
1.79,1.14411517573
1.795,0.358730067121
1.8,0.3223149681
1.805,0.993533820321
1.81,0.993533820321
1.815,0.289590588574
1.82,0.293773404002
1.825,0.952935905872
1.83,1.04225131766
1.835,0.297710171464
1.84,0.273351422795
1.845,0.916274758885
1.85,1.10745402874
1.855,0.342490901341
1.86,0.338554133879
1.865,1.04225131766
1.87,0.961055488762
1.875,0.285653821113
1.88,0.305829754354
1.885,1.0097729861
1.89,1.0097729861
1.895,0.289590588574
1.9,0.281471005685
1.905,0.940633507555
1.91,1.07497569719
1.915,0.33043455099
1.92,0.338554133879
1.925,1.05037090055
1.93,0.940633507555
1.935,0.281471005685
1.94,0.305829754354
1.945,1.00165340321
1.95,0.993533820321
1.955,0.289590588574
1.96,0.281471005685
1.965,0.928331109237
1.97,1.07079288176
1.975,0.334371318451
1.98,0.338554133879
1.985,1.05037090055
1.99,0.944816322983
1.995,0.281471005685
2,0.305829754354
2.005,1.00165340321
2.01,1.01789256899
2.015,0.293773404002
2.02,0.277534238223
2.025,0.920211526347
2.03,1.08703204754
2.035,0.342490901341
2.04,0.334371318451
2.045,1.03019496731
2.05,0.969175071652
2.055,0.285653821113
2.06,0.297710171464
2.065,0.969175071652
2.07,1.05455371598
2.075,0.301892986892
2.08,0.269414655333
2.085,0.88355037936
2.09,1.12787600995
2.095,0.350610484231
2.1,0.3223149681
2.105,0.985414237432
2.11,1.01789256899
2.115,0.297710171464
2.12,0.289590588574
2.125,0.920211526347
2.13,1.10745402874
2.135,0.313949337244
2.14,0.261049024477
2.145,0.826713299131
2.15,1.18889590561
2.155,0.371032465438
2.16,0.313949337244
2.165,0.916274758885
2.17,1.09515163043
2.175,0.313949337244
2.18,0.273351422795
2.185,0.842952464911
2.19,1.17265673983
2.195,0.342490901341
2.2,0.252929441587
2.205,0.741334654806
2.21,1.24573298584
2.215,0.403510796998
2.22,0.297710171464
2.225,0.830896114559
2.23,1.17265673983
2.235,0.342490901341
2.24,0.261049024477
2.245,0.749454237695
2.25,1.24991580127
2.255,0.379152048328
2.26,0.240873091236
2.265,0.643653612162
2.27,1.30281611403
2.275,0.460593925192
2.28,0.285653821113
2.285,0.725095489026
2.29,1.24573298584
2.295,0.387271631218
2.3,0.252929441587
2.305,0.643653612162
2.31,1.31093569692
2.315,0.440171943985
2.32,0.240873091236
2.325,0.54178975409
2.33,1.33111163016
2.335,0.5336701712
2.34,0.281471005685
2.345,0.611175280603
2.35,1.29469653114
2.355,0.456411109764
2.36,0.244809858697
2.365,0.529733403739
2.37,1.31905527981
2.375,0.529733403739
2.38,0.236690275808
2.385,0.448291526875
2.39,1.2986332986
2.395,0.639470796734
2.4,0.277534238223
2.405,0.509311422531
2.41,1.2986332986
2.415,0.566394550726
2.42,0.240873091236
2.425,0.432052361095
2.43,1.28657694825
2.435,0.664075593369
2.44,0.248992674125
2.445,0.36684965001
2.45,1.22531100463
2.455,0.814410900814
2.46,0.289590588574
2.465,0.415813195315
2.47,1.24991580127
2.475,0.741334654806
2.48,0.252929441587
2.485,0.350610484231
2.49,1.16035434151
2.495,0.87543079647
2.5,0.269414655333
2.505,0.297710171464
2.51,1.03413173477
2.515,1.03019496731
2.52,0.318132152672
2.525,0.346673716769
2.53,1.09515163043
2.535,0.961055488762
2.54,0.277534238223
2.545,0.293773404002
2.55,0.973111839114
2.555,1.09515163043
2.56,0.310012569782
2.565,0.257112257015
2.57,0.818593716242
2.575,1.22137423717
2.58,0.383334863756
2.585,0.297710171464
2.59,0.871494029008
2.595,1.17265673983
2.6,0.334371318451
2.605,0.257112257015
2.61,0.741334654806
2.615,1.29051371571
2.62,0.391454446646
2.625,0.236690275808
2.63,0.598872882285
2.635,1.3557164268
2.64,0.49725507218
2.645,0.277534238223
2.65,0.643653612162
2.655,1.32299204727
2.66,0.448291526875
2.665,0.240873091236
2.67,0.529733403739
2.675,1.35965319426
2.68,0.550155384946
2.685,0.232753508346
2.69,0.427869545667
2.695,1.32299204727
2.7,0.696553924929
2.705,0.277534238223
2.71,0.464530692654
2.715,1.31487246438
2.72,0.647590379624
2.725,0.244809858697
2.73,0.379152048328
2.735,1.24573298584
2.74,0.802354550462
2.745,0.252929441587
2.75,0.310012569782
2.755,1.09933444585
2.76,0.981231422003
2.765,0.310012569782
2.77,0.350610484231
2.775,1.10745402874
2.78,0.944816322983
2.785,0.281471005685
2.79,0.289590588574
2.795,0.961055488762
2.8,1.11557361163
2.805,0.318132152672
2.81,0.248992674125
2.815,0.777995801793
2.82,1.26615496704
2.825,0.403510796998
2.83,0.289590588574
2.835,0.802354550462
2.84,1.23761340295
2.845,0.36684965001
2.85,0.248992674125
2.855,0.643653612162
2.86,1.33947726102
2.865,0.452474342303
2.87,0.236690275808
2.875,0.49725507218
2.88,1.3557164268
2.885,0.594690066857
2.89,0.273351422795
2.895,0.529733403739
2.9,1.34341402848
