t, peaks/s, omega 
3.8,47.8,100.11208589439474
3.9,47.8,100.11208589439474
4.0,47.8,100.11208589439474
4.1,47.6,99.6932068739161
4.2,47.4,99.27432785343746
4.3,47.4,99.27432785343746
4.4,47.2,98.85544883295883
4.5,47.0,98.43656981248019
4.6,46.8,98.01769079200153
4.7,46.8,98.01769079200153
4.8,46.6,97.5988117715229
4.9,46.4,97.17993275104426
5.0,46.0,96.34217471008698
5.1,46.0,96.34217471008698
5.2,45.6,95.50441666912972
5.3,45.6,95.50441666912972
5.4,45.4,95.08553764865106
5.5,45.4,95.08553764865106
5.6,45.2,94.66665862817244
5.7,45.2,94.66665862817244
5.8,45.0,94.2477796076938
5.9,44.8,93.82890058721516
6.0,44.8,93.82890058721516
6.1,44.6,93.41002156673652
6.2,44.6,93.41002156673652
6.3,44.4,92.99114254625788
6.4,44.4,92.99114254625788
6.5,44.2,92.57226352577925
6.6,44.2,92.57226352577925
6.7,43.8,91.73450548482195
6.8,43.6,91.31562646434332
6.9,43.6,91.31562646434332
7.0,43.4,90.89674744386468
7.1,43.2,90.47786842338604
7.2,43.0,90.0589894029074
7.3,43.0,90.0589894029074
7.4,42.8,89.64011038242876
7.5,42.6,89.22123136195013
7.6,42.4,88.80235234147148
7.7,42.4,88.80235234147148
7.8,42.4,88.80235234147148
7.9,42.2,88.38347332099285
8.0,42.2,88.38347332099285
8.1,42.2,88.38347332099285
8.2,42.2,88.38347332099285
8.3,41.8,87.54571528003557
8.4,41.6,87.12683625955692
8.5,41.4,86.70795723907828
8.6,41.2,86.28907821859967
8.7,41.0,85.870199198121
8.8,40.8,85.45132017764236
8.9,40.6,85.03244115716375
9.0,40.4,84.61356213668509
9.1,40.2,84.19468311620646
9.2,40.0,83.77580409572782
9.3,40.0,83.77580409572782
9.4,40.0,83.77580409572782
9.5,40.0,83.77580409572782
9.6,40.0,83.77580409572782
9.7,40.0,83.77580409572782
9.8,40.0,83.77580409572782
9.9,40.0,83.77580409572782
10.0,40.0,83.77580409572782
10.1,40.0,83.77580409572782
10.2,40.0,83.77580409572782
10.3,40.0,83.77580409572782
10.4,39.8,83.35692507524918
10.5,39.6,82.93804605477054
10.6,39.4,82.5191670342919
10.7,39.2,82.10028801381327
10.8,39.0,81.68140899333461
10.9,38.8,81.26252997285597
11.0,38.6,80.84365095237735
11.1,38.4,80.4247719318987
11.2,38.2,80.00589291142008
11.3,38.0,79.58701389094142
11.4,38.0,79.58701389094142
11.5,38.0,79.58701389094142
11.6,38.0,79.58701389094142
11.7,37.8,79.16813487046278
11.8,37.6,78.74925584998415
11.9,37.6,78.74925584998415
12.0,37.4,78.33037682950551
12.1,37.2,77.91149780902687
12.2,37.2,77.91149780902687
12.3,37.0,77.49261878854823
12.4,36.8,77.07373976806959
12.5,36.8,77.07373976806959
12.6,36.6,76.65486074759096
12.7,36.6,76.65486074759096
12.8,36.8,77.07373976806959
12.9,36.6,76.65486074759096
13.0,36.6,76.65486074759096
13.1,36.6,76.65486074759096
13.2,36.4,76.2359817271123
13.3,36.2,75.81710270663368
13.4,36.2,75.81710270663368
13.5,35.8,74.9793446656764
13.6,35.8,74.9793446656764
13.7,35.6,74.56046564519777
13.8,35.4,74.14158662471911
13.9,35.2,73.72270760424048
14.0,35.2,73.72270760424048
14.1,35.0,73.30382858376184
14.2,35.0,73.30382858376184
14.3,35.0,73.30382858376184
14.4,35.0,73.30382858376184
14.5,35.0,73.30382858376184
14.6,34.8,72.8849495632832
14.7,34.8,72.8849495632832
14.8,34.6,72.46607054280456
14.9,34.6,72.46607054280456
15.0,34.4,72.04719152232592
15.1,34.4,72.04719152232592
15.2,34.2,71.62831250184729
15.3,34.2,71.62831250184729
15.4,33.8,70.79055446089
15.5,33.8,70.79055446089
15.6,33.8,70.79055446089
15.7,33.6,70.37167544041137
15.8,33.6,70.37167544041137
15.9,33.6,70.37167544041137
16.0,33.4,69.95279641993272
16.1,33.2,69.5339173994541
16.2,33.2,69.5339173994541
16.3,33.0,69.11503837897546
16.4,33.0,69.11503837897546
16.5,33.0,69.11503837897546
16.6,33.0,69.11503837897546
16.7,33.0,69.11503837897546
16.8,32.8,68.6961593584968
16.9,32.6,68.27728033801817
17.0,32.6,68.27728033801817
17.1,32.6,68.27728033801817
17.2,32.4,67.85840131753953
17.3,32.4,67.85840131753953
17.4,32.4,67.85840131753953
17.5,32.0,67.02064327658225
17.6,31.6,66.18288523562498
17.7,31.6,66.18288523562498
17.8,31.6,66.18288523562498
17.9,31.6,66.18288523562498
18.0,31.6,66.18288523562498
18.1,31.6,66.18288523562498
18.2,31.4,65.76400621514632
18.3,31.2,65.3451271946677
18.4,31.0,64.92624817418906
18.5,31.0,64.92624817418906
18.6,30.8,64.50736915371043
18.7,30.6,64.08849013323179
18.8,30.6,64.08849013323179
18.9,30.6,64.08849013323179
19.0,30.6,64.08849013323179
19.1,30.8,64.50736915371043
19.2,31.0,64.92624817418906
19.3,31.0,64.92624817418906
19.4,31.0,64.92624817418906
19.5,31.0,64.92624817418906
19.6,31.0,64.92624817418906
19.7,30.6,64.08849013323179
19.8,30.2,63.2507320922745
19.9,29.8,62.41297405131723
20.0,29.4,61.575216010359945
20.1,29.0,60.73745796940267
20.2,29.0,60.73745796940267
20.3,29.0,60.73745796940267
20.4,29.0,60.73745796940267
20.5,29.0,60.73745796940267
20.6,29.0,60.73745796940267
20.7,29.2,61.156336989881304
20.8,29.2,61.156336989881304
20.9,29.2,61.156336989881304
21.0,29.2,61.156336989881304
21.1,29.2,61.156336989881304
21.2,29.0,60.73745796940267
21.3,29.0,60.73745796940267
21.4,29.0,60.73745796940267
21.5,28.8,60.31857894892403
21.6,28.6,59.89969992844539
21.7,28.4,59.480820907966745
21.8,28.4,59.480820907966745
21.9,28.4,59.480820907966745
