Unit:(mV)
                     CH1         CH2
Frequency      13.682 Hz   11.901 Hz
00001             -28.00     -240.00
00002             -28.00     -280.00
00003             -76.00     -800.00
00004            -120.00    -1280.00
00005            -128.00    -1520.00
00006            -124.00    -1480.00
00007            -124.00    -1480.00
00008            -124.00    -1520.00
00009            -120.00    -1520.00
00010            -124.00    -1560.00
00011            -116.00    -1560.00
00012             -88.00    -1560.00
00013             -44.00    -1520.00
00014             -24.00    -1160.00
00015             -28.00     -600.00
00016             -24.00     -320.00
00017             -24.00     -280.00
00018             -28.00     -320.00
00019             -28.00     -240.00
00020             -36.00     -240.00
00021             -72.00     -240.00
00022             -88.00     -160.00
00023             -80.00     -200.00
00024             -80.00     -480.00
00025             -76.00    -1080.00
00026             -76.00    -1480.00
00027             -76.00    -1520.00
00028             -76.00    -1480.00
00029             -68.00    -1520.00
00030             -56.00    -1520.00
00031             -36.00    -1560.00
00032             -24.00    -1560.00
00033             -28.00    -1560.00
00034             -28.00    -1560.00
00035             -24.00    -1360.00
00036             -28.00     -880.00
00037             -28.00     -280.00
00038             -32.00     -280.00
00039             -64.00     -240.00
00040            -108.00     -240.00
00041            -124.00     -240.00
00042            -116.00     -240.00
00043            -116.00     -240.00
00044            -116.00     -160.00
00045            -124.00     -280.00
00046            -120.00     -920.00
00047            -120.00    -1480.00
00048            -116.00    -1680.00
00049             -92.00    -1640.00
00050             -56.00    -1680.00
00051             -36.00    -1680.00
00052             -24.00    -1720.00
00053             -28.00    -1720.00
00054             -24.00    -1720.00
00055             -28.00    -1720.00
00056             -28.00    -1760.00
00057             -24.00    -1440.00
00058             -32.00     -880.00
00059             -48.00     -320.00
00060             -96.00     -360.00
00061            -120.00     -320.00
00062            -116.00     -280.00
00063            -128.00     -280.00
00064            -128.00     -280.00
00065            -124.00     -280.00
00066            -124.00     -280.00
00067            -120.00     -280.00
00068            -124.00     -920.00
00069            -120.00    -1520.00
00070             -96.00    -1760.00
00071             -52.00    -1840.00
00072             -32.00    -1760.00
00073             -28.00    -1840.00
00074             -28.00    -1840.00
00075             -32.00    -1880.00
00076             -28.00    -1840.00
00077             -24.00    -1840.00
00078             -24.00    -1880.00
00079             -28.00    -1760.00
00080             -64.00    -1240.00
00081            -108.00     -360.00
00082            -120.00     -280.00
00083            -124.00     -320.00
00084            -116.00     -280.00
00085            -120.00     -240.00
00086            -124.00     -280.00
00087            -116.00     -240.00
00088            -120.00     -240.00
00089            -112.00     -160.00
00090            -116.00     -400.00
00091            -112.00    -1000.00
00092             -80.00    -1440.00
00093             -48.00    -1560.00
00094             -28.00    -1520.00
00095             -24.00    -1560.00
00096             -24.00    -1600.00
00097             -28.00    -1560.00
00098             -32.00    -1560.00
00099             -24.00    -1560.00
00100             -24.00    -1640.00
00101             -32.00    -1680.00
00102             -28.00    -1480.00
00103             -32.00    -1040.00
00104             -40.00     -400.00
00105             -76.00     -320.00
00106            -100.00     -360.00
00107            -116.00     -280.00
00108            -120.00     -320.00
00109            -120.00     -240.00
00110            -124.00     -240.00
00111            -124.00     -280.00
00112            -120.00     -240.00
00113            -120.00     -400.00
00114            -116.00     -920.00
00115            -120.00    -1400.00
00116            -120.00    -1560.00
00117            -120.00    -1560.00
00118            -124.00    -1600.00
00119            -116.00    -1640.00
00120            -100.00    -1640.00
00121             -72.00    -1640.00
00122             -36.00    -1640.00
00123             -28.00    -1680.00
00124             -28.00    -1680.00
00125             -28.00    -1520.00
00126             -32.00    -1040.00
00127             -24.00     -400.00
00128             -32.00     -320.00
00129             -28.00     -320.00
00130             -28.00     -320.00
00131             -32.00     -320.00
00132             -32.00     -280.00
00133             -32.00     -280.00
00134             -48.00     -240.00
00135             -80.00     -240.00
00136            -112.00     -400.00
00137            -124.00     -720.00
00138            -128.00     -960.00
00139            -128.00    -1000.00
00140            -124.00    -1000.00
00141            -124.00    -1000.00
00142            -128.00    -1000.00
00143            -124.00    -1040.00
00144            -124.00    -1040.00
00145            -124.00    -1080.00
00146            -128.00    -1040.00
00147            -128.00    -1000.00
00148            -124.00     -760.00
00149            -108.00     -400.00
00150             -80.00     -280.00
00151             -48.00     -280.00
00152             -32.00     -280.00
00153             -24.00     -280.00
00154             -28.00     -280.00
00155             -32.00     -280.00
00156             -28.00     -280.00
00157             -28.00     -280.00
00158             -32.00     -600.00
00159             -28.00    -1280.00
00160             -28.00    -1720.00
00161             -28.00    -1840.00
00162             -28.00    -1800.00
00163             -44.00    -1840.00
00164             -68.00    -1840.00
00165             -96.00    -1840.00
00166            -116.00    -1880.00
00167            -120.00    -1880.00
00168            -116.00    -1880.00
00169            -116.00    -1720.00
00170            -116.00    -1200.00
00171            -116.00     -400.00
00172            -116.00     -320.00
00173            -120.00     -320.00
00174            -116.00     -280.00
