Unit:(mV)
                     CH1         CH2
Frequency      14.307 Hz    5.858 Hz
00001            -120.00    -1760.00
00002            -124.00    -1720.00
00003            -120.00    -1640.00
00004            -116.00    -1600.00
00005            -120.00    -1560.00
00006            -116.00    -1520.00
00007            -112.00    -1400.00
00008            -104.00    -1360.00
00009             -96.00    -1280.00
00010             -84.00    -1120.00
00011             -72.00    -1080.00
00012             -64.00    -1000.00
00013             -48.00     -920.00
00014             -36.00     -840.00
00015             -32.00     -760.00
00016             -32.00     -640.00
00017             -28.00     -480.00
00018             -28.00     -400.00
00019             -28.00     -320.00
00020             -28.00     -280.00
00021             -32.00     -280.00
00022             -28.00     -280.00
00023             -28.00     -280.00
00024             -32.00     -320.00
00025             -36.00     -320.00
00026             -32.00     -360.00
00027             -28.00     -320.00
00028             -28.00     -280.00
00029             -32.00     -320.00
00030             -32.00     -280.00
00031             -32.00     -280.00
00032             -28.00     -280.00
00033             -28.00     -320.00
00034             -24.00     -280.00
00035             -28.00     -280.00
00036             -28.00     -280.00
00037             -32.00     -280.00
00038             -28.00     -320.00
00039             -32.00     -280.00
00040             -32.00     -320.00
00041             -36.00     -280.00
00042             -40.00     -280.00
00043             -48.00     -280.00
00044             -68.00     -240.00
00045             -76.00     -280.00
00046             -92.00     -280.00
00047            -100.00     -280.00
00048            -108.00     -280.00
00049            -116.00     -280.00
00050            -120.00     -280.00
00051            -128.00     -280.00
00052            -128.00     -280.00
00053            -124.00     -280.00
00054            -124.00     -280.00
00055            -124.00     -280.00
00056            -128.00     -280.00
00057            -132.00     -280.00
00058            -120.00     -280.00
00059            -124.00     -280.00
00060            -124.00     -280.00
00061            -124.00     -280.00
00062            -128.00     -280.00
00063            -128.00     -280.00
00064            -128.00     -280.00
00065            -128.00     -280.00
00066            -128.00     -280.00
00067            -128.00     -240.00
00068            -124.00     -240.00
00069            -124.00     -240.00
00070            -124.00     -240.00
00071            -128.00     -240.00
00072            -128.00     -240.00
00073            -128.00     -240.00
00074            -128.00     -280.00
00075            -124.00     -280.00
00076            -128.00     -240.00
00077            -124.00     -280.00
00078            -124.00     -240.00
00079            -124.00     -240.00
00080            -120.00     -240.00
00081            -112.00     -240.00
00082            -100.00     -240.00
00083             -88.00     -240.00
00084             -76.00     -240.00
00085             -60.00     -240.00
00086             -48.00     -240.00
00087             -36.00     -240.00
00088             -32.00     -240.00
00089             -32.00     -240.00
00090             -36.00     -240.00
00091             -32.00     -240.00
00092             -32.00     -200.00
00093             -28.00     -240.00
00094             -28.00     -200.00
00095             -28.00     -200.00
00096             -32.00     -200.00
00097             -28.00     -240.00
00098             -36.00     -240.00
00099             -36.00     -240.00
00100             -36.00     -240.00
00101             -32.00     -240.00
00102             -36.00     -240.00
00103             -32.00     -240.00
00104             -28.00     -240.00
00105             -32.00     -280.00
00106             -28.00     -320.00
00107             -32.00     -320.00
00108             -28.00     -440.00
00109             -32.00     -480.00
00110             -32.00     -560.00
00111             -36.00     -600.00
00112             -36.00     -720.00
00113             -52.00     -760.00
00114             -64.00     -840.00
00115             -80.00     -880.00
00116             -96.00     -920.00
00117            -108.00     -960.00
00118            -120.00    -1080.00
00119            -128.00    -1080.00
00120            -128.00    -1160.00
00121            -132.00    -1200.00
00122            -128.00    -1280.00
00123            -132.00    -1360.00
00124            -132.00    -1400.00
00125            -132.00    -1440.00
00126            -132.00    -1520.00
00127            -128.00    -1520.00
00128            -132.00    -1560.00
00129            -128.00    -1600.00
00130            -132.00    -1600.00
00131            -128.00    -1680.00
00132            -128.00    -1680.00
00133            -128.00    -1680.00
00134            -128.00    -1600.00
00135            -132.00    -1680.00
00136            -128.00    -1640.00
00137            -128.00    -1640.00
00138            -128.00    -1640.00
00139            -128.00    -1680.00
