"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0,0.346673716769
0.005,0.334371318451
0.01,0.33043455099
0.015,0.3223149681
0.02,0.318132152672
0.025,0.318132152672
0.03,0.326251735562
0.035,0.326251735562
0.04,0.33043455099
0.045,0.338554133879
0.05,0.342490901341
0.055,0.350610484231
0.06,0.354793299659
0.065,0.354793299659
0.07,0.358730067121
0.075,0.362912882549
0.08,0.36684965001
0.085,0.371032465438
0.09,0.379152048328
0.095,0.379152048328
0.1,0.383334863756
0.105,0.391454446646
0.11,0.395391214108
0.115,0.395391214108
0.12,0.399574029536
0.125,0.407693612426
0.13,0.411630379887
0.135,0.411630379887
0.14,0.415813195315
0.145,0.415813195315
0.15,0.415813195315
0.155,0.415813195315
0.16,0.427869545667
0.165,0.427869545667
0.17,0.427869545667
0.175,0.432052361095
0.18,0.440171943985
0.185,0.440171943985
0.19,0.452474342303
0.195,0.456411109764
0.2,0.460593925192
0.205,0.468713508082
0.21,0.480769858434
0.215,0.480769858434
0.22,0.484952673862
0.225,0.501191839641
0.23,0.505374655069
0.235,0.505374655069
0.24,0.505374655069
0.245,0.501191839641
0.25,0.501191839641
0.255,0.501191839641
0.26,0.49725507218
0.265,0.49725507218
0.27,0.493072256751
0.275,0.488889441323
0.28,0.488889441323
0.285,0.484952673862
0.29,0.484952673862
0.295,0.476833090972
0.3,0.476833090972
0.305,0.476833090972
0.31,0.476833090972
0.315,0.476833090972
0.32,0.476833090972
0.325,0.472650275544
0.33,0.472650275544
0.335,0.468713508082
0.34,0.472650275544
0.345,0.476833090972
0.35,0.476833090972
0.355,0.480769858434
0.36,0.476833090972
0.365,0.480769858434
0.37,0.480769858434
0.375,0.476833090972
0.38,0.476833090972
0.385,0.476833090972
0.39,0.476833090972
0.395,0.468713508082
0.4,0.468713508082
0.405,0.464530692654
0.41,0.472650275544
0.415,0.468713508082
0.42,0.472650275544
0.425,0.472650275544
0.43,0.476833090972
0.435,0.480769858434
0.44,0.480769858434
0.445,0.480769858434
0.45,0.488889441323
0.455,0.484952673862
0.46,0.488889441323
0.465,0.488889441323
0.47,0.493072256751
0.475,0.493072256751
0.48,0.493072256751
0.485,0.488889441323
0.49,0.488889441323
0.495,0.480769858434
0.5,0.480769858434
0.505,0.472650275544
0.51,0.472650275544
0.515,0.468713508082
0.52,0.464530692654
0.525,0.460593925192
0.53,0.460593925192
0.535,0.456411109764
0.54,0.452474342303
0.545,0.444354759413
0.55,0.448291526875
0.555,0.448291526875
0.56,0.444354759413
0.565,0.448291526875
0.57,0.452474342303
0.575,0.452474342303
0.58,0.456411109764
0.585,0.456411109764
0.59,0.460593925192
0.595,0.468713508082
0.6,0.472650275544
0.605,0.476833090972
0.61,0.480769858434
0.615,0.480769858434
0.62,0.488889441323
0.625,0.488889441323
0.63,0.49725507218
0.635,0.493072256751
0.64,0.493072256751
0.645,0.484952673862
0.65,0.488889441323
0.655,0.484952673862
0.66,0.488889441323
0.665,0.488889441323
0.67,0.493072256751
0.675,0.488889441323
0.68,0.488889441323
0.685,0.493072256751
0.69,0.49725507218
0.695,0.493072256751
0.7,0.49725507218
0.705,0.501191839641
0.71,0.501191839641
0.715,0.501191839641
0.72,0.501191839641
0.725,0.501191839641
0.73,0.501191839641
0.735,0.501191839641
0.74,0.501191839641
0.745,0.501191839641
0.75,0.505374655069
0.755,0.501191839641
0.76,0.49725507218
0.765,0.49725507218
0.77,0.505374655069
0.775,0.493072256751
0.78,0.493072256751
0.785,0.488889441323
0.79,0.480769858434
0.795,0.476833090972
0.8,0.480769858434
0.805,0.472650275544
0.81,0.472650275544
0.815,0.468713508082
0.82,0.468713508082
0.825,0.464530692654
0.83,0.464530692654
0.835,0.464530692654
0.84,0.464530692654
0.845,0.464530692654
0.85,0.468713508082
0.855,0.468713508082
0.86,0.472650275544
0.865,0.472650275544
0.87,0.476833090972
0.875,0.476833090972
0.88,0.476833090972
0.885,0.472650275544
0.89,0.476833090972
0.895,0.476833090972
0.9,0.476833090972
0.905,0.476833090972
0.91,0.480769858434
0.915,0.476833090972
0.92,0.476833090972
0.925,0.472650275544
0.93,0.468713508082
0.935,0.468713508082
0.94,0.464530692654
0.945,0.464530692654
0.95,0.460593925192
0.955,0.456411109764
0.96,0.452474342303
0.965,0.456411109764
0.97,0.456411109764
0.975,0.456411109764
0.98,0.456411109764
0.985,0.456411109764
0.99,0.452474342303
0.995,0.456411109764
1,0.456411109764
1.005,0.456411109764
1.01,0.464530692654
1.015,0.460593925192
1.02,0.464530692654
1.025,0.464530692654
1.03,0.464530692654
1.035,0.468713508082
1.04,0.468713508082
1.045,0.468713508082
1.05,0.472650275544
1.055,0.472650275544
1.06,0.472650275544
1.065,0.472650275544
1.07,0.480769858434
1.075,0.476833090972
1.08,0.480769858434
1.085,0.484952673862
1.09,0.484952673862
1.095,0.484952673862
1.1,0.484952673862
1.105,0.488889441323
1.11,0.493072256751
1.115,0.488889441323
1.12,0.488889441323
1.125,0.493072256751
1.13,0.488889441323
1.135,0.488889441323
1.14,0.488889441323
1.145,0.493072256751
1.15,0.493072256751
1.155,0.488889441323
1.16,0.488889441323
1.165,0.488889441323
1.17,0.488889441323
1.175,0.484952673862
1.18,0.488889441323
1.185,0.488889441323
1.19,0.488889441323
1.195,0.484952673862
1.2,0.484952673862
1.205,0.488889441323
1.21,0.488889441323
1.215,0.488889441323
1.22,0.484952673862
1.225,0.488889441323
1.23,0.493072256751
1.235,0.488889441323
1.24,0.493072256751
1.245,0.49725507218
1.25,0.501191839641
1.255,0.49725507218
1.26,0.501191839641
1.265,0.505374655069
1.27,0.501191839641
1.275,0.505374655069
1.28,0.509311422531
1.285,0.505374655069
1.29,0.509311422531
1.295,0.513494237959
1.3,0.509311422531
1.305,0.509311422531
1.31,0.513494237959
1.315,0.509311422531
1.32,0.509311422531
1.325,0.517431005421
1.33,0.521613820849
1.335,0.517431005421
1.34,0.521613820849
1.345,0.517431005421
1.35,0.521613820849
1.355,0.521613820849
1.36,0.521613820849
1.365,0.521613820849
1.37,0.529733403739
1.375,0.525550588311
1.38,0.525550588311
1.385,0.529733403739
1.39,0.525550588311
1.395,0.529733403739
1.4,0.529733403739
1.405,0.525550588311
1.41,0.525550588311
1.415,0.529733403739
1.42,0.5336701712
1.425,0.529733403739
1.43,0.54178975409
1.435,0.537852986628
1.44,0.537852986628
1.445,0.529733403739
1.45,0.5336701712
1.455,0.529733403739
1.46,0.537852986628
1.465,0.5336701712
1.47,0.537852986628
1.475,0.54178975409
1.48,0.537852986628
1.485,0.537852986628
1.49,0.537852986628
1.495,0.5336701712
1.5,0.537852986628
1.505,0.5336701712
1.51,0.5336701712
1.515,0.5336701712
1.52,0.5336701712
1.525,0.529733403739
1.53,0.5336701712
1.535,0.529733403739
1.54,0.529733403739
1.545,0.529733403739
1.55,0.529733403739
1.555,0.529733403739
1.56,0.529733403739
1.565,0.5336701712
1.57,0.5336701712
1.575,0.525550588311
1.58,0.529733403739
1.585,0.525550588311
1.59,0.529733403739
1.595,0.529733403739
1.6,0.54178975409
1.605,0.537852986628
1.61,0.54178975409
