"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,-0.109007116924
0.005,-0.255651704872
0.01,-0.438711391842
0.015,-0.646129827481
0.02,-0.85354826312
0.025,-1.01643201685
0.03,-1.11804982695
0.035,-1.14240857562
0.04,-1.08950826286
0.045,-0.959348888653
0.05,-0.764232851332
0.055,-0.556568367727
0.06,-0.35308669955
0.065,-0.190448993788
0.07,-0.0765287853646
0.075,0.000730276071408
0.08,0.0373914230586
0.085,0.0373914230586
0.09,-0.00738930681837
0.095,-0.0846483682544
0.1,-0.210870974995
0.105,-0.381628263647
0.11,-0.580927116396
0.115,-0.788591600001
0.12,-0.967468471543
0.125,-1.08138867997
0.13,-1.11804982695
0.135,-1.08138867997
0.14,-0.963531704081
0.145,-0.788591600001
0.15,-0.589292747252
0.155,-0.389747846537
0.16,-0.222927325347
0.165,-0.100887534034
0.17,-0.0196917051362
0.175,0.016969441851
0.18,0.016969441851
0.185,-0.0155088897081
0.19,-0.0969507665723
0.195,-0.214807742457
0.2,-0.377691496185
0.205,-0.580927116396
0.21,-0.792528367463
0.215,-0.971651286971
0.22,-1.10181066117
0.225,-1.15889378937
0.23,-1.13428899273
0.235,-1.03267118263
0.24,-0.861667846009
0.245,-0.650312642909
0.25,-0.434528576414
0.255,-0.243349306555
0.26,-0.100887534034
0.265,0.000730276071408
0.27,0.0536305888381
0.275,0.0698697546177
0.28,0.0496938213764
0.285,-0.0113260742801
0.29,-0.113189932352
0.295,-0.255651704872
0.3,-0.442648159304
0.305,-0.650312642909
0.31,-0.857731078548
0.315,-1.02036878431
0.32,-1.11804982695
0.325,-1.14240857562
0.33,-1.08950826286
0.335,-0.955412121191
0.34,-0.764232851332
0.345,-0.552631600265
0.35,-0.35308669955
0.355,-0.18626617836
0.36,-0.0723459699366
0.365,0.00491309149947
0.37,0.0373914230586
0.375,0.0332086076305
0.38,-0.00738930681837
0.385,-0.0927679511442
0.39,-0.218990557885
0.395,-0.393930661965
0.4,-0.593229514714
0.405,-0.800647950353
0.41,-0.975588054433
0.415,-1.08557149539
0.42,-1.11804982695
0.425,-1.0774519125
0.43,-0.963531704081
0.435,-0.784408784573
0.44,-0.580927116396
0.445,-0.381628263647
0.45,-0.218990557885
0.455,-0.0969507665723
0.46,-0.0196917051362
0.465,0.021152257279
0.47,0.016969441851
0.475,-0.0236284725979
0.48,-0.100887534034
0.485,-0.231046908237
0.49,-0.393930661965
0.495,-0.597412330142
0.5,-0.809013581209
0.505,-0.98789045275
0.51,-1.10993024406
0.515,-1.15889378937
0.52,-1.13035222527
0.525,-1.02455159974
0.53,-0.857731078548
0.535,-0.642193060019
0.54,-0.426408993524
0.545,-0.239166491127
0.55,-0.0969507665723
0.555,0.000730276071408
0.56,0.0578134042662
0.565,0.0698697546177
0.57,0.0496938213764
0.575,-0.00738930681837
0.58,-0.109007116924
0.585,-0.255651704872
0.59,-0.442648159304
0.595,-0.654249410371
0.6,-0.85354826312
0.605,-1.01643201685
0.61,-1.12223264238
0.615,-1.14659139105
0.62,-1.08138867997
0.625,-0.955412121191
0.63,-0.764232851332
0.635,-0.552631600265
0.64,-0.357269514978
0.645,-0.194631809216
0.65,-0.0723459699366
0.655,0.000730276071408
0.66,0.0373914230586
0.665,0.0332086076305
0.67,-0.0032064913903
0.675,-0.0846483682544
0.68,-0.202751392106
0.685,-0.373508680757
0.69,-0.572807533506
0.695,-0.780472017112
0.7,-0.955412121191
0.705,-1.07326909708
0.71,-1.11804982695
0.715,-1.08138867997
0.72,-0.975588054433
0.725,-0.809013581209
0.73,-0.609468680494
0.735,-0.410169827745
0.74,-0.243349306555
0.745,-0.113189932352
0.75,-0.027811288026
0.755,0.016969441851
0.76,0.021152257279
0.765,-0.0113260742801
0.77,-0.0807116007927
0.775,-0.194631809216
0.78,-0.349149932088
0.785,-0.540329201947
0.79,-0.751930453014
0.795,-0.939172955412
0.8,-1.08557149539
0.805,-1.15471097394
0.81,-1.14659139105
0.815,-1.06121274672
0.82,-0.902511808425
0.825,-0.703212955676
0.83,-0.483492121719
0.835,-0.288130036432
0.84,-0.133611913559
0.845,-0.0236284725979
0.85,0.0455110059484
0.855,0.0698697546177
0.86,0.0578134042662
0.865,0.0130326743893
0.87,-0.0765287853646
0.875,-0.202751392106
0.88,-0.377691496185
0.885,-0.585109931824
0.89,-0.792528367463
