t, peaks/s 
0,4
0.1,3
0.2,3
0.3,4
0.4,3
0.5,3
0.6,4
0.7,3
0.8,4
0.9,4
1.0,3
1.1,4
1.2,4
1.3,3
1.4,4
1.5,4
1.6,3
1.7,4
1.8,3
1.9,3
2.0,4
2.1,3
2.2,3
2.3,4
2.4,3
2.5,3
2.6,4
2.7,3
2.8,3
2.9,4
3.0,3
3.1,3
3.2,4
3.3,3
3.4,3
3.5,4
3.6,3
3.7,4
3.8,4
3.9,3
4.0,4
4.1,4
4.2,3
4.3,4
4.4,4
4.5,3
4.6,4
4.7,3
4.8,3
4.9,4
5.0,3
5.1,3
5.2,4
5.3,3
5.4,3
5.5,4
5.6,3
5.7,3
5.8,4
5.9,3
6.0,3
6.1,4
6.2,3
6.3,4
6.4,4
6.5,3
6.6,4
6.7,4
6.8,3
6.9,4
7.0,4
7.1,3
7.2,4
7.3,3
7.4,3
7.5,4
7.6,3
7.7,3
7.8,4
7.9,3
8.0,3
8.1,4
8.2,3
8.3,4
8.4,4
8.5,3
8.6,4
8.7,4
8.8,3
8.9,4
9.0,4
9.1,3
9.2,4
9.3,3
9.4,3
9.5,4
9.6,3
9.7,4
9.8,4
9.9,3
10.0,4
10.1,4
10.2,3
10.3,4
10.4,4
10.5,3
10.6,4
10.7,3
10.8,3
10.9,4
11.0,3
11.1,3
11.2,4
11.3,3
11.4,4
11.5,4
11.6,3
11.7,4
11.8,4
11.9,3
12.0,4
12.1,4
12.2,3
12.3,4
12.4,3
12.5,3
12.6,4
12.7,3
12.8,4
12.9,4
13.0,3
13.1,4
13.2,4
13.3,3
13.4,4
13.5,4
13.6,3
13.7,4
13.8,3
13.9,3
14.0,4
14.1,3
14.2,3
14.3,4
14.4,3
14.5,3
14.6,4
14.7,3
14.8,4
14.9,4
15.0,3
15.1,4
15.2,4
15.3,3
15.4,4
15.5,4
15.6,3
15.7,4
15.8,3
15.9,3
16.0,4
16.1,3
16.2,3
16.3,4
16.4,3
16.5,3
16.6,4
16.7,3
16.8,3
16.9,4
17.0,3
17.1,4
17.2,4
17.3,3
17.4,4
17.5,4
17.6,3
17.7,4
17.8,4
17.9,3
18.0,4
18.1,3
18.2,3
18.3,4
18.4,3
18.5,3
18.6,4
18.7,3
18.8,4
18.9,4
19.0,3
19.1,4
19.2,4
19.3,3
19.4,4
19.5,4
19.6,3
19.7,4
19.8,3
19.9,3
20.0,4
20.1,3
20.2,4
20.3,4
20.4,3
20.5,4
20.6,4
20.7,3
20.8,4
20.9,4
21.0,3
21.1,4
21.2,3
21.3,3
21.4,4
21.5,3
21.6,3
21.7,4
21.8,3
21.9,3
22.0,4
22.1,3
22.2,3
22.3,4
22.4,3
22.5,4
22.6,4
22.7,3
22.8,4
22.9,4
23.0,3
23.1,4
23.2,4
23.3,3
23.4,4
23.5,3
23.6,3
23.7,4
23.8,3
23.9,3
24.0,4
24.1,3
24.2,4
24.3,4
24.4,3
24.5,4
24.6,4
24.7,3
24.8,4
24.9,4
25.0,3
25.1,4
25.2,3
25.3,3
25.4,4
25.5,3
25.6,3
25.7,4
25.8,3
25.9,4
26.0,4
26.1,3
26.2,4
26.3,4
26.4,3
26.5,4
26.6,4
26.7,3
26.8,4
26.9,3
27.0,3
27.1,4
27.2,3
27.3,3
27.4,4
27.5,3
27.6,4
27.7,4
27.8,3
27.9,4
28.0,4
28.1,3
28.2,4
28.3,4
28.4,3
28.5,4
28.6,3
28.7,3
28.8,4
28.9,3
29.0,3
29.1,4
29.2,3
29.3,3
29.4,4
29.5,3
29.6,3
29.7,4
29.8,3
29.9,4
30.0,4
30.1,3
30.2,4
30.3,4
30.4,3
30.5,4
30.6,4
30.7,3
30.8,4
30.9,3
31.0,3
31.1,4
31.2,3
31.3,3
31.4,4
31.5,3
31.6,3
31.7,4
31.8,3
31.9,3
32.0,4
32.1,3
32.2,4
32.3,4
32.4,3
32.5,4
32.6,4
32.7,3
32.8,4
32.9,4
33.0,3
33.1,4
33.2,3
33.3,3
33.4,4
33.5,3
33.6,3
33.7,4
33.8,3
33.9,3
34.0,4
34.1,3
34.2,4
34.3,4
34.4,3
34.5,4
34.6,4
34.7,3
34.8,4
34.9,4
35.0,3
35.1,4
35.2,3
35.3,3
35.4,4
35.5,3
35.6,3
35.7,4
35.8,3
35.9,3
36.0,4
36.1,3
36.2,4
36.3,4
36.4,3
36.5,4
36.6,4
36.7,3
36.8,4
36.9,4
37.0,3
37.1,4
37.2,3
37.3,3
37.4,4
37.5,3
37.6,3
37.7,4
37.8,3
37.9,3
38.0,4
38.1,3
38.2,4
38.3,4
38.4,3
38.5,4
38.6,4
38.7,3
38.8,4
38.9,4
39.0,3
39.1,4
