t, peaks/s, omega 
0.1,3.2,6.702064327658225
0.9,3.6,7.5398223686155035
1.0,3.6,7.5398223686155035
1.2,3.6,7.5398223686155035
1.3,3.6,7.5398223686155035
1.4,3.6,7.5398223686155035
1.5,3.4,7.120943348136865
1.6,3.4,7.120943348136865
1.7,3.4,7.120943348136865
1.8,3.2,6.702064327658225
1.9,3.4,7.120943348136865
2.0,3.4,7.120943348136865
2.1,3.2,6.702064327658225
2.2,3.4,7.120943348136865
2.3,3.4,7.120943348136865
2.4,3.2,6.702064327658225
2.5,3.4,7.120943348136865
2.6,3.4,7.120943348136865
2.7,3.2,6.702064327658225
2.8,3.4,7.120943348136865
2.9,3.4,7.120943348136865
3.0,3.2,6.702064327658225
3.1,3.4,7.120943348136865
3.2,3.4,7.120943348136865
3.3,3.4,7.120943348136865
3.4,3.6,7.5398223686155035
3.5,3.6,7.5398223686155035
3.6,3.6,7.5398223686155035
3.8,3.6,7.5398223686155035
3.9,3.6,7.5398223686155035
4.1,3.6,7.5398223686155035
4.2,3.6,7.5398223686155035
4.3,3.6,7.5398223686155035
4.4,3.4,7.120943348136865
4.5,3.4,7.120943348136865
4.6,3.4,7.120943348136865
4.7,3.2,6.702064327658225
4.8,3.4,7.120943348136865
4.9,3.4,7.120943348136865
5.0,3.2,6.702064327658225
5.1,3.4,7.120943348136865
5.2,3.4,7.120943348136865
5.3,3.2,6.702064327658225
5.4,3.4,7.120943348136865
5.5,3.4,7.120943348136865
5.6,3.2,6.702064327658225
5.7,3.4,7.120943348136865
5.8,3.4,7.120943348136865
5.9,3.4,7.120943348136865
6.0,3.6,7.5398223686155035
6.1,3.6,7.5398223686155035
6.2,3.6,7.5398223686155035
6.4,3.6,7.5398223686155035
6.5,3.6,7.5398223686155035
6.7,3.6,7.5398223686155035
6.8,3.6,7.5398223686155035
6.9,3.6,7.5398223686155035
7.0,3.4,7.120943348136865
7.1,3.4,7.120943348136865
7.2,3.4,7.120943348136865
7.3,3.2,6.702064327658225
7.4,3.4,7.120943348136865
7.5,3.4,7.120943348136865
7.6,3.2,6.702064327658225
7.7,3.4,7.120943348136865
7.8,3.4,7.120943348136865
7.9,3.4,7.120943348136865
8.0,3.6,7.5398223686155035
8.1,3.6,7.5398223686155035
8.2,3.6,7.5398223686155035
8.4,3.6,7.5398223686155035
8.5,3.6,7.5398223686155035
