t, peaks/s 
0,7
0.1,7
0.2,6
0.3,7
0.4,7
0.5,6
0.6,7
0.7,7
0.8,6
0.9,7
1.0,7
1.1,6
1.2,7
1.3,7
1.4,6
1.5,7
1.6,7
1.7,6
1.8,7
1.9,7
2.0,6
2.1,7
2.2,7
2.3,6
2.4,7
2.5,7
2.6,6
2.7,7
2.8,7
2.9,6
3.0,7
3.1,7
3.2,6
3.3,7
3.4,7
3.5,6
3.6,7
3.7,7
3.8,6
3.9,7
4.0,7
4.1,6
4.2,7
4.3,7
4.4,6
4.5,7
4.6,7
4.7,6
4.8,7
4.9,7
5.0,6
5.1,7
5.2,6
5.3,6
5.4,7
5.5,6
5.6,6
5.7,7
5.8,6
5.9,6
6.0,7
6.1,6
6.2,7
6.3,7
6.4,6
6.5,7
6.6,7
6.7,6
6.8,7
6.9,6
7.0,6
7.1,7
7.2,6
7.3,6
7.4,7
7.5,6
7.6,6
7.7,7
7.8,6
7.9,7
8.0,7
8.1,6
8.2,7
8.3,7
8.4,6
8.5,7
8.6,6
8.7,6
8.8,7
8.9,6
9.0,6
9.1,7
9.2,6
9.3,6
9.4,7
9.5,6
9.6,7
9.7,7
9.8,6
9.9,7
10.0,7
10.1,6
10.2,7
10.3,7
10.4,6
10.5,7
10.6,7
10.7,6
10.8,7
10.9,7
11.0,6
11.1,7
11.2,7
11.3,6
11.4,7
11.5,6
11.6,6
11.7,7
11.8,6
11.9,6
12.0,7
12.1,6
12.2,6
12.3,7
12.4,6
12.5,7
12.6,7
12.7,6
12.8,7
12.9,7
13.0,6
13.1,7
13.2,7
13.3,6
13.4,7
13.5,6
13.6,6
13.7,7
13.8,6
13.9,6
14.0,7
14.1,6
14.2,6
14.3,7
14.4,6
14.5,7
14.6,7
14.7,6
14.8,7
14.9,6
15.0,6
15.1,7
15.2,6
15.3,6
15.4,7
15.5,6
15.6,6
15.7,6
15.8,6
15.9,7
16.0,6
16.1,6
16.2,7
16.3,6
16.4,6
16.5,6
16.6,6
16.7,7
16.8,6
16.9,6
17.0,7
17.1,6
17.2,6
17.3,7
17.4,6
17.5,7
17.6,6
17.7,6
17.8,7
17.9,6
18.0,6
18.1,7
18.2,6
18.3,6
18.4,6
18.5,6
18.6,7
18.7,6
18.8,6
18.9,7
19.0,6
19.1,6
19.2,7
19.3,6
19.4,6
19.5,7
19.6,6
19.7,7
19.8,6
19.9,6
20.0,7
20.1,6
20.2,6
20.3,7
20.4,6
20.5,6
20.6,7
20.7,6
20.8,7
20.9,6
21.0,6
21.1,7
21.2,6
21.3,6
21.4,7
21.5,6
21.6,6
21.7,7
21.8,6
21.9,7
22.0,7
22.1,6
22.2,7
22.3,7
22.4,6
22.5,7
22.6,6
22.7,6
22.8,7
22.9,6
23.0,6
23.1,7
23.2,6
23.3,6
23.4,7
23.5,6
23.6,7
23.7,7
23.8,6
23.9,7
24.0,7
24.1,6
24.2,7
24.3,6
24.4,6
24.5,7
24.6,6
24.7,6
24.8,7
24.9,6
25.0,6
25.1,7
25.2,6
25.3,7
25.4,7
25.5,6
25.6,7
25.7,7
25.8,6
25.9,7
26.0,6
26.1,6
26.2,7
26.3,6
26.4,6
26.5,7
26.6,6
26.7,6
26.8,7
26.9,6
27.0,7
27.1,7
27.2,6
27.3,7
27.4,7
27.5,6
27.6,7
27.7,6
27.8,6
27.9,7
28.0,6
28.1,6
28.2,7
28.3,6
28.4,6
28.5,7
28.6,6
28.7,7
28.8,7
28.9,6
29.0,7
29.1,7
29.2,6
29.3,7
29.4,6
29.5,6
29.6,7
29.7,6
29.8,6
29.9,7
30.0,6
30.1,6
30.2,7
30.3,6
30.4,7
30.5,7
30.6,6
30.7,7
30.8,6
30.9,6
31.0,7
31.1,6
31.2,6
31.3,7
31.4,6
31.5,6
31.6,7
31.7,6
31.8,7
31.9,7
32.0,6
32.1,7
32.2,7
32.3,6
32.4,7
32.5,7
32.6,6
32.7,7
32.8,6
32.9,6
33.0,7
33.1,6
33.2,6
33.3,7
33.4,6
33.5,6
33.6,7
33.7,6
33.8,7
33.9,7
34.0,6
34.1,7
34.2,7
34.3,6
34.4,7
34.5,7
34.6,6
34.7,7
34.8,7
34.9,6
35.0,7
35.1,6
35.2,6
35.3,7
35.4,6
35.5,6
35.6,7
35.7,6
35.8,6
35.9,7
36.0,6
36.1,7
36.2,7
36.3,6
36.4,7
36.5,7
36.6,6
36.7,7
36.8,7
36.9,6
37.0,7
37.1,7
37.2,6
37.3,7
37.4,7
37.5,6
37.6,7
37.7,7
37.8,6
37.9,7
38.0,6
38.1,6
38.2,7
38.3,6
38.4,6
38.5,7
38.6,6
38.7,6
38.8,7
38.9,6
39.0,7
39.1,7
39.2,6
39.3,7
