t, peaks/s, omega 
0.1,6.6,13.82300767579509
0.2,6.6,13.82300767579509
0.4,6.6,13.82300767579509
0.5,6.6,13.82300767579509
0.7,6.6,13.82300767579509
0.8,6.6,13.82300767579509
1.0,6.6,13.82300767579509
1.1,6.6,13.82300767579509
1.3,6.6,13.82300767579509
1.4,6.6,13.82300767579509
1.6,6.6,13.82300767579509
1.7,6.6,13.82300767579509
1.9,6.6,13.82300767579509
2.0,6.6,13.82300767579509
2.2,6.6,13.82300767579509
2.3,6.6,13.82300767579509
2.5,6.6,13.82300767579509
2.6,6.6,13.82300767579509
2.8,6.6,13.82300767579509
2.9,6.6,13.82300767579509
3.1,6.6,13.82300767579509
3.2,6.6,13.82300767579509
3.4,6.6,13.82300767579509
3.5,6.6,13.82300767579509
3.7,6.6,13.82300767579509
3.8,6.6,13.82300767579509
4.0,6.6,13.82300767579509
4.1,6.6,13.82300767579509
4.3,6.6,13.82300767579509
4.4,6.6,13.82300767579509
4.6,6.6,13.82300767579509
4.7,6.6,13.82300767579509
4.8,6.6,13.82300767579509
4.9,6.4,13.40412865531645
5.0,6.4,13.40412865531645
5.1,6.4,13.40412865531645
5.2,6.2,12.985249634837812
5.3,6.4,13.40412865531645
5.4,6.4,13.40412865531645
5.5,6.2,12.985249634837812
5.6,6.4,13.40412865531645
5.7,6.4,13.40412865531645
5.8,6.4,13.40412865531645
5.9,6.6,13.82300767579509
6.0,6.6,13.82300767579509
6.1,6.6,13.82300767579509
6.3,6.6,13.82300767579509
6.4,6.6,13.82300767579509
6.5,6.6,13.82300767579509
6.6,6.4,13.40412865531645
6.7,6.4,13.40412865531645
6.8,6.4,13.40412865531645
6.9,6.2,12.985249634837812
7.0,6.4,13.40412865531645
7.1,6.4,13.40412865531645
7.2,6.2,12.985249634837812
7.3,6.4,13.40412865531645
7.4,6.4,13.40412865531645
7.5,6.4,13.40412865531645
7.6,6.6,13.82300767579509
7.7,6.6,13.82300767579509
7.8,6.6,13.82300767579509
8.0,6.6,13.82300767579509
8.1,6.6,13.82300767579509
8.2,6.6,13.82300767579509
8.3,6.4,13.40412865531645
8.4,6.4,13.40412865531645
8.5,6.4,13.40412865531645
8.6,6.2,12.985249634837812
8.7,6.4,13.40412865531645
8.8,6.4,13.40412865531645
8.9,6.2,12.985249634837812
9.0,6.4,13.40412865531645
9.1,6.4,13.40412865531645
9.2,6.4,13.40412865531645
9.3,6.6,13.82300767579509
9.4,6.6,13.82300767579509
9.5,6.6,13.82300767579509
9.7,6.6,13.82300767579509
9.8,6.6,13.82300767579509
10.0,6.6,13.82300767579509
10.1,6.6,13.82300767579509
10.3,6.6,13.82300767579509
10.4,6.6,13.82300767579509
10.6,6.6,13.82300767579509
10.7,6.6,13.82300767579509
10.9,6.6,13.82300767579509
11.0,6.6,13.82300767579509
11.1,6.6,13.82300767579509
11.2,6.4,13.40412865531645
11.3,6.4,13.40412865531645
11.4,6.4,13.40412865531645
11.5,6.2,12.985249634837812
11.6,6.4,13.40412865531645
11.7,6.4,13.40412865531645
11.8,6.2,12.985249634837812
11.9,6.4,13.40412865531645
12.0,6.4,13.40412865531645
12.1,6.4,13.40412865531645
12.2,6.6,13.82300767579509
12.3,6.6,13.82300767579509
12.4,6.6,13.82300767579509
12.6,6.6,13.82300767579509
12.7,6.6,13.82300767579509
12.9,6.6,13.82300767579509
13.0,6.6,13.82300767579509
13.1,6.6,13.82300767579509
13.2,6.4,13.40412865531645
13.3,6.4,13.40412865531645
13.4,6.4,13.40412865531645
13.5,6.2,12.985249634837812
13.6,6.4,13.40412865531645
13.7,6.4,13.40412865531645
13.8,6.2,12.985249634837812
13.9,6.4,13.40412865531645
14.0,6.4,13.40412865531645
14.1,6.4,13.40412865531645
14.2,6.6,13.82300767579509
14.3,6.6,13.82300767579509
14.4,6.6,13.82300767579509
14.5,6.6,13.82300767579509
14.6,6.4,13.40412865531645
14.7,6.4,13.40412865531645
14.8,6.4,13.40412865531645
14.9,6.2,12.985249634837812
15.0,6.4,13.40412865531645
15.1,6.4,13.40412865531645
15.2,6.2,12.985249634837812
15.3,6.2,12.985249634837812
15.4,6.2,12.985249634837812
15.5,6.2,12.985249634837812
15.6,6.2,12.985249634837812
15.7,6.2,12.985249634837812
15.8,6.4,13.40412865531645
15.9,6.4,13.40412865531645
16.0,6.2,12.985249634837812
16.1,6.2,12.985249634837812
16.2,6.2,12.985249634837812
16.3,6.2,12.985249634837812
16.4,6.2,12.985249634837812
16.5,6.2,12.985249634837812
16.6,6.4,13.40412865531645
16.7,6.4,13.40412865531645
16.8,6.2,12.985249634837812
16.9,6.4,13.40412865531645
17.0,6.4,13.40412865531645
17.1,6.4,13.40412865531645
17.2,6.4,13.40412865531645
17.3,6.4,13.40412865531645
17.4,6.4,13.40412865531645
17.5,6.4,13.40412865531645
17.6,6.2,12.985249634837812
17.7,6.4,13.40412865531645
17.8,6.4,13.40412865531645
17.9,6.2,12.985249634837812
18.0,6.2,12.985249634837812
18.1,6.2,12.985249634837812
18.2,6.2,12.985249634837812
18.3,6.2,12.985249634837812
18.4,6.2,12.985249634837812
18.5,6.4,13.40412865531645
18.6,6.4,13.40412865531645
