t, peaks/s 
0,15
0.1,15
0.2,15
0.3,15
0.4,15
0.5,14
0.6,15
0.7,14
0.8,15
0.9,14
1.0,15
1.1,14
1.2,15
1.3,14
1.4,15
1.5,15
1.6,15
1.7,15
1.8,15
1.9,15
2.0,15
2.1,15
2.2,15
2.3,15
2.4,15
2.5,15
2.6,14
2.7,15
2.8,14
2.9,15
3.0,14
3.1,15
3.2,14
3.3,15
3.4,14
3.5,14
3.6,15
3.7,14
3.8,15
3.9,14
4.0,14
4.1,14
4.2,14
4.3,14
4.4,14
4.5,15
4.6,14
4.7,14
4.8,14
4.9,14
5.0,15
5.1,14
5.2,15
5.3,14
5.4,15
5.5,14
5.6,15
5.7,15
5.8,14
5.9,15
6.0,14
6.1,15
6.2,14
6.3,15
6.4,14
6.5,15
6.6,14
6.7,15
6.8,15
6.9,14
7.0,15
7.1,14
7.2,15
7.3,14
7.4,15
7.5,14
7.6,15
7.7,14
7.8,15
7.9,15
8.0,15
8.1,15
8.2,14
8.3,15
8.4,14
8.5,15
8.6,14
8.7,15
8.8,14
8.9,15
9.0,14
9.1,15
9.2,15
9.3,15
9.4,15
9.5,14
9.6,15
9.7,14
9.8,15
9.9,14
10.0,15
10.1,14
10.2,15
10.3,14
10.4,15
10.5,15
10.6,14
10.7,15
10.8,14
10.9,15
11.0,14
11.1,15
11.2,14
11.3,15
11.4,14
11.5,14
11.6,15
11.7,14
11.8,15
11.9,14
12.0,15
12.1,14
12.2,15
12.3,14
12.4,14
12.5,15
12.6,14
12.7,15
12.8,14
12.9,15
13.0,14
13.1,15
13.2,14
13.3,15
13.4,15
13.5,15
13.6,15
13.7,14
13.8,15
13.9,14
14.0,15
14.1,14
14.2,15
14.3,14
14.4,15
14.5,14
14.6,15
14.7,15
14.8,14
14.9,15
15.0,14
15.1,15
15.2,14
15.3,15
15.4,14
15.5,15
15.6,14
15.7,15
15.8,15
15.9,15
16.0,15
16.1,14
16.2,15
16.3,14
16.4,15
16.5,14
16.6,15
16.7,14
16.8,15
16.9,14
17.0,15
17.1,15
17.2,15
17.3,15
17.4,14
17.5,15
17.6,14
17.7,15
17.8,14
17.9,15
18.0,14
18.1,15
18.2,14
18.3,15
18.4,15
18.5,15
18.6,15
18.7,15
18.8,15
18.9,15
19.0,15
19.1,14
19.2,15
19.3,14
19.4,15
19.5,14
19.6,15
19.7,14
19.8,15
19.9,14
20.0,15
20.1,15
20.2,15
20.3,15
20.4,14
20.5,15
20.6,14
20.7,15
20.8,14
20.9,15
21.0,14
21.1,15
21.2,14
21.3,15
21.4,15
21.5,15
21.6,15
21.7,15
21.8,15
21.9,14
22.0,15
22.1,14
22.2,15
22.3,14
22.4,15
22.5,14
22.6,15
22.7,14
22.8,15
22.9,15
23.0,15
23.1,15
23.2,15
23.3,15
23.4,14
23.5,15
23.6,14
23.7,15
23.8,14
23.9,15
24.0,14
24.1,15
24.2,14
24.3,15
24.4,15
24.5,15
24.6,15
24.7,15
24.8,15
24.9,15
25.0,15
25.1,15
25.2,15
25.3,14
25.4,15
25.5,14
25.6,15
25.7,14
25.8,15
25.9,14
26.0,15
26.1,14
26.2,15
26.3,15
26.4,15
26.5,15
26.6,15
26.7,15
26.8,15
26.9,15
27.0,15
27.1,15
27.2,15
27.3,15
27.4,15
27.5,15
27.6,15
27.7,15
27.8,14
27.9,15
28.0,14
28.1,15
28.2,14
28.3,15
28.4,14
28.5,15
28.6,14
28.7,15
28.8,15
28.9,15
29.0,15
29.1,15
29.2,15
29.3,15
29.4,15
29.5,15
29.6,15
29.7,14
29.8,15
29.9,14
30.0,15
30.1,14
30.2,15
30.3,14
30.4,15
30.5,14
30.6,15
30.7,15
30.8,15
30.9,15
31.0,15
31.1,15
31.2,14
31.3,15
31.4,14
31.5,15
31.6,14
31.7,15
31.8,14
31.9,15
32.0,14
32.1,15
32.2,15
32.3,15
32.4,15
32.5,14
32.6,15
32.7,14
32.8,15
32.9,14
33.0,15
33.1,14
33.2,15
33.3,14
33.4,15
33.5,15
33.6,15
33.7,15
33.8,15
33.9,15
34.0,14
34.1,15
34.2,14
34.3,15
34.4,14
34.5,15
34.6,14
34.7,15
34.8,14
34.9,15
35.0,15
35.1,15
35.2,15
35.3,15
35.4,15
35.5,15
35.6,15
35.7,15
35.8,15
35.9,14
36.0,15
36.1,14
36.2,15
36.3,14
36.4,15
36.5,14
36.6,15
36.7,14
36.8,15
36.9,15
37.0,15
37.1,15
37.2,15
37.3,15
37.4,15
37.5,15
37.6,14
37.7,15
37.8,14
37.9,15
38.0,14
38.1,15
38.2,14
38.3,15
38.4,14
38.5,15
38.6,15
38.7,15
38.8,15
38.9,15
39.0,15
39.1,15
39.2,15
39.3,15
39.4,15
39.5,15
