"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,0.0332086076305
0.005,0.0250890247407
0.01,0.0130326743893
0.015,-0.0155088897081
0.02,-0.0479872212672
0.025,-0.0888311836825
0.03,-0.137548681021
0.035,-0.194631809216
0.04,-0.259588472334
0.045,-0.32872795088
0.05,-0.410169827745
0.055,-0.50366805496
0.06,-0.589292747252
0.065,-0.67860815904
0.07,-0.764232851332
0.075,-0.857731078548
0.08,-0.934990139984
0.085,-0.99601003564
0.09,-1.05309316384
0.095,-1.09369107828
0.1,-1.11804982695
0.105,-1.12223264238
0.11,-1.12223264238
0.115,-1.10181066117
0.12,-1.06514951419
0.125,-1.01643201685
0.13,-0.955412121191
0.135,-0.886272642645
0.14,-0.804830765781
0.145,-0.715269306027
0.15,-0.621771078811
0.155,-0.536392434486
0.16,-0.450767742193
0.165,-0.369571913296
0.17,-0.292066803893
0.175,-0.227110140775
0.18,-0.166090245119
0.185,-0.117126699814
0.19,-0.0765287853646
0.195,-0.0398676383775
0.2,-0.0155088897081
0.205,0.00491309149947
0.21,0.016969441851
0.215,0.016969441851
0.22,0.016969441851
0.225,0.00491309149947
0.23,-0.0113260742801
0.235,-0.0398676383775
0.24,-0.0684092024749
0.245,-0.109007116924
0.25,-0.157970662229
0.255,-0.214807742457
0.26,-0.275827638114
0.265,-0.35308669955
0.27,-0.434528576414
0.275,-0.524090036168
0.28,-0.613651495922
0.285,-0.703212955676
0.29,-0.796711182891
0.295,-0.886272642645
0.3,-0.963531704081
0.305,-1.03267118263
0.31,-1.08557149539
0.315,-1.13035222527
0.32,-1.15471097394
0.325,-1.16701337226
0.33,-1.17095013972
0.335,-1.15077420648
0.34,-1.11804982695
0.345,-1.06933232961
0.35,-1.00412961853
0.355,-0.934990139984
0.36,-0.849611495658
0.365,-0.764232851332
0.37,-0.666551808688
0.375,-0.568870766045
0.38,-0.475372538829
0.385,-0.385811079075
0.39,-0.300432434749
0.395,-0.222927325347
0.4,-0.157970662229
0.405,-0.100887534034
0.41,-0.0521700366953
0.415,-0.0155088897081
0.42,0.016969441851
0.425,0.0373914230586
0.43,0.0578134042662
0.435,0.065932987156
0.44,0.065932987156
0.445,0.0617501717279
0.45,0.0496938213764
0.455,0.0292718401688
0.46,0.000730276071408
0.465,-0.0359308709158
0.47,-0.0765287853646
0.475,-0.129429098131
0.48,-0.18626617836
0.485,-0.251468889444
0.49,-0.324791183419
0.495,-0.410169827745
0.5,-0.49554847207
0.505,-0.589292747252
0.51,-0.67860815904
0.515,-0.764232851332
0.52,-0.857731078548
0.525,-0.934990139984
0.53,-1.00412961853
0.535,-1.06121274672
0.54,-1.10181066117
0.545,-1.13428899273
0.55,-1.14659139105
0.555,-1.15077420648
0.56,-1.13035222527
0.565,-1.10181066117
0.57,-1.0570299313
0.575,-1.00019285107
0.58,-0.926870557094
0.585,-0.84542868023
0.59,-0.760050035904
0.595,-0.66236899326
0.6,-0.568870766045
0.605,-0.479309306291
0.61,-0.389747846537
0.615,-0.312488785101
0.62,-0.235229723665
0.625,-0.174209828008
0.63,-0.125246282703
0.635,-0.0807116007927
0.64,-0.0359308709158
0.645,-0.0113260742801
0.65,0.00884985896118
0.655,0.0292718401688
0.66,0.0332086076305
0.665,0.0373914230586
0.67,0.0292718401688
0.675,0.016969441851
0.68,-0.00738930681837
0.685,-0.0359308709158
0.69,-0.0684092024749
0.695,-0.113189932352
0.7,-0.166090245119
0.705,-0.231046908237
0.71,-0.296249619321
0.715,-0.373508680757
0.72,-0.463070140511
0.725,-0.548448784837
0.73,-0.642193060019
0.735,-0.731508471807
0.74,-0.817133164099
0.745,-0.898328992997
0.75,-0.967468471543
0.755,-1.02455159974
0.76,-1.06933232961
0.765,-1.10181066117
0.77,-1.12223264238
0.775,-1.12223264238
0.78,-1.11411305949
0.785,-1.08950826286
0.79,-1.04891034841
0.795,-0.99601003564
0.8,-0.934990139984
0.805,-0.85354826312
0.81,-0.772352434222
0.815,-0.682790974468
0.82,-0.593229514714
0.825,-0.50366805496
0.83,-0.418289410634
0.835,-0.341030349198
0.84,-0.271890870652
0.845,-0.202751392106
0.85,-0.149851079339
0.855,-0.100887534034
0.86,-0.0642263870468
0.865,-0.027811288026
0.87,-0.00738930681837
0.875,0.00884985896118
0.88,0.021152257279
0.885,0.021152257279
0.89,0.0130326743893
0.895,-0.0032064913903
0.9,-0.0196917051362
0.905,-0.0479872212672
0.91,-0.0846483682544
0.915,-0.125246282703
0.92,-0.174209828008
0.925,-0.235229723665
0.93,-0.308552017639
0.935,-0.377691496185
0.94,-0.463070140511
0.945,-0.552631600265
0.95,-0.642193060019
0.955,-0.731508471807
0.96,-0.82106993156
0.965,-0.906448575886
0.97,-0.983953685289
0.975,-1.04079076552
0.98,-1.09787389371
0.985,-1.13847180816
0.99,-1.15889378937
0.995,-1.17095013972
1,-1.16283055683
1.005,-1.13847180816
1.01,-1.1059934766
1.015,-1.0570299313
1.02,-0.992073268179
1.025,-0.918750974204
1.03,-0.833372329878
1.035,-0.739628054696
1.04,-0.646129827481
1.045,-0.548448784837
1.05,-0.454950557621
1.055,-0.365389097868
1.06,-0.283947221003
1.065,-0.210870974995
1.07,-0.145668263911
1.075,-0.0927679511442
1.08,-0.0479872212672
1.085,-0.00738930681837
1.09,0.021152257279
1.095,0.0415742384866
1.1,0.0578134042662
1.105,0.0617501717279
1.11,0.0698697546177
1.115,0.0578134042662
1.12,0.0455110059484
1.125,0.0250890247407
1.13,-0.0032064913903
1.135,-0.0440504538055
1.14,-0.0807116007927
1.145,-0.137548681021
1.15,-0.202751392106
1.155,-0.271890870652
1.16,-0.35308669955
1.165,-0.434528576414
1.17,-0.524090036168
1.175,-0.617588263383
1.18,-0.711332538565
1.185,-0.800647950353
1.19,-0.886272642645
1.195,-0.959348888653
1.2,-1.02455159974
1.205,-1.08138867997
1.21,-1.12223264238
1.215,-1.14240857562
1.22,-1.15471097394
1.225,-1.14659139105
1.23,-1.12223264238
1.235,-1.08950826286
1.24,-1.04079076552
1.245,-0.971651286971
1.25,-0.902511808425
1.255,-0.812950348671
1.26,-0.723388888917
1.265,-0.629890661701
1.27,-0.536392434486
1.275,-0.450767742193
1.28,-0.369571913296
1.285,-0.288130036432
1.29,-0.218990557885
1.295,-0.16190742969
1.3,-0.109007116924
1.305,-0.0642263870468
1.31,-0.027811288026
1.315,-0.0032064913903
1.32,0.016969441851
1.325,0.0292718401688
1.33,0.0373914230586
1.335,0.0373914230586
1.34,0.0250890247407
1.345,0.016969441851
1.35,-0.0113260742801
1.355,-0.0398676383775
1.36,-0.0807116007927
1.365,-0.129429098131
1.37,-0.182329410898
1.375,-0.247532121983
1.38,-0.324791183419
1.385,-0.402050244855
1.39,-0.491611704609
1.395,-0.580927116396
1.4,-0.67048857615
1.405,-0.760050035904
1.41,-0.84542868023
1.415,-0.926870557094
1.42,-0.992073268179
1.425,-1.04497358095
1.43,-1.08557149539
1.435,-1.10993024406
1.44,-1.12223264238
1.445,-1.11804982695
1.45,-1.10181066117
1.455,-1.06933232961
1.46,-1.02455159974
1.465,-0.963531704081
1.47,-0.894392225535
1.475,-0.817133164099
1.48,-0.723388888917
1.485,-0.638010244591
1.49,-0.548448784837
1.495,-0.467006907973
1.5,-0.381628263647
1.505,-0.304369202211
1.51,-0.235229723665
1.515,-0.17814659547
1.52,-0.125246282703
1.525,-0.0807116007927
1.53,-0.0440504538055
1.535,-0.0196917051362
1.54,0.000730276071408
1.545,0.0130326743893
1.55,0.016969441851
1.555,0.016969441851
1.56,0.00884985896118
1.565,-0.0113260742801
1.57,-0.0359308709158
1.575,-0.0642263870468
1.58,-0.105070349462
1.585,-0.149851079339
1.59,-0.202751392106
1.595,-0.267708055224
1.6,-0.341030349198
1.605,-0.418289410634
1.61,-0.50366805496
1.615,-0.593229514714
1.62,-0.68672774193
1.625,-0.780472017112
1.63,-0.870033476866
1.635,-0.943109722873
1.64,-1.01643201685
1.645,-1.0774519125
1.65,-1.11804982695
1.655,-1.15077420648
1.66,-1.16283055683
1.665,-1.16701337226
1.67,-1.15077420648
1.675,-1.12223264238
1.68,-1.08138867997
1.685,-1.02455159974
1.69,-0.955412121191
1.695,-0.873970244327
1.7,-0.784408784573
1.705,-0.68672774193
1.71,-0.597412330142
1.715,-0.49554847207
1.72,-0.410169827745
1.725,-0.320608367991
1.73,-0.243349306555
1.735,-0.174209828008
1.74,-0.117126699814
1.745,-0.0684092024749
1.75,-0.027811288026
1.755,0.00884985896118
1.76,0.0332086076305
1.765,0.0496938213764
1.77,0.0617501717279
1.775,0.065932987156
1.78,0.0578134042662
1.785,0.0496938213764
1.79,0.0292718401688
1.795,0.00491309149947
1.8,-0.0196917051362
1.805,-0.0684092024749
1.81,-0.117126699814
1.815,-0.166090245119
1.82,-0.235229723665
1.825,-0.308552017639
1.83,-0.389747846537
1.835,-0.475372538829
