t, ω_1, EK_1, ω_2, EK_2 
0, 0.21557216567313137, 0.023235679306502, 0.2597616202095984, 0.03373804966695783 
1, -0.12303630123423444, 0.007568965710700639, -0.07874830947224921, 0.0031006481223685677 
2, -0.8758355372504243, 0.3835439441553697, -0.8517253638661142, 0.3627180477264323 
3, -0.8671357461354904, 0.3759622011129768, -0.8339771076341315, 0.34775890802889586 
4, -0.8978679558097523, 0.40308343303499167, -0.860435125892875, 0.3701743029351438 
5, -0.8239576435745762, 0.33945309920248423, -0.7811712050186483, 0.3051142257751436 
6, -0.8307278435842668, 0.345054375053083, -0.7561496493896086, 0.285881146136014 
7, -1.4167233658644858, 1.0035525476931988, -1.5422008452457807, 1.1891917235384002 
8, -1.416932840049777, 1.0038493366057635, -1.5287318976794004, 1.1685106074912304 
9, -1.4023517872378197, 0.9832952675845535, -1.5086274999278502, 1.1379784667692778 
