t,x,y
5.600000e-1,4.388713e1,3.625682e2
6.000000e-1,6.025284e1,3.624148e2
6.400000e-1,7.615031e1,3.603972e2
6.800000e-1,9.035395e1,3.550321e2
7.200000e-1,1.060671e2,3.535385e2
7.600000e-1,1.209603e2,3.469132e2
8.000000e-1,1.366009e2,3.399419e2
8.400000e-1,1.524848e2,3.347026e2
8.800000e-1,1.675400e2,3.289467e2
9.200000e-1,1.819009e2,3.227343e2
9.600000e-1,1.969491e2,3.158399e2
1.000000e0,2.106934e2,3.068018e2
1.040000e0,2.241197e2,2.981952e2
1.080000e0,2.366905e2,2.884355e2
1.120000e0,2.473114e2,2.799147e2
1.160000e0,2.589070e2,2.635586e2
1.200000e0,2.698978e2,2.508581e2
1.240000e0,2.811016e2,2.378373e2
1.280000e0,2.916075e2,2.231213e2
1.320000e0,3.017843e2,2.093013e2
1.360000e0,3.103132e2,1.959510e2
1.400000e0,3.190514e2,1.823333e2
1.440000e0,3.271157e2,1.680621e2
1.480000e0,3.331907e2,1.532953e2
1.520000e0,3.391292e2,1.382603e2
1.560000e0,3.442083e2,1.227138e2
1.600000e0,3.482606e2,1.080896e2
1.640000e0,3.524560e2,9.165682e1
1.680000e0,3.561146e2,7.482212e1
1.720000e0,3.590171e2,5.793793e1
1.760000e0,3.607778e2,4.140732e1
1.800000e0,3.617364e2,2.508979e1
1.840000e0,3.622713e2,9.112454e0
1.880000e0,3.623178e2,-7.127794e0
1.920000e0,3.617003e2,-2.293684e1
1.960000e0,3.599531e2,-3.923735e1
2.000000e0,3.570245e2,-5.500785e1
2.040000e0,3.543180e2,-6.996384e1
2.080000e0,3.504995e2,-8.513920e1
2.120000e0,3.461153e2,-1.005885e2
2.160000e0,3.410409e2,-1.153800e2
2.200000e0,3.353270e2,-1.293279e2
2.240000e0,3.280833e2,-1.449253e2
2.280000e0,3.205909e2,-1.591177e2
2.320000e0,3.128760e2,-1.731658e2
2.360000e0,3.038061e2,-1.873775e2
2.400000e0,2.948286e2,-2.006819e2
2.440000e0,2.853049e2,-2.132888e2
2.480000e0,2.752044e2,-2.257932e2
2.520000e0,2.640395e2,-2.369265e2
2.560000e0,2.535390e2,-2.470953e2
2.600000e0,2.426679e2,-2.576668e2
2.640000e0,2.295143e2,-2.672035e2
2.680000e0,2.165325e2,-2.772529e2
2.720000e0,2.029357e2,-2.863625e2
2.760000e0,1.894637e2,-2.956525e2
2.800000e0,1.758379e2,-3.034744e2
2.840000e0,1.619315e2,-3.105427e2
2.880000e0,1.474503e2,-3.157775e2
2.920000e0,1.316741e2,-3.220010e2
2.960000e0,1.168983e2,-3.281405e2
3.000000e0,1.020411e2,-3.314975e2
3.040000e0,8.712831e1,-3.346953e2
3.080000e0,7.180076e1,-3.369731e2
3.120000e0,5.637256e1,-3.385343e2
3.160000e0,4.102114e1,-3.405362e2
3.200000e0,2.569658e1,-3.413126e2
3.240000e0,9.491773e0,-3.417797e2
3.280000e0,-5.920313e0,-3.417934e2
3.320000e0,-2.180507e1,-3.410932e2
3.360000e0,-3.648108e1,-3.388160e2
3.400000e0,-5.201307e1,-3.371308e2
3.440000e0,-6.649483e1,-3.342644e2
3.480000e0,-8.125032e1,-3.305291e2
3.520000e0,-9.590889e1,-3.272024e2
3.560000e0,-1.098493e2,-3.215986e2
3.600000e0,-1.245982e2,-3.157175e2
3.640000e0,-1.376589e2,-3.095609e2
3.680000e0,-1.519075e2,-3.028208e2
3.720000e0,-1.650884e2,-2.940389e2
3.760000e0,-1.781613e2,-2.874609e2
3.800000e0,-1.901495e2,-2.783649e2
3.840000e0,-2.038377e2,-2.679128e2
3.880000e0,-2.151424e2,-2.594671e2
3.920000e0,-2.266234e2,-2.485310e2
3.960000e0,-2.374514e2,-2.381922e2
4.000000e0,-2.479002e2,-2.268857e2
4.040000e0,-2.572958e2,-2.149075e2
4.080000e0,-2.738699e2,-2.010364e2
4.120000e0,-2.823491e2,-1.878540e2
4.160000e0,-2.901643e2,-1.738406e2
4.200000e0,-2.971854e2,-1.596188e2
4.240000e0,-3.037669e2,-1.460576e2
4.280000e0,-3.097715e2,-1.329189e2
4.320000e0,-3.146339e2,-1.173899e2
4.360000e0,-3.209292e2,-1.037251e2
4.400000e0,-3.297030e2,-9.000000e1
4.440000e0,-3.339280e2,-7.482675e1
4.480000e0,-3.401544e2,-5.656009e1
4.520000e0,-3.401544e2,-5.656009e1
4.560000e0,-3.417465e2,-4.163040e1
4.600000e0,-3.425550e2,-2.635482e1
4.640000e0,-3.423338e2,-1.056193e1
4.680000e0,-3.416841e2,5.288138e0
4.720000e0,-3.412121e2,2.009050e1
4.760000e0,-3.404963e2,3.520718e1
4.800000e0,-3.371020e2,5.064489e1
4.840000e0,-3.344696e2,6.653478e1
4.880000e0,-3.311400e2,8.174613e1
4.920000e0,-3.279121e2,9.690342e1
4.960000e0,-3.235281e2,1.116411e2
5.000000e0,-3.199088e2,1.269262e2
5.040000e0,-3.116793e2,1.417940e2
5.080000e0,-3.056725e2,1.566078e2
5.120000e0,-2.982351e2,1.711600e2
5.160000e0,-2.900511e2,1.849583e2
5.200000e0,-2.811598e2,1.989019e2
5.240000e0,-2.714488e2,2.118963e2
5.280000e0,-2.612357e2,2.231640e2
5.320000e0,-2.500918e2,2.356892e2
5.360000e0,-2.388661e2,2.459670e2
5.400000e0,-2.275787e2,2.574366e2
5.440000e0,-2.155154e2,2.667059e2
5.480000e0,-2.036323e2,2.761891e2
5.520000e0,-1.916115e2,2.845673e2
5.560000e0,-1.791929e2,2.929808e2
