t, peaks/s 
0,85
0.1,91
0.2,91
0.3,87
0.4,82
0.5,77
0.6,73
0.7,69
0.8,65
0.9,62
1.0,59
1.1,57
1.2,54
1.3,52
1.4,50
1.5,48
1.6,46
1.7,45
1.8,44
1.9,43
2.0,41
2.1,39
2.2,39
2.3,37
2.4,36
2.5,35
2.6,34
2.7,33
2.8,32
2.9,31
3.0,31
3.1,31
3.2,29
3.3,29
3.4,28
3.5,28
3.6,28
3.7,27
3.8,26
3.9,26
4.0,25
4.1,24
4.2,24
4.3,23
4.4,24
4.5,23
4.6,22
4.7,22
4.8,22
4.9,21
5.0,21
5.1,20
5.2,20
5.3,20
5.4,19
5.5,19
5.6,18
5.7,18
5.8,18
5.9,17
6.0,17
6.1,18
6.2,17
6.3,17
6.4,16
6.5,16
6.6,16
6.7,16
6.8,15
6.9,16
7.0,15
7.1,14
7.2,15
7.3,14
7.4,14
7.5,14
7.6,14
7.7,13
7.8,14
7.9,13
8.0,13
8.1,13
8.2,12
8.3,13
8.4,13
8.5,12
8.6,12
8.7,12
8.8,11
8.9,11
9.0,11
9.1,11
9.2,11
9.3,10
9.4,10
9.5,10
9.6,10
9.7,10
9.8,10
9.9,10
10.0,10
10.1,9
10.2,9
10.3,9
10.4,9
10.5,8
10.6,8
10.7,8
10.8,8
10.9,7
11.0,7
11.1,8
11.2,7
11.3,7
11.4,7
11.5,7
11.6,7
11.7,7
11.8,6
11.9,8
12.0,8
12.1,7
12.2,8
12.3,7
12.4,7
12.5,7
12.6,7
12.7,6
12.8,7
12.9,5
13.0,5
13.1,5
13.2,4
13.3,5
13.4,4
13.5,5
13.6,5
13.7,6
13.8,5
13.9,5
14.0,5
14.1,5
14.2,5
14.3,5
14.4,5
14.5,4
14.6,4
14.7,3
14.8,3
14.9,4
15.0,3
15.1,3
15.2,3
15.3,3
15.4,3
15.5,3
15.6,2
15.7,2
15.8,3
15.9,2
16.0,2
16.1,2
16.2,3
16.3,2
16.4,3
16.5,3
16.6,3
16.7,3
16.8,3
16.9,3
17.0,3
17.1,3
17.2,2
17.3,2
17.4,2
17.5,2
17.6,3
17.7,3
17.8,2
17.9,2
18.0,2
18.1,2
18.2,3
18.3,3
18.4,3
18.5,3
18.6,4
