t, peaks/s, omega 
0,87.2,68.4867198482575
0.1,85.6,67.23008278682157
0.2,82.0,64.40264939859075
0.3,77.6,60.94689747964198
0.4,73.2,57.49114556069322
0.5,69.2,54.34955290710342
0.6,65.6,51.5221195188726
0.7,62.4,49.00884539600077
0.8,59.4,46.65265090580843
0.9,56.8,44.61061568097506
1.0,54.4,42.725660088821186
1.1,52.2,40.997784129346805
1.2,50.0,39.269908169872416
1.3,48.2,37.85619147575701
1.4,46.6,36.59955441432109
1.5,45.2,35.499996985564664
1.6,43.8,34.40043955680823
1.7,42.4,33.3008821280518
1.8,41.2,32.358404331974874
1.9,39.8,31.25884690321844
2.0,38.4,30.159289474462014
2.1,37.2,29.216811678385078
2.2,36.2,28.43141351498763
2.3,35.0,27.48893571891069
2.4,34.0,26.703537555513243
2.5,33.0,25.918139392115794
2.6,32.2,25.289820861397835
2.7,31.6,24.818581963359367
2.8,30.8,24.19026343264141
2.9,30.2,23.719024534602937
3.0,29.6,23.24778563656447
3.1,29.0,22.776546738526
3.2,28.4,22.30530784048753
3.3,28.0,21.991148575128552
3.4,27.4,21.51990967709008
3.5,27.0,21.205750411731103
3.6,26.4,20.734511513692635
3.7,25.6,20.106192982974676
3.8,25.0,19.634954084936208
3.9,24.4,19.163715186897736
4.0,24.0,18.84955592153876
4.1,23.6,18.53539665617978
4.2,23.2,18.2212373908208
4.3,22.8,17.907078125461823
4.4,22.6,17.749998492782332
4.5,22.0,17.27875959474386
4.6,21.6,16.964600329384883
4.7,21.2,16.6504410640259
4.8,20.8,16.336281798666924
4.9,20.4,16.022122533307943
5.0,20.0,15.707963267948966
5.1,19.6,15.393804002589988
5.2,19.2,15.079644737231007
5.3,18.8,14.765485471872028
5.4,18.4,14.451326206513047
5.5,18.0,14.137166941154069
5.6,17.6,13.823007675795091
5.7,17.6,13.823007675795091
5.8,17.4,13.6659280431156
5.9,17.2,13.50884841043611
6.0,17.0,13.351768777756622
6.1,16.8,13.194689145077131
6.2,16.4,12.88052987971815
6.3,16.2,12.723450247038661
6.4,15.8,12.409290981679684
6.5,15.8,12.409290981679684
6.6,15.6,12.252211349000193
6.7,15.2,11.938052083641214
6.8,15.0,11.780972450961723
6.9,14.8,11.623892818282235
7.0,14.4,11.309733552923255
7.1,14.2,11.152653920243765
7.2,14.2,11.152653920243765
7.3,13.8,10.838494654884787
7.4,13.8,10.838494654884787
7.5,13.6,10.681415022205297
7.6,13.4,10.524335389525808
7.7,13.2,10.367255756846317
7.8,13.0,10.210176124166829
7.9,12.8,10.053096491487338
8.0,12.8,10.053096491487338
8.1,12.6,9.896016858807847
8.2,12.4,9.738937226128359
8.3,12.4,9.738937226128359
8.4,12.0,9.42477796076938
8.5,11.6,9.1106186954104
8.6,11.4,8.953539062730911
8.7,11.2,8.79645943005142
8.8,11.0,8.63937979737193
8.9,10.8,8.482300164692441
9.0,10.6,8.32522053201295
9.1,10.4,8.168140899333462
9.2,10.2,8.011061266653972
9.3,10.0,7.853981633974483
9.4,10.0,7.853981633974483
9.5,10.0,7.853981633974483
9.6,10.0,7.853981633974483
9.7,9.8,7.696902001294994
9.8,9.6,7.5398223686155035
9.9,9.4,7.382742735936014
10.0,9.2,7.225663103256523
10.1,8.8,6.911503837897546
10.2,8.6,6.754424205218055
10.3,8.4,6.5973445725385655
10.4,8.2,6.440264939859075
10.5,7.8,6.126105674500097
10.6,7.6,5.969026041820607
10.7,7.6,5.969026041820607
10.8,7.4,5.811946409141117
10.9,7.2,5.654866776461628
11.0,7.2,5.654866776461628
11.1,7.2,5.654866776461628
11.2,7.0,5.497787143782138
11.3,7.0,5.497787143782138
11.4,6.8,5.340707511102648
11.5,7.0,5.497787143782138
11.6,7.2,5.654866776461628
11.7,7.2,5.654866776461628
11.8,7.4,5.811946409141117
11.9,7.6,5.969026041820607
12.0,7.4,5.811946409141117
12.1,7.2,5.654866776461628
12.2,7.2,5.654866776461628
12.3,6.8,5.340707511102648
12.4,6.8,5.340707511102648
12.5,6.4,5.026548245743669
12.6,6.0,4.71238898038469
12.7,5.6,4.39822971502571
12.8,5.2,4.084070449666731
12.9,4.8,3.7699111843077517
13.0,4.6,3.6128315516282616
13.1,4.6,3.6128315516282616
13.2,4.6,3.6128315516282616
13.3,5.0,3.9269908169872414
13.4,5.0,3.9269908169872414
13.5,5.2,4.084070449666731
13.6,5.2,4.084070449666731
13.7,5.2,4.084070449666731
13.8,5.0,3.9269908169872414
13.9,5.0,3.9269908169872414
14.0,5.0,3.9269908169872414
14.1,4.8,3.7699111843077517
14.2,4.6,3.6128315516282616
14.3,4.2,3.2986722862692828
14.4,3.8,2.9845130209103035
14.5,3.6,2.827433388230814
14.6,3.4,2.670353755551324
14.7,3.2,2.5132741228718345
14.8,3.2,2.5132741228718345
14.9,3.2,2.5132741228718345
15.0,3.0,2.356194490192345
15.1,3.0,2.356194490192345
15.2,2.8,2.199114857512855
15.3,2.6,2.0420352248333655
15.4,2.6,2.0420352248333655
15.5,2.4,1.8849555921538759
15.6,2.2,1.7278759594743864
15.7,2.2,1.7278759594743864
15.8,2.4,1.8849555921538759
15.9,2.2,1.7278759594743864
16.0,2.4,1.8849555921538759
16.1,2.6,2.0420352248333655
16.2,2.8,2.199114857512855
16.3,2.8,2.199114857512855
16.4,3.0,2.356194490192345
16.5,3.0,2.356194490192345
16.6,3.0,2.356194490192345
16.7,3.0,2.356194490192345
16.8,2.8,2.199114857512855
16.9,2.6,2.0420352248333655
17.0,2.4,1.8849555921538759
17.1,2.2,1.7278759594743864
17.2,2.2,1.7278759594743864
17.3,2.4,1.8849555921538759
17.4,2.4,1.8849555921538759
17.5,2.4,1.8849555921538759
17.6,2.4,1.8849555921538759
17.7,2.2,1.7278759594743864
17.8,2.2,1.7278759594743864
17.9,2.4,1.8849555921538759
18.0,2.6,2.0420352248333655
18.1,2.8,2.199114857512855
18.2,3.2,2.5132741228718345
