t, peaks/s, omega 
1.4,36.4,76.2359817271123
1.5,36.4,76.2359817271123
1.6,36.4,76.2359817271123
1.7,36.2,75.81710270663368
1.8,36.2,75.81710270663368
1.9,36.2,75.81710270663368
2.0,35.8,74.9793446656764
2.1,35.8,74.9793446656764
2.2,35.6,74.56046564519777
2.3,35.4,74.14158662471911
2.4,35.2,73.72270760424048
2.5,35.2,73.72270760424048
2.6,35.0,73.30382858376184
2.7,35.0,73.30382858376184
2.8,35.0,73.30382858376184
2.9,35.0,73.30382858376184
3.0,35.0,73.30382858376184
3.1,34.8,72.8849495632832
3.2,34.8,72.8849495632832
3.3,34.6,72.46607054280456
3.4,34.4,72.04719152232592
3.5,34.2,71.62831250184729
3.6,34.2,71.62831250184729
3.7,33.8,70.79055446089
3.8,33.8,70.79055446089
3.9,33.6,70.37167544041137
4.0,33.4,69.95279641993272
4.1,33.4,69.95279641993272
4.2,33.4,69.95279641993272
4.3,33.2,69.5339173994541
4.4,33.2,69.5339173994541
4.5,33.2,69.5339173994541
4.6,33.0,69.11503837897546
4.7,33.0,69.11503837897546
4.8,32.8,68.6961593584968
4.9,32.6,68.27728033801817
5.0,32.6,68.27728033801817
5.1,32.4,67.85840131753953
5.2,32.2,67.43952229706089
5.3,32.2,67.43952229706089
5.4,32.2,67.43952229706089
5.5,31.8,66.6017642561036
5.6,31.6,66.18288523562498
5.7,31.6,66.18288523562498
5.8,31.6,66.18288523562498
5.9,31.6,66.18288523562498
6.0,31.6,66.18288523562498
6.1,31.6,66.18288523562498
6.2,31.4,65.76400621514632
6.3,31.2,65.3451271946677
6.4,31.0,64.92624817418906
6.5,31.0,64.92624817418906
6.6,31.0,64.92624817418906
6.7,30.8,64.50736915371043
6.8,30.6,64.08849013323179
6.9,30.4,63.66961111275314
7.0,30.2,63.2507320922745
7.1,30.0,62.831853071795855
7.2,30.0,62.831853071795855
7.3,30.0,62.831853071795855
7.4,30.0,62.831853071795855
7.5,30.0,62.831853071795855
7.6,30.0,62.831853071795855
7.7,30.0,62.831853071795855
7.8,30.0,62.831853071795855
7.9,30.0,62.831853071795855
8.0,30.0,62.831853071795855
8.1,29.8,62.41297405131723
8.2,29.6,61.99409503083859
8.3,29.4,61.575216010359945
8.4,29.2,61.156336989881304
8.5,29.0,60.73745796940267
8.6,29.0,60.73745796940267
8.7,28.8,60.31857894892403
8.8,28.6,59.89969992844539
8.9,28.4,59.480820907966745
9.0,28.2,59.06194188748811
9.1,28.2,59.06194188748811
9.2,28.2,59.06194188748811
9.3,28.2,59.06194188748811
9.4,28.2,59.06194188748811
9.5,28.2,59.06194188748811
9.6,28.0,58.64306286700947
9.7,28.0,58.64306286700947
9.8,28.0,58.64306286700947
9.9,28.0,58.64306286700947
10.0,27.8,58.22418384653083
10.1,27.6,57.8053048260522
10.2,27.6,57.8053048260522
10.3,27.6,57.8053048260522
10.4,27.4,57.386425805573545
10.5,27.4,57.386425805573545
10.6,27.4,57.386425805573545
10.7,27.2,56.96754678509492
10.8,27.0,56.548667764616276
10.9,26.8,56.12978874413764
11.0,26.8,56.12978874413764
11.1,26.8,56.12978874413764
11.2,26.6,55.710909723659
11.3,26.4,55.29203070318036
11.4,26.6,55.710909723659
11.5,26.4,55.29203070318036
11.6,26.2,54.87315168270172
11.7,26.2,54.87315168270172
11.8,26.2,54.87315168270172
11.9,26.0,54.45427266222308
12.0,26.0,54.45427266222308
12.1,26.0,54.45427266222308
12.2,26.0,54.45427266222308
12.3,25.8,54.03539364174444
12.4,25.6,53.6165146212658
