"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0,-0.255651704872
0.005,-0.263771287762
0.01,-0.255651704872
0.015,-0.259588472334
0.02,-0.255651704872
0.025,-0.259588472334
0.03,-0.259588472334
0.035,-0.259588472334
0.04,-0.255651704872
0.045,-0.255651704872
0.05,-0.255651704872
0.055,-0.255651704872
0.06,-0.259588472334
0.065,-0.259588472334
0.07,-0.259588472334
0.075,-0.255651704872
0.08,-0.259588472334
0.085,-0.255651704872
0.09,-0.259588472334
0.095,-0.259588472334
0.1,-0.259588472334
0.105,-0.259588472334
0.11,-0.259588472334
0.115,-0.259588472334
0.12,-0.255651704872
0.125,-0.263771287762
0.13,-0.255651704872
0.135,-0.259588472334
0.14,-0.255651704872
0.145,-0.259588472334
0.15,-0.259588472334
0.155,-0.259588472334
0.16,-0.259588472334
0.165,-0.255651704872
0.17,-0.259588472334
0.175,-0.255651704872
0.18,-0.255651704872
0.185,-0.255651704872
0.19,-0.255651704872
0.195,-0.255651704872
0.2,-0.251468889444
0.205,-0.259588472334
0.21,-0.259588472334
0.215,-0.259588472334
0.22,-0.255651704872
0.225,-0.259588472334
0.23,-0.255651704872
0.235,-0.251468889444
0.24,-0.255651704872
0.245,-0.259588472334
0.25,-0.255651704872
0.255,-0.255651704872
0.26,-0.255651704872
0.265,-0.255651704872
0.27,-0.259588472334
0.275,-0.259588472334
0.28,-0.259588472334
0.285,-0.259588472334
0.29,-0.259588472334
0.295,-0.259588472334
0.3,-0.251468889444
0.305,-0.255651704872
0.31,-0.259588472334
0.315,-0.259588472334
0.32,-0.255651704872
0.325,-0.255651704872
0.33,-0.259588472334
0.335,-0.259588472334
0.34,-0.259588472334
0.345,-0.255651704872
0.35,-0.255651704872
0.355,-0.259588472334
0.36,-0.255651704872
0.365,-0.255651704872
0.37,-0.259588472334
0.375,-0.255651704872
0.38,-0.255651704872
0.385,-0.259588472334
0.39,-0.255651704872
0.395,-0.259588472334
0.4,-0.259588472334
0.405,-0.259588472334
0.41,-0.255651704872
0.415,-0.251468889444
0.42,-0.259588472334
0.425,-0.255651704872
0.43,-0.259588472334
0.435,-0.255651704872
0.44,-0.255651704872
0.445,-0.259588472334
0.45,-0.259588472334
0.455,-0.259588472334
0.46,-0.259588472334
0.465,-0.259588472334
0.47,-0.255651704872
0.475,-0.259588472334
0.48,-0.255651704872
0.485,-0.259588472334
0.49,-0.255651704872
0.495,-0.255651704872
0.5,-0.255651704872
0.505,-0.259588472334
0.51,-0.255651704872
0.515,-0.259588472334
0.52,-0.255651704872
0.525,-0.259588472334
0.53,-0.259588472334
0.535,-0.267708055224
0.54,-0.267708055224
0.545,-0.271890870652
0.55,-0.271890870652
0.555,-0.275827638114
0.56,-0.275827638114
0.565,-0.283947221003
0.57,-0.280010453542
0.575,-0.288130036432
0.58,-0.288130036432
0.585,-0.292066803893
0.59,-0.292066803893
0.595,-0.296249619321
0.6,-0.292066803893
0.605,-0.292066803893
0.61,-0.296249619321
0.615,-0.296249619321
0.62,-0.296249619321
0.625,-0.296249619321
0.63,-0.300432434749
0.635,-0.300432434749
0.64,-0.300432434749
0.645,-0.300432434749
0.65,-0.296249619321
0.655,-0.292066803893
0.66,-0.296249619321
0.665,-0.292066803893
0.67,-0.288130036432
0.675,-0.288130036432
0.68,-0.292066803893
0.685,-0.292066803893
0.69,-0.288130036432
0.695,-0.288130036432
0.7,-0.288130036432
0.705,-0.288130036432
0.71,-0.283947221003
0.715,-0.292066803893
0.72,-0.288130036432
0.725,-0.292066803893
0.73,-0.292066803893
0.735,-0.288130036432
0.74,-0.288130036432
0.745,-0.288130036432
0.75,-0.292066803893
0.755,-0.288130036432
0.76,-0.292066803893
0.765,-0.292066803893
0.77,-0.292066803893
0.775,-0.283947221003
0.78,-0.283947221003
0.785,-0.283947221003
0.79,-0.283947221003
0.795,-0.283947221003
0.8,-0.280010453542
0.805,-0.283947221003
0.81,-0.280010453542
0.815,-0.280010453542
0.82,-0.280010453542
0.825,-0.280010453542
0.83,-0.280010453542
0.835,-0.275827638114
0.84,-0.275827638114
0.845,-0.280010453542
0.85,-0.275827638114
0.855,-0.275827638114
0.86,-0.271890870652
0.865,-0.275827638114
0.87,-0.267708055224
0.875,-0.267708055224
0.88,-0.263771287762
0.885,-0.267708055224
0.89,-0.267708055224
0.895,-0.259588472334
0.9,-0.259588472334
0.905,-0.263771287762
0.91,-0.263771287762
0.915,-0.259588472334
0.92,-0.259588472334
0.925,-0.259588472334
0.93,-0.259588472334
0.935,-0.259588472334
0.94,-0.255651704872
0.945,-0.255651704872
0.95,-0.255651704872
0.955,-0.255651704872
0.96,-0.255651704872
0.965,-0.251468889444
0.97,-0.255651704872
0.975,-0.251468889444
0.98,-0.251468889444
