t, peaks/s, omega 
2.6,17.6,36.86135380212024
2.7,17.6,36.86135380212024
2.8,17.6,36.86135380212024
2.9,17.4,36.4424747816416
3.0,17.4,36.4424747816416
3.1,17.6,36.86135380212024
3.2,17.4,36.4424747816416
3.3,17.2,36.02359576116296
3.4,17.2,36.02359576116296
3.5,17.4,36.4424747816416
3.6,17.2,36.02359576116296
3.7,17.2,36.02359576116296
3.8,17.0,35.604716740684324
3.9,17.0,35.604716740684324
4.0,16.8,35.18583772020568
4.1,16.6,34.76695869972705
4.2,16.6,34.76695869972705
4.3,16.8,35.18583772020568
4.4,16.6,34.76695869972705
4.5,16.6,34.76695869972705
4.6,16.6,34.76695869972705
4.7,16.4,34.3480796792484
4.8,16.2,33.929200658769766
4.9,16.2,33.929200658769766
5.0,16.0,33.510321638291124
5.1,16.0,33.510321638291124
5.2,16.0,33.510321638291124
5.3,15.8,33.09144261781249
5.4,15.8,33.09144261781249
5.5,15.6,32.67256359733385
5.6,15.6,32.67256359733385
5.7,15.4,32.253684576855214
5.8,15.6,32.67256359733385
5.9,15.4,32.253684576855214
6.0,15.4,32.253684576855214
6.1,15.2,31.83480555637657
6.2,15.2,31.83480555637657
6.3,15.0,31.415926535897928
6.4,15.0,31.415926535897928
6.5,15.0,31.415926535897928
6.6,15.0,31.415926535897928
6.7,15.0,31.415926535897928
6.8,14.8,30.997047515419293
6.9,14.8,30.997047515419293
7.0,14.6,30.578168494940652
7.1,14.6,30.578168494940652
7.2,14.4,30.159289474462014
7.3,14.4,30.159289474462014
7.4,14.2,29.740410453983372
7.5,14.2,29.740410453983372
7.6,14.0,29.321531433504735
7.7,14.0,29.321531433504735
7.8,14.0,29.321531433504735
7.9,14.0,29.321531433504735
8.0,14.0,29.321531433504735
8.1,14.0,29.321531433504735
8.2,14.0,29.321531433504735
8.3,14.0,29.321531433504735
8.4,13.8,28.9026524130261
8.5,13.8,28.9026524130261
8.6,13.6,28.48377339254746
8.7,13.4,28.06489437206882
8.8,13.4,28.06489437206882
8.9,13.4,28.06489437206882
9.0,13.2,27.64601535159018
9.1,13.2,27.64601535159018
9.2,13.2,27.64601535159018
9.3,13.0,27.22713633111154
9.4,13.0,27.22713633111154
9.5,13.0,27.22713633111154
9.6,13.0,27.22713633111154
9.7,13.0,27.22713633111154
9.8,12.8,26.8082573106329
9.9,12.8,26.8082573106329
10.0,12.8,26.8082573106329
10.1,12.6,26.38937829015426
10.2,12.4,25.970499269675624
10.3,12.6,26.38937829015426
10.4,12.6,26.38937829015426
10.5,12.4,25.970499269675624
10.6,12.4,25.970499269675624
10.7,12.4,25.970499269675624
10.8,12.4,25.970499269675624
10.9,12.2,25.551620249196983
11.0,12.2,25.551620249196983
11.1,12.2,25.551620249196983
11.2,12.2,25.551620249196983
11.3,11.8,24.713862208239707
11.4,11.6,24.294983187761066
11.5,11.6,24.294983187761066
11.6,11.6,24.294983187761066
11.7,11.6,24.294983187761066
11.8,11.6,24.294983187761066
11.9,11.6,24.294983187761066
12.0,11.4,23.87610416728243
12.1,11.2,23.45722514680379
12.2,11.0,23.03834612632515
12.3,11.2,23.45722514680379
12.4,11.4,23.87610416728243
12.5,11.4,23.87610416728243
12.6,11.4,23.87610416728243
12.7,11.4,23.87610416728243
12.8,11.2,23.45722514680379
12.9,11.0,23.03834612632515
13.0,11.0,23.03834612632515
13.1,11.0,23.03834612632515
13.2,11.0,23.03834612632515
13.3,10.8,22.61946710584651
13.4,10.6,22.20058808536787
13.5,10.4,21.78170906488923
13.6,10.2,21.36283004441059
13.7,10.0,20.943951023931955
13.8,10.0,20.943951023931955
13.9,10.0,20.943951023931955
14.0,10.0,20.943951023931955
14.1,10.0,20.943951023931955
14.2,10.0,20.943951023931955
14.3,10.0,20.943951023931955
14.4,10.0,20.943951023931955
14.5,10.0,20.943951023931955
14.6,10.0,20.943951023931955
14.7,10.0,20.943951023931955
14.8,10.0,20.943951023931955
14.9,10.0,20.943951023931955
15.0,10.0,20.943951023931955
15.1,10.0,20.943951023931955
