"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,0.631351213844
0.005,0.00884985896118
0.01,-0.16190742969
0.015,-0.202751392106
0.02,-0.18626617836
0.025,-0.0888311836825
0.03,0.265231839905
0.035,1.39213152582
0.04,4.22414361859
0.045,5.88816601506
0.05,5.88004643217
0.055,4.57796059421
0.06,1.56313486244
0.065,0.277534238223
0.07,-0.125246282703
0.075,-0.218990557885
0.08,-0.222927325347
0.085,-0.182329410898
0.09,-0.0479872212672
0.095,0.419749962777
0.1,1.7747361135
0.105,4.76913986407
0.11,5.88398319963
0.115,5.89210278252
0.12,3.83760226344
0.125,1.18077632272
0.13,0.147128816054
0.135,-0.166090245119
0.14,-0.231046908237
0.145,-0.239166491127
0.15,-0.218990557885
0.155,-0.105070349462
0.16,0.326251735562
0.165,1.66081590508
0.17,4.7162395513
0.175,5.88398319963
0.18,5.89210278252
0.185,3.94340288897
0.19,1.25803538415
0.195,0.212331527138
0.2,-0.113189932352
0.205,-0.190448993788
0.21,-0.198568576678
0.215,-0.157970662229
0.22,0.0415742384866
0.225,0.692371109501
0.23,2.56405798958
0.235,5.55452497268
0.24,5.87192684928
0.245,5.71322591098
0.25,2.85291830208
0.255,0.737151839377
0.26,0.0130326743893
0.265,-0.190448993788
0.27,-0.222927325347
0.275,-0.210870974995
0.28,-0.129429098131
0.285,0.126952882812
0.29,0.936450692127
0.295,3.0765759035
0.3,5.75800664086
0.305,5.88004643217
0.31,5.3795848686
0.315,2.31185882406
0.32,0.558274967836
0.325,-0.0398676383775
0.33,-0.206688159567
0.335,-0.243349306555
0.34,-0.231046908237
0.345,-0.17814659547
0.35,0.0415742384866
0.355,0.769630170937
0.36,2.787715591
0.365,5.6684451811
0.37,5.88004643217
0.375,5.53016622401
0.38,2.55593840669
0.385,0.684251526611
0.39,0.0292718401688
0.395,-0.16190742969
0.4,-0.198568576678
0.405,-0.182329410898
0.41,-0.100887534034
0.415,0.216514342566
0.42,1.20513507139
0.425,3.76427996947
0.43,5.88004643217
0.435,5.88004643217
0.44,4.96056518189
0.445,1.82345361084
0.45,0.354793299659
0.455,-0.109007116924
0.46,-0.218990557885
0.465,-0.227110140775
0.47,-0.194631809216
0.475,-0.0807116007927
0.48,0.297710171464
0.485,1.42485590534
0.49,4.1874824716
0.495,5.88816601506
0.5,5.88398319963
0.505,4.56172142843
0.51,1.56731767787
0.515,0.281471005685
0.52,-0.121309515242
0.525,-0.222927325347
0.53,-0.239166491127
0.535,-0.227110140775
0.54,-0.145668263911
0.545,0.167550797261
0.55,1.14805194319
0.555,3.65035976104
0.56,5.87586361674
0.565,5.88398319963
0.57,4.91160163659
0.575,1.87635392361
0.58,0.432052361095
0.585,-0.0398676383775
0.59,-0.17814659547
0.595,-0.202751392106
0.6,-0.17814659547
0.605,-0.056106804157
0.61,0.362912882549
0.615,1.61185235978
0.62,4.53317986433
0.625,5.89210278252
0.63,5.88816601506
0.635,4.32576142869
0.64,1.39213152582
0.645,0.212331527138
0.65,-0.145668263911
0.655,-0.227110140775
0.66,-0.222927325347
0.665,-0.182329410898
0.67,-0.0359308709158
0.675,0.440171943985
0.68,1.78285569639
0.685,4.74084434794
0.69,5.89210278252
0.695,5.88816601506
0.7,4.00835955209
0.705,1.2782113174
0.71,0.187972778469
0.715,-0.149851079339
0.72,-0.227110140775
0.725,-0.231046908237
0.73,-0.214807742457
0.735,-0.125246282703
0.74,0.248992674125
0.745,1.37589236004
0.75,4.16706049039
0.755,5.88816601506
0.76,5.88816601506
0.765,4.59838257542
0.77,1.62833757352
0.775,0.338554133879
0.78,-0.0723459699366
0.785,-0.18626617836
0.79,-0.202751392106
0.795,-0.17002701258
0.8,-0.027811288026
0.805,0.440171943985
0.81,1.82763642627
0.815,4.86682090671
0.82,5.88398319963
0.825,5.89210278252
0.83,4.00442278463
0.835,1.22531100463
0.84,0.15549444691
0.845,-0.157970662229
0.85,-0.227110140775
0.855,-0.218990557885
0.86,-0.17814659547
0.865,-0.0155088897081
0.87,0.488889441323
0.875,1.93737381927
0.88,4.94407996815
0.885,5.88816601506
0.89,5.89210278252
0.895,3.78051913525
0.9,1.1684739244
0.905,0.159431214372
0.91,-0.153787846801
0.915,-0.231046908237
0.92,-0.239166491127
0.925,-0.218990557885
0.93,-0.113189932352
0.935,0.277534238223
0.94,1.44503183859
0.945,4.24850236726
0.95,5.88816601506
0.955,5.88398319963
0.96,4.48839913445
0.965,1.59167642653
0.97,0.338554133879
0.975,-0.0723459699366
0.98,-0.182329410898
0.985,-0.202751392106
0.99,-0.17002701258
0.995,-0.0359308709158
1,0.436235176523
1.005,1.8032776776
1.01,4.81392059394
1.015,5.88398319963
1.02,5.89210278252
1.025,4.0573230974
1.03,1.2782113174
1.035,0.183789963041
1.04,-0.141731496449
1.045,-0.218990557885
1.05,-0.218990557885
1.055,-0.174209828008
1.06,-0.027811288026
1.065,0.452474342303
1.07,1.82763642627
1.075,4.79768142816
1.08,5.89210278252
1.085,5.89210278252
1.09,3.99630320174
1.095,1.29051371571
1.1,0.20002912882
1.105,-0.137548681021
1.11,-0.222927325347
1.115,-0.235229723665
1.12,-0.218990557885
1.125,-0.125246282703
1.13,0.212331527138
1.135,1.2782113174
1.14,3.96357882221
1.145,5.88816601506
1.15,5.88398319963
1.155,4.8749404896
1.16,1.82763642627
1.165,0.419749962777
1.17,-0.0479872212672
1.175,-0.17814659547
1.18,-0.202751392106
1.185,-0.17814659547
