t, peaks/s, omega 
0,5.8,12.147491593880533
0.1,5.8,12.147491593880533
0.2,5.6,11.728612573401895
0.3,5.4,11.309733552923255
0.4,5.2,10.890854532444616
0.5,5.0,10.471975511965978
0.6,4.6,9.634217471008698
0.7,4.4,9.21533845053006
0.8,4.2,8.79645943005142
0.9,3.8,7.958701389094142
1.0,3.8,7.958701389094142
1.1,3.6,7.5398223686155035
1.2,3.4,7.120943348136865
1.3,3.4,7.120943348136865
1.4,3.4,7.120943348136865
1.5,3.4,7.120943348136865
1.6,3.8,7.958701389094142
1.7,4.0,8.377580409572781
1.8,4.2,8.79645943005142
1.9,4.8,10.053096491487338
2.0,5.0,10.471975511965978
2.1,5.2,10.890854532444616
2.2,5.6,11.728612573401895
2.3,5.8,12.147491593880533
2.4,5.8,12.147491593880533
2.5,5.8,12.147491593880533
2.6,5.6,11.728612573401895
2.7,5.4,11.309733552923255
2.8,5.0,10.471975511965978
2.9,4.6,9.634217471008698
3.0,4.4,9.21533845053006
3.1,4.2,8.79645943005142
3.2,4.0,8.377580409572781
3.3,4.0,8.377580409572781
3.4,4.2,8.79645943005142
3.5,4.4,9.21533845053006
3.6,4.6,9.634217471008698
3.7,5.0,10.471975511965978
3.8,5.4,11.309733552923255
3.9,5.4,11.309733552923255
4.0,5.6,11.728612573401895
4.1,5.6,11.728612573401895
4.2,5.6,11.728612573401895
4.3,5.4,11.309733552923255
4.4,5.2,10.890854532444616
4.5,5.0,10.471975511965978
4.6,4.8,10.053096491487338
4.7,4.4,9.21533845053006
4.8,4.2,8.79645943005142
4.9,4.4,9.21533845053006
5.0,4.4,9.21533845053006
5.1,4.6,9.634217471008698
5.2,4.8,10.053096491487338
5.3,5.0,10.471975511965978
5.4,5.2,10.890854532444616
5.5,5.2,10.890854532444616
5.6,5.4,11.309733552923255
5.7,5.4,11.309733552923255
5.8,5.6,11.728612573401895
5.9,5.4,11.309733552923255
6.0,5.2,10.890854532444616
6.1,5.0,10.471975511965978
6.2,4.8,10.053096491487338
6.3,4.6,9.634217471008698
6.4,4.4,9.21533845053006
6.5,4.6,9.634217471008698
6.6,4.4,9.21533845053006
6.7,4.6,9.634217471008698
6.8,4.6,9.634217471008698
6.9,4.8,10.053096491487338
7.0,5.0,10.471975511965978
7.1,5.2,10.890854532444616
7.2,5.4,11.309733552923255
7.3,5.4,11.309733552923255
7.4,5.6,11.728612573401895
7.5,5.4,11.309733552923255
7.6,5.4,11.309733552923255
7.7,5.2,10.890854532444616
7.8,5.0,10.471975511965978
7.9,4.8,10.053096491487338
8.0,4.6,9.634217471008698
8.1,4.6,9.634217471008698
8.2,4.6,9.634217471008698
8.3,4.8,10.053096491487338
8.4,4.8,10.053096491487338
8.5,5.0,10.471975511965978
8.6,5.2,10.890854532444616
8.7,5.2,10.890854532444616
8.8,5.4,11.309733552923255
8.9,5.4,11.309733552923255
9.0,5.6,11.728612573401895
9.1,5.4,11.309733552923255
9.2,5.2,10.890854532444616
9.3,5.0,10.471975511965978
9.4,4.8,10.053096491487338
9.5,4.6,9.634217471008698
9.6,4.4,9.21533845053006
9.7,4.6,9.634217471008698
9.8,4.6,9.634217471008698
9.9,4.8,10.053096491487338
10.0,4.8,10.053096491487338
10.1,5.0,10.471975511965978
10.2,5.2,10.890854532444616
10.3,5.4,11.309733552923255
10.4,5.6,11.728612573401895
10.5,5.6,11.728612573401895
10.6,5.8,12.147491593880533
10.7,5.6,11.728612573401895
10.8,5.4,11.309733552923255
10.9,5.2,10.890854532444616
11.0,5.0,10.471975511965978
11.1,4.8,10.053096491487338
11.2,4.6,9.634217471008698
11.3,4.4,9.21533845053006
11.4,4.4,9.21533845053006
11.5,4.6,9.634217471008698
11.6,4.6,9.634217471008698
11.7,4.8,10.053096491487338
11.8,5.0,10.471975511965978
11.9,5.2,10.890854532444616
12.0,5.4,11.309733552923255
12.1,5.6,11.728612573401895
12.2,5.8,12.147491593880533
12.3,5.8,12.147491593880533
12.4,5.6,11.728612573401895
12.5,5.4,11.309733552923255
12.6,5.2,10.890854532444616
12.7,5.0,10.471975511965978
12.8,4.8,10.053096491487338
12.9,4.6,9.634217471008698
13.0,4.6,9.634217471008698
13.1,4.4,9.21533845053006
13.2,4.4,9.21533845053006
13.3,4.8,10.053096491487338
13.4,5.0,10.471975511965978
13.5,5.2,10.890854532444616
13.6,5.4,11.309733552923255
13.7,5.6,11.728612573401895
13.8,5.6,11.728612573401895
13.9,5.6,11.728612573401895
14.0,5.4,11.309733552923255
14.1,5.4,11.309733552923255
14.2,5.2,10.890854532444616
14.3,4.8,10.053096491487338
14.4,4.8,10.053096491487338
14.5,4.6,9.634217471008698
14.6,4.6,9.634217471008698
14.7,4.4,9.21533845053006
14.8,4.6,9.634217471008698
14.9,4.8,10.053096491487338
15.0,5.0,10.471975511965978
15.1,5.2,10.890854532444616
15.2,5.4,11.309733552923255
15.3,5.6,11.728612573401895
15.4,5.4,11.309733552923255
15.5,5.6,11.728612573401895
15.6,5.4,11.309733552923255
15.7,5.4,11.309733552923255
15.8,5.2,10.890854532444616
15.9,5.0,10.471975511965978
16.0,4.8,10.053096491487338
16.1,4.6,9.634217471008698
16.2,4.6,9.634217471008698
16.3,4.4,9.21533845053006
16.4,4.6,9.634217471008698
16.5,4.6,9.634217471008698
16.6,4.8,10.053096491487338
16.7,5.0,10.471975511965978
16.8,5.2,10.890854532444616
16.9,5.4,11.309733552923255
17.0,5.4,11.309733552923255
