t, peaks/s 
0,47
0.1,49
0.2,47
0.3,45
0.4,43
0.5,42
0.6,41
0.7,39
0.8,39
0.9,38
1.0,36
1.1,35
1.2,35
1.3,34
1.4,33
1.5,32
1.6,31
1.7,31
1.8,30
1.9,29
2.0,29
2.1,29
2.2,27
2.3,26
2.4,27
2.5,26
2.6,26
2.7,25
2.8,24
2.9,24
3.0,24
3.1,23
3.2,23
3.3,23
3.4,22
3.5,22
3.6,21
3.7,21
3.8,21
3.9,21
4.0,20
4.1,19
4.2,19
4.3,19
4.4,19
4.5,19
4.6,18
4.7,18
4.8,18
4.9,18
5.0,17
5.1,18
5.2,17
5.3,17
5.4,17
5.5,16
5.6,17
5.7,16
5.8,16
5.9,15
6.0,16
6.1,15
6.2,16
6.3,15
6.4,15
6.5,15
6.6,15
6.7,15
6.8,14
6.9,15
7.0,14
7.1,14
7.2,14
7.3,14
7.4,13
7.5,13
7.6,13
7.7,13
7.8,13
7.9,12
8.0,13
8.1,13
8.2,12
8.3,12
8.4,12
8.5,12
8.6,11
8.7,12
8.8,12
8.9,12
9.0,11
9.1,11
9.2,11
9.3,11
9.4,11
9.5,11
9.6,11
9.7,10
9.8,10
9.9,10
10.0,10
10.1,10
10.2,10
10.3,10
10.4,10
10.5,10
10.6,10
10.7,10
10.8,10
10.9,9
11.0,9
11.1,9
11.2,9
11.3,9
11.4,9
11.5,9
11.6,9
11.7,9
11.8,8
11.9,9
12.0,9
12.1,9
12.2,9
12.3,8
12.4,8
12.5,8
12.6,8
12.7,8
12.8,8
12.9,8
13.0,8
13.1,8
13.2,7
13.3,8
13.4,8
13.5,8
13.6,7
13.7,7
13.8,8
13.9,8
14.0,7
14.1,7
14.2,8
14.3,7
14.4,7
14.5,7
14.6,7
14.7,7
14.8,7
14.9,6
15.0,7
15.1,7
15.2,6
15.3,7
15.4,7
15.5,6
15.6,7
15.7,7
15.8,6
15.9,7
16.0,6
16.1,6
16.2,7
16.3,6
16.4,6
16.5,6
16.6,6
16.7,5
16.8,6
16.9,6
17.0,6
17.1,6
17.2,5
17.3,6
17.4,5
17.5,6
17.6,6
17.7,6
17.8,6
17.9,5
18.0,6
18.1,5
18.2,6
18.3,5
18.4,6
18.5,5
18.6,5
18.7,5
18.8,5
