"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,1.08703204754
0.005,1.06267329887
0.01,1.03413173477
0.015,1.00583621864
0.02,0.977294654542
0.025,0.956872673334
0.03,0.932513924665
0.035,0.908155175995
0.04,0.887733194788
0.045,0.86731121358
0.05,0.842952464911
0.055,0.822530483703
0.06,0.802354550462
0.065,0.777995801793
0.07,0.757573820585
0.075,0.733215071916
0.08,0.71672985817
0.085,0.704673507818
0.09,0.684251526611
0.095,0.668012360831
0.1,0.651773195052
0.105,0.631351213844
0.11,0.619294863493
0.115,0.606992465175
0.12,0.590753299395
0.125,0.582633716505
0.13,0.570331318188
0.135,0.554092152408
0.14,0.54178975409
0.145,0.525550588311
0.15,0.517431005421
0.155,0.501191839641
0.16,0.488889441323
0.165,0.480769858434
0.17,0.468713508082
0.175,0.460593925192
0.18,0.452474342303
0.185,0.436235176523
0.19,0.427869545667
0.195,0.415813195315
0.2,0.411630379887
0.205,0.403510796998
0.21,0.395391214108
0.215,0.391454446646
0.22,0.383334863756
0.225,0.379152048328
0.23,0.371032465438
0.235,0.36684965001
0.24,0.354793299659
0.245,0.350610484231
0.25,0.346673716769
0.255,0.342490901341
0.26,0.334371318451
0.265,0.326251735562
0.27,0.326251735562
0.275,0.318132152672
0.28,0.318132152672
0.285,0.313949337244
0.29,0.310012569782
0.295,0.301892986892
0.3,0.297710171464
0.305,0.289590588574
0.31,0.289590588574
0.315,0.285653821113
0.32,0.281471005685
0.325,0.277534238223
0.33,0.277534238223
0.335,0.273351422795
0.34,0.269414655333
0.345,0.269414655333
0.35,0.265231839905
0.355,0.261049024477
0.36,0.261049024477
0.365,0.261049024477
0.37,0.257112257015
0.375,0.252929441587
0.38,0.252929441587
0.385,0.248992674125
0.39,0.248992674125
0.395,0.252929441587
0.4,0.248992674125
0.405,0.248992674125
0.41,0.248992674125
0.415,0.240873091236
0.42,0.240873091236
0.425,0.244809858697
0.43,0.244809858697
0.435,0.236690275808
0.44,0.240873091236
0.445,0.236690275808
0.45,0.236690275808
0.455,0.232753508346
0.46,0.232753508346
0.465,0.236690275808
0.47,0.236690275808
0.475,0.236690275808
0.48,0.236690275808
0.485,0.232753508346
0.49,0.232753508346
0.495,0.232753508346
0.5,0.232753508346
0.505,0.228570692918
0.51,0.228570692918
0.515,0.228570692918
0.52,0.228570692918
0.525,0.232753508346
0.53,0.228570692918
0.535,0.228570692918
0.54,0.232753508346
0.545,0.232753508346
0.55,0.228570692918
0.555,0.236690275808
0.56,0.232753508346
0.565,0.228570692918
0.57,0.232753508346
0.575,0.236690275808
0.58,0.236690275808
0.585,0.232753508346
0.59,0.236690275808
0.595,0.236690275808
0.6,0.236690275808
0.605,0.236690275808
0.61,0.236690275808
0.615,0.240873091236
0.62,0.240873091236
0.625,0.240873091236
0.63,0.244809858697
0.635,0.244809858697
0.64,0.240873091236
0.645,0.244809858697
0.65,0.244809858697
0.655,0.248992674125
0.66,0.248992674125
0.665,0.248992674125
0.67,0.248992674125
0.675,0.248992674125
0.68,0.252929441587
0.685,0.252929441587
0.69,0.252929441587
0.695,0.261049024477
0.7,0.257112257015
0.705,0.261049024477
0.71,0.261049024477
0.715,0.265231839905
0.72,0.269414655333
0.725,0.269414655333
0.73,0.269414655333
0.735,0.273351422795
0.74,0.273351422795
0.745,0.277534238223
0.75,0.277534238223
0.755,0.281471005685
0.76,0.285653821113
0.765,0.285653821113
0.77,0.293773404002
0.775,0.293773404002
0.78,0.293773404002
0.785,0.297710171464
0.79,0.297710171464
0.795,0.305829754354
0.8,0.305829754354
0.805,0.310012569782
0.81,0.313949337244
0.815,0.313949337244
0.82,0.318132152672
0.825,0.326251735562
0.83,0.326251735562
0.835,0.33043455099
0.84,0.334371318451
0.845,0.338554133879
0.85,0.346673716769
0.855,0.342490901341
0.86,0.350610484231
0.865,0.358730067121
0.87,0.354793299659
0.875,0.362912882549
0.88,0.36684965001
0.885,0.3749692329
0.89,0.379152048328
0.895,0.383334863756
0.9,0.387271631218
0.905,0.399574029536
0.91,0.403510796998
0.915,0.407693612426
