t, peaks/s, omega 
2.1,16.8,35.18583772020568
2.2,16.8,35.18583772020568
2.3,16.6,34.76695869972705
2.4,16.4,34.3480796792484
2.5,16.4,34.3480796792484
2.6,16.4,34.3480796792484
2.7,16.2,33.929200658769766
2.8,16.2,33.929200658769766
2.9,16.2,33.929200658769766
3.0,15.8,33.09144261781249
3.1,15.8,33.09144261781249
3.2,15.6,32.67256359733385
3.3,15.6,32.67256359733385
3.4,15.6,32.67256359733385
3.5,15.6,32.67256359733385
3.6,15.6,32.67256359733385
3.7,15.6,32.67256359733385
3.8,15.6,32.67256359733385
3.9,15.4,32.253684576855214
4.0,15.6,32.67256359733385
4.1,15.4,32.253684576855214
4.2,15.4,32.253684576855214
4.3,15.2,31.83480555637657
4.4,15.0,31.415926535897928
4.5,14.8,30.997047515419293
4.6,14.6,30.578168494940652
4.7,14.6,30.578168494940652
4.8,14.4,30.159289474462014
4.9,14.6,30.578168494940652
5.0,14.4,30.159289474462014
5.1,14.4,30.159289474462014
5.2,14.4,30.159289474462014
5.3,14.4,30.159289474462014
5.4,14.4,30.159289474462014
5.5,14.4,30.159289474462014
5.6,14.4,30.159289474462014
5.7,14.2,29.740410453983372
5.8,14.2,29.740410453983372
5.9,13.8,28.9026524130261
6.0,13.8,28.9026524130261
6.1,13.8,28.9026524130261
6.2,13.8,28.9026524130261
6.3,13.8,28.9026524130261
6.4,13.8,28.9026524130261
6.5,13.6,28.48377339254746
6.6,13.6,28.48377339254746
6.7,13.4,28.06489437206882
6.8,13.2,27.64601535159018
6.9,13.4,28.06489437206882
7.0,13.4,28.06489437206882
7.1,13.2,27.64601535159018
7.2,13.2,27.64601535159018
7.3,13.2,27.64601535159018
7.4,13.0,27.22713633111154
7.5,13.0,27.22713633111154
7.6,13.0,27.22713633111154
7.7,13.0,27.22713633111154
7.8,13.0,27.22713633111154
7.9,12.8,26.8082573106329
8.0,12.8,26.8082573106329
8.1,12.8,26.8082573106329
8.2,12.6,26.38937829015426
8.3,12.4,25.970499269675624
8.4,12.4,25.970499269675624
8.5,12.4,25.970499269675624
8.6,12.2,25.551620249196983
8.7,12.2,25.551620249196983
8.8,12.2,25.551620249196983
8.9,12.2,25.551620249196983
9.0,11.8,24.713862208239707
9.1,11.8,24.713862208239707
9.2,11.8,24.713862208239707
9.3,11.8,24.713862208239707
9.4,11.8,24.713862208239707
9.5,11.8,24.713862208239707
9.6,11.6,24.294983187761066
9.7,11.4,23.87610416728243
9.8,11.4,23.87610416728243
9.9,11.4,23.87610416728243
10.0,11.6,24.294983187761066
10.1,11.6,24.294983187761066
10.2,11.6,24.294983187761066
10.3,11.4,23.87610416728243
10.4,11.2,23.45722514680379
10.5,11.0,23.03834612632515
10.6,11.0,23.03834612632515
10.7,11.0,23.03834612632515
10.8,10.8,22.61946710584651
10.9,10.6,22.20058808536787
11.0,10.6,22.20058808536787
11.1,10.6,22.20058808536787
11.2,10.6,22.20058808536787
11.3,10.8,22.61946710584651
11.4,11.0,23.03834612632515
11.5,11.0,23.03834612632515
11.6,11.0,23.03834612632515
11.7,11.0,23.03834612632515
11.8,11.0,23.03834612632515
11.9,11.0,23.03834612632515
12.0,10.8,22.61946710584651
12.1,10.6,22.20058808536787
12.2,10.4,21.78170906488923
12.3,10.2,21.36283004441059
12.4,10.0,20.943951023931955
12.5,10.0,20.943951023931955
12.6,10.0,20.943951023931955
12.7,9.8,20.525072003453317
12.8,9.6,20.106192982974676
12.9,9.4,19.687313962496038
13.0,9.2,19.268434942017397
13.1,9.0,18.84955592153876
13.2,9.0,18.84955592153876
13.3,9.0,18.84955592153876
13.4,9.0,18.84955592153876
13.5,9.0,18.84955592153876
13.6,9.0,18.84955592153876
13.7,9.2,19.268434942017397
13.8,9.4,19.687313962496038
13.9,9.4,19.687313962496038
14.0,9.4,19.687313962496038
14.1,9.4,19.687313962496038
14.2,9.2,19.268434942017397
14.3,9.0,18.84955592153876
14.4,9.0,18.84955592153876
14.5,9.0,18.84955592153876
14.6,9.0,18.84955592153876
14.7,8.8,18.43067690106012
14.8,8.6,18.01179788058148
14.9,8.6,18.01179788058148
15.0,8.6,18.01179788058148
15.1,8.6,18.01179788058148
15.2,8.8,18.43067690106012
15.3,8.8,18.43067690106012
15.4,8.6,18.01179788058148
15.5,8.4,17.59291886010284
15.6,8.2,17.1740398396242
15.7,8.2,17.1740398396242
15.8,8.2,17.1740398396242
15.9,8.2,17.1740398396242
16.0,8.2,17.1740398396242
16.1,8.2,17.1740398396242
16.2,7.8,16.336281798666924
16.3,7.8,16.336281798666924
16.4,7.8,16.336281798666924
16.5,7.8,16.336281798666924
16.6,7.6,15.917402778188285
16.7,7.6,15.917402778188285
16.8,7.6,15.917402778188285
16.9,7.6,15.917402778188285
17.0,7.4,15.498523757709647
17.1,7.4,15.498523757709647
17.2,7.6,15.917402778188285
17.3,7.6,15.917402778188285
17.4,7.4,15.498523757709647
17.5,7.4,15.498523757709647
17.6,7.6,15.917402778188285
17.7,7.4,15.498523757709647
17.8,7.2,15.079644737231007
17.9,7.2,15.079644737231007
18.0,7.2,15.079644737231007
18.1,7.0,14.660765716752367
18.2,7.0,14.660765716752367
18.3,6.8,14.24188669627373
18.4,6.8,14.24188669627373
18.5,6.8,14.24188669627373
18.6,6.6,13.82300767579509
18.7,6.6,13.82300767579509
18.8,6.8,14.24188669627373
18.9,6.6,13.82300767579509
19.0,6.6,13.82300767579509
19.1,6.6,13.82300767579509
19.2,6.4,13.40412865531645
19.3,6.4,13.40412865531645
19.4,6.4,13.40412865531645
19.5,6.2,12.985249634837812
19.6,6.4,13.40412865531645
19.7,6.4,13.40412865531645
19.8,6.2,12.985249634837812
19.9,6.2,12.985249634837812
20.0,6.2,12.985249634837812
20.1,6.0,12.566370614359172
20.2,6.0,12.566370614359172
20.3,6.0,12.566370614359172
20.4,6.0,12.566370614359172
20.5,6.0,12.566370614359172
20.6,5.8,12.147491593880533
20.7,5.8,12.147491593880533
20.8,5.6,11.728612573401895
20.9,5.6,11.728612573401895
21.0,5.6,11.728612573401895
21.1,5.8,12.147491593880533
21.2,5.8,12.147491593880533
21.3,5.8,12.147491593880533
21.4,5.8,12.147491593880533
21.5,5.6,11.728612573401895
21.6,5.6,11.728612573401895
21.7,5.4,11.309733552923255
21.8,5.6,11.728612573401895
21.9,5.4,11.309733552923255
22.0,5.4,11.309733552923255
22.1,5.2,10.890854532444616
22.2,5.2,10.890854532444616
22.3,5.0,10.471975511965978
22.4,5.0,10.471975511965978
22.5,5.0,10.471975511965978
22.6,4.8,10.053096491487338
22.7,4.8,10.053096491487338
22.8,4.6,9.634217471008698
22.9,4.6,9.634217471008698
23.0,4.4,9.21533845053006
23.1,4.6,9.634217471008698
23.2,4.4,9.21533845053006
23.3,4.6,9.634217471008698
23.4,4.4,9.21533845053006
23.5,4.6,9.634217471008698
23.6,4.6,9.634217471008698
23.7,4.6,9.634217471008698
23.8,4.6,9.634217471008698
23.9,4.6,9.634217471008698
24.0,4.6,9.634217471008698
24.1,4.4,9.21533845053006
24.2,4.4,9.21533845053006
24.3,4.2,8.79645943005142
24.4,4.2,8.79645943005142
24.5,4.0,8.377580409572781
24.6,4.0,8.377580409572781
24.7,4.0,8.377580409572781
24.8,4.0,8.377580409572781
24.9,4.0,8.377580409572781
25.0,3.8,7.958701389094142
25.1,3.8,7.958701389094142
25.2,3.8,7.958701389094142
25.3,3.6,7.5398223686155035
25.4,3.6,7.5398223686155035
25.5,3.6,7.5398223686155035
25.6,3.4,7.120943348136865
25.7,3.4,7.120943348136865
25.8,3.4,7.120943348136865
