t,x,y
4.400000e-1,8.028412e1,3.498528e2
4.800000e-1,8.277692e1,3.484998e2
5.200000e-1,8.578961e1,3.487691e2
5.600000e-1,8.859885e1,3.480427e2
6.000000e-1,9.142292e1,3.471652e2
6.400000e-1,9.481809e1,3.470074e2
6.800000e-1,9.744014e1,3.462811e2
7.200000e-1,1.003909e2,3.464174e2
7.600000e-1,1.034601e2,3.447581e2
8.000000e-1,1.066789e2,3.440482e2
8.400000e-1,1.097358e2,3.431476e2
8.800000e-1,1.128231e2,3.423816e2
9.200000e-1,1.161395e2,3.405941e2
9.600000e-1,1.194705e2,3.415030e2
1.000000e0,1.223310e2,3.392618e2
1.040000e0,1.256639e2,3.384190e2
1.080000e0,1.288779e2,3.370542e2
1.120000e0,1.320031e2,3.360319e2
1.160000e0,1.354283e2,3.349293e2
1.200000e0,1.391948e2,3.342332e2
1.240000e0,1.427312e2,3.320030e2
1.280000e0,1.464751e2,3.325644e2
1.320000e0,1.503806e2,3.328825e2
1.360000e0,1.533979e2,3.299066e2
1.400000e0,1.568369e2,3.289231e2
1.440000e0,1.603476e2,3.282110e2
1.480000e0,1.636495e2,3.256291e2
1.520000e0,1.673678e2,3.256109e2
1.560000e0,1.703439e2,3.241954e2
1.600000e0,1.743684e2,3.227720e2
1.640000e0,1.779113e2,3.209796e2
1.680000e0,1.814276e2,3.199135e2
1.720000e0,1.846745e2,3.175331e2
1.760000e0,1.878292e2,3.159776e2
1.800000e0,1.913468e2,3.150441e2
1.840000e0,1.946725e2,3.133361e2
1.880000e0,1.987045e2,3.117563e2
1.920000e0,2.019457e2,3.100937e2
1.960000e0,2.053846e2,3.079993e2
2.000000e0,2.088454e2,3.059842e2
2.040000e0,2.120532e2,3.034744e2
2.080000e0,2.143242e2,3.008141e2
2.120000e0,2.178774e2,2.992260e2
2.160000e0,2.212730e2,2.967654e2
2.200000e0,2.244365e2,2.950480e2
2.240000e0,2.280704e2,2.922300e2
2.280000e0,2.308692e2,2.893012e2
2.320000e0,2.335707e2,2.874489e2
2.360000e0,2.369440e2,2.854085e2
2.400000e0,2.402407e2,2.824635e2
2.440000e0,2.437134e2,2.802731e2
2.480000e0,2.464532e2,2.781819e2
2.520000e0,2.487262e2,2.743732e2
2.560000e0,2.507720e2,2.715367e2
2.600000e0,2.546919e2,2.678321e2
2.640000e0,2.580616e2,2.656632e2
2.680000e0,2.602728e2,2.625832e2
2.720000e0,2.631335e2,2.594533e2
2.760000e0,2.658719e2,2.558423e2
2.800000e0,2.690909e2,2.532615e2
2.840000e0,2.713648e2,2.500169e2
2.880000e0,2.747973e2,2.463692e2
2.920000e0,2.774464e2,2.434669e2
2.960000e0,2.808276e2,2.392791e2
3.000000e0,2.832312e2,2.350389e2
3.040000e0,2.868066e2,2.311671e2
3.080000e0,2.902339e2,2.267606e2
3.120000e0,2.933221e2,2.233198e2
3.160000e0,2.965468e2,2.192701e2
3.200000e0,2.994583e2,2.151591e2
3.240000e0,3.023740e2,2.113567e2
3.280000e0,3.048811e2,2.074528e2
3.320000e0,3.073848e2,2.036613e2
3.360000e0,3.099679e2,1.999751e2
3.400000e0,3.122085e2,1.966683e2
3.440000e0,3.148256e2,1.931194e2
3.480000e0,3.170042e2,1.897775e2
3.520000e0,3.190592e2,1.865923e2
3.560000e0,3.213098e2,1.830069e2
3.600000e0,3.238416e2,1.790015e2
3.640000e0,3.259150e2,1.751130e2
3.680000e0,3.279909e2,1.712933e2
3.720000e0,3.305718e2,1.675858e2
3.760000e0,3.324848e2,1.637909e2
3.800000e0,3.345476e2,1.600637e2
