"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0,-0.218990557885
0.005,-0.222927325347
0.01,-0.218990557885
0.015,-0.206688159567
0.02,-0.17002701258
0.025,-0.105070349462
0.03,0.021152257279
0.035,0.236690275808
0.04,0.594690066857
0.045,1.16429110897
0.05,2.03111809445
0.055,3.27193798879
0.06,4.7937446607
0.065,5.88398319963
0.07,5.89628559795
0.075,5.88398319963
0.08,5.90022236541
0.085,5.79442173988
0.09,4.52112351398
0.095,3.0765759035
0.1,1.91719788602
0.105,1.11139079621
0.11,0.586570483967
0.115,0.240873091236
0.12,0.0292718401688
0.125,-0.0927679511442
0.13,-0.17002701258
0.135,-0.218990557885
0.14,-0.243349306555
0.145,-0.255651704872
0.15,-0.263771287762
0.155,-0.263771287762
0.16,-0.255651704872
0.165,-0.235229723665
0.17,-0.190448993788
0.175,-0.100887534034
0.18,0.0578134042662
0.185,0.318132152672
0.19,0.749454237695
0.195,1.40861673957
0.2,2.37681548718
0.205,3.69907725838
0.21,5.1923423662
0.215,5.91252476373
0.22,5.90022236541
0.225,5.89210278252
0.23,5.90440518084
0.235,5.68468434688
0.24,4.41114007302
0.245,3.09306111724
0.25,2.01881569613
0.255,1.24573298584
0.26,0.71672985817
0.265,0.36684965001
0.27,0.135072465702
0.275,-0.0155088897081
0.28,-0.105070349462
0.285,-0.166090245119
0.29,-0.206688159567
0.295,-0.231046908237
0.3,-0.251468889444
0.305,-0.263771287762
0.31,-0.267708055224
0.315,-0.271890870652
0.32,-0.263771287762
0.325,-0.235229723665
0.33,-0.17814659547
0.335,-0.0807116007927
0.34,0.094228503287
0.345,0.371032465438
0.35,0.810474133352
0.355,1.47775621811
0.36,2.43389861537
0.365,3.73180163791
0.37,5.24524267897
0.375,5.91252476373
0.38,5.89210278252
0.385,5.87586361674
0.39,5.88816601506
0.395,5.90440518084
0.4,5.73340184422
0.405,4.49651871734
0.41,3.23134007434
0.415,2.18563621732
0.42,1.42067308992
0.425,0.879613611898
0.43,0.505374655069
0.435,0.248992674125
0.44,0.0821721529355
0.445,-0.0359308709158
0.45,-0.109007116924
0.455,-0.157970662229
0.46,-0.190448993788
0.465,-0.210870974995
0.47,-0.222927325347
0.475,-0.231046908237
0.48,-0.222927325347
0.485,-0.210870974995
0.49,-0.182329410898
0.495,-0.117126699814
0.5,-0.0155088897081
0.505,0.1636140298
0.51,0.436235176523
0.515,0.86731121358
0.52,1.5144173651
0.525,2.45013778115
0.53,3.69907725838
