t, peaks/s, omega 
0,1.0,2.0943951023931953
0.2,1.0,2.0943951023931953
0.3,1.0,2.0943951023931953
0.4,1.0,2.0943951023931953
0.5,1.2,2.5132741228718345
0.6,1.4,2.9321531433504737
0.7,1.6,3.3510321638291125
0.8,1.6,3.3510321638291125
0.9,1.6,3.3510321638291125
1.0,1.4,2.9321531433504737
1.1,1.2,2.5132741228718345
1.2,1.0,2.0943951023931953
1.3,1.0,2.0943951023931953
1.4,1.0,2.0943951023931953
1.5,1.0,2.0943951023931953
1.6,1.0,2.0943951023931953
1.7,1.0,2.0943951023931953
1.8,1.0,2.0943951023931953
2.1,1.0,2.0943951023931953
2.2,1.0,2.0943951023931953
2.3,1.0,2.0943951023931953
2.4,1.0,2.0943951023931953
2.5,1.0,2.0943951023931953
2.6,1.0,2.0943951023931953
2.7,1.0,2.0943951023931953
2.8,1.0,2.0943951023931953
2.9,1.0,2.0943951023931953
3.0,1.2,2.5132741228718345
3.7,1.4,2.9321531433504737
3.8,1.8,3.7699111843077517
3.9,2.2,4.60766922526503
4.0,2.8,5.8643062867009474
4.1,3.4,7.120943348136865
4.2,4.0,8.377580409572781
4.3,4.4,9.21533845053006
4.4,4.8,10.053096491487338
4.5,5.2,10.890854532444616
4.6,5.2,10.890854532444616
4.7,5.2,10.890854532444616
4.8,5.0,10.471975511965978
4.9,5.0,10.471975511965978
5.0,4.6,9.634217471008698
5.1,4.2,8.79645943005142
5.2,3.8,7.958701389094142
5.3,3.4,7.120943348136865
5.4,2.8,5.8643062867009474
5.5,2.2,4.60766922526503
5.6,1.8,3.7699111843077517
5.7,1.6,3.3510321638291125
5.8,1.6,3.3510321638291125
5.9,1.4,2.9321531433504737
6.0,1.4,2.9321531433504737
6.1,1.4,2.9321531433504737
6.2,1.2,2.5132741228718345
6.3,1.0,2.0943951023931953
6.4,1.0,2.0943951023931953
6.5,1.0,2.0943951023931953
6.6,1.2,2.5132741228718345
6.7,1.2,2.5132741228718345
6.8,1.2,2.5132741228718345
6.9,1.2,2.5132741228718345
7.0,1.2,2.5132741228718345
7.1,1.0,2.0943951023931953
