t, peaks/s, omega 
0,15.4,32.253684576855214
0.1,15.4,32.253684576855214
0.2,15.2,31.83480555637657
0.3,15.2,31.83480555637657
0.4,15.0,31.415926535897928
0.5,15.0,31.415926535897928
0.6,15.0,31.415926535897928
0.7,15.0,31.415926535897928
0.8,15.0,31.415926535897928
0.9,15.0,31.415926535897928
1.0,15.0,31.415926535897928
1.1,15.0,31.415926535897928
1.2,15.0,31.415926535897928
1.3,15.0,31.415926535897928
1.4,15.0,31.415926535897928
1.5,15.0,31.415926535897928
1.6,15.0,31.415926535897928
1.7,15.0,31.415926535897928
1.8,15.0,31.415926535897928
1.9,15.0,31.415926535897928
2.0,15.0,31.415926535897928
2.1,15.0,31.415926535897928
2.2,15.0,31.415926535897928
2.3,15.0,31.415926535897928
2.4,15.0,31.415926535897928
2.5,15.0,31.415926535897928
2.6,15.0,31.415926535897928
2.7,15.0,31.415926535897928
2.8,15.0,31.415926535897928
2.9,15.0,31.415926535897928
3.0,15.0,31.415926535897928
3.1,14.8,30.997047515419293
3.2,14.8,30.997047515419293
3.3,14.6,30.578168494940652
3.4,14.6,30.578168494940652
3.5,14.4,30.159289474462014
3.6,14.6,30.578168494940652
3.7,14.4,30.159289474462014
3.8,14.6,30.578168494940652
3.9,14.4,30.159289474462014
4.0,14.4,30.159289474462014
4.1,14.4,30.159289474462014
4.2,14.4,30.159289474462014
4.3,14.4,30.159289474462014
4.4,14.4,30.159289474462014
4.5,14.6,30.578168494940652
4.6,14.4,30.159289474462014
4.7,14.4,30.159289474462014
4.8,14.4,30.159289474462014
4.9,14.4,30.159289474462014
5.0,14.4,30.159289474462014
5.1,14.4,30.159289474462014
5.2,14.4,30.159289474462014
5.3,14.2,29.740410453983372
5.4,14.2,29.740410453983372
5.5,14.0,29.321531433504735
5.6,14.0,29.321531433504735
5.7,14.0,29.321531433504735
5.8,14.0,29.321531433504735
5.9,14.0,29.321531433504735
6.0,14.0,29.321531433504735
6.1,14.0,29.321531433504735
6.2,14.0,29.321531433504735
6.3,14.0,29.321531433504735
6.4,14.0,29.321531433504735
6.5,14.0,29.321531433504735
6.6,14.0,29.321531433504735
6.7,14.0,29.321531433504735
6.8,14.0,29.321531433504735
6.9,14.0,29.321531433504735
7.0,13.8,28.9026524130261
7.1,13.8,28.9026524130261
7.2,13.8,28.9026524130261
7.3,13.8,28.9026524130261
7.4,13.8,28.9026524130261
7.5,13.8,28.9026524130261
7.6,13.8,28.9026524130261
7.7,13.8,28.9026524130261
7.8,13.6,28.48377339254746
7.9,13.6,28.48377339254746
8.0,13.8,28.9026524130261
8.1,13.6,28.48377339254746
8.2,13.6,28.48377339254746
8.3,13.6,28.48377339254746
8.4,13.4,28.06489437206882
8.5,13.4,28.06489437206882
8.6,13.4,28.06489437206882
8.7,13.2,27.64601535159018
8.8,13.4,28.06489437206882
8.9,13.4,28.06489437206882
9.0,13.2,27.64601535159018
9.1,13.4,28.06489437206882
9.2,13.4,28.06489437206882
9.3,13.2,27.64601535159018
9.4,13.4,28.06489437206882
9.5,13.4,28.06489437206882
9.6,13.2,27.64601535159018
9.7,13.4,28.06489437206882
9.8,13.4,28.06489437206882
9.9,13.2,27.64601535159018
10.0,13.4,28.06489437206882
10.1,13.4,28.06489437206882
10.2,13.2,27.64601535159018
10.3,13.4,28.06489437206882
10.4,13.4,28.06489437206882
10.5,13.2,27.64601535159018
10.6,13.2,27.64601535159018
10.7,13.2,27.64601535159018
10.8,13.0,27.22713633111154
10.9,13.0,27.22713633111154
11.0,13.0,27.22713633111154
11.1,13.0,27.22713633111154
11.2,13.0,27.22713633111154
