t, peaks/s, omega 
0,7.4,5.811946409141117
0.1,7.2,5.654866776461628
0.2,7.2,5.654866776461628
0.3,7.2,5.654866776461628
0.4,7.2,5.654866776461628
0.5,7.0,5.497787143782138
0.6,7.0,5.497787143782138
0.7,7.2,5.654866776461628
0.8,7.2,5.654866776461628
0.9,7.2,5.654866776461628
1.0,7.2,5.654866776461628
1.1,7.4,5.811946409141117
1.2,7.2,5.654866776461628
1.3,7.2,5.654866776461628
1.4,7.2,5.654866776461628
1.5,7.4,5.811946409141117
1.6,7.2,5.654866776461628
1.7,7.2,5.654866776461628
1.8,7.4,5.811946409141117
1.9,7.6,5.969026041820607
2.0,7.4,5.811946409141117
2.1,7.4,5.811946409141117
2.2,7.6,5.969026041820607
2.3,7.4,5.811946409141117
2.4,7.2,5.654866776461628
2.5,7.2,5.654866776461628
2.6,7.2,5.654866776461628
2.7,7.0,5.497787143782138
2.8,7.0,5.497787143782138
2.9,7.0,5.497787143782138
3.0,7.0,5.497787143782138
3.1,7.0,5.497787143782138
3.2,7.0,5.497787143782138
3.3,7.2,5.654866776461628
3.4,7.2,5.654866776461628
3.5,7.2,5.654866776461628
3.6,7.4,5.811946409141117
3.7,7.4,5.811946409141117
3.8,7.2,5.654866776461628
3.9,7.2,5.654866776461628
4.0,7.4,5.811946409141117
4.1,7.2,5.654866776461628
4.2,7.2,5.654866776461628
4.3,7.2,5.654866776461628
4.4,7.4,5.811946409141117
4.5,7.2,5.654866776461628
4.6,7.2,5.654866776461628
4.7,7.4,5.811946409141117
4.8,7.4,5.811946409141117
4.9,7.2,5.654866776461628
5.0,7.2,5.654866776461628
5.1,7.2,5.654866776461628
5.2,7.0,5.497787143782138
5.3,7.0,5.497787143782138
5.4,7.0,5.497787143782138
5.5,7.0,5.497787143782138
5.6,7.0,5.497787143782138
5.7,7.0,5.497787143782138
5.8,7.2,5.654866776461628
5.9,7.2,5.654866776461628
6.0,7.2,5.654866776461628
6.1,7.4,5.811946409141117
6.2,7.4,5.811946409141117
6.3,7.2,5.654866776461628
6.4,7.2,5.654866776461628
6.5,7.4,5.811946409141117
6.6,7.2,5.654866776461628
6.7,7.2,5.654866776461628
6.8,7.2,5.654866776461628
6.9,7.4,5.811946409141117
7.0,7.2,5.654866776461628
7.1,7.2,5.654866776461628
7.2,7.4,5.811946409141117
7.3,7.4,5.811946409141117
7.4,7.2,5.654866776461628
7.5,7.2,5.654866776461628
7.6,7.4,5.811946409141117
7.7,7.2,5.654866776461628
7.8,7.2,5.654866776461628
7.9,7.2,5.654866776461628
8.0,7.2,5.654866776461628
8.1,7.0,5.497787143782138
8.2,7.0,5.497787143782138
8.3,7.2,5.654866776461628
8.4,7.2,5.654866776461628
8.5,7.2,5.654866776461628
8.6,7.2,5.654866776461628
8.7,7.4,5.811946409141117
8.8,7.2,5.654866776461628
8.9,7.2,5.654866776461628
9.0,7.4,5.811946409141117
9.1,7.4,5.811946409141117
9.2,7.2,5.654866776461628
9.3,7.2,5.654866776461628
9.4,7.4,5.811946409141117
9.5,7.2,5.654866776461628
9.6,7.2,5.654866776461628
9.7,7.2,5.654866776461628
9.8,7.4,5.811946409141117
9.9,7.2,5.654866776461628
10.0,7.2,5.654866776461628
10.1,7.4,5.811946409141117
10.2,7.6,5.969026041820607
10.3,7.4,5.811946409141117
10.4,7.4,5.811946409141117
10.5,7.6,5.969026041820607
10.6,7.4,5.811946409141117
10.7,7.2,5.654866776461628
10.8,7.2,5.654866776461628
10.9,7.4,5.811946409141117
11.0,7.2,5.654866776461628
11.1,7.2,5.654866776461628
11.2,7.2,5.654866776461628
11.3,7.4,5.811946409141117
11.4,7.2,5.654866776461628
11.5,7.2,5.654866776461628
11.6,7.4,5.811946409141117
11.7,7.6,5.969026041820607
11.8,7.4,5.811946409141117
11.9,7.4,5.811946409141117
12.0,7.6,5.969026041820607
12.1,7.6,5.969026041820607
12.2,7.4,5.811946409141117
12.3,7.4,5.811946409141117
12.4,7.6,5.969026041820607
12.5,7.4,5.811946409141117
12.6,7.2,5.654866776461628
12.7,7.2,5.654866776461628
12.8,7.4,5.811946409141117
12.9,7.2,5.654866776461628
13.0,7.2,5.654866776461628
13.1,7.2,5.654866776461628
13.2,7.4,5.811946409141117
13.3,7.2,5.654866776461628
13.4,7.2,5.654866776461628
13.5,7.4,5.811946409141117
13.6,7.4,5.811946409141117
13.7,7.2,5.654866776461628
13.8,7.2,5.654866776461628
13.9,7.4,5.811946409141117
14.0,7.2,5.654866776461628
14.1,7.2,5.654866776461628
14.2,7.2,5.654866776461628
14.3,7.4,5.811946409141117
