t, peaks/s, omega 
0,18.8,14.765485471872028
0.1,18.6,14.608405839192539
0.2,18.4,14.451326206513047
0.3,19.0,14.922565104551516
0.4,19.0,14.922565104551516
0.5,18.2,14.294246573833558
0.6,17.6,13.823007675795091
0.7,17.2,13.50884841043611
0.8,16.0,12.566370614359172
0.9,14.8,11.623892818282235
1.0,14.6,11.466813185602744
1.1,14.6,11.466813185602744
1.2,14.4,11.309733552923255
1.3,14.0,10.995574287564276
1.4,14.2,11.152653920243765
1.5,14.2,11.152653920243765
1.6,13.8,10.838494654884787
1.7,13.6,10.681415022205297
1.8,14.0,10.995574287564276
1.9,14.2,11.152653920243765
2.0,14.2,11.152653920243765
2.1,14.6,11.466813185602744
2.2,14.6,11.466813185602744
2.3,14.2,11.152653920243765
2.4,13.8,10.838494654884787
2.5,13.8,10.838494654884787
2.6,13.2,10.367255756846317
2.7,12.6,9.896016858807847
2.8,13.0,10.210176124166829
2.9,13.6,10.681415022205297
3.0,13.8,10.838494654884787
3.1,14.4,11.309733552923255
3.2,15.6,12.252211349000193
3.3,16.0,12.566370614359172
3.4,16.0,12.566370614359172
3.5,16.2,12.723450247038661
3.6,16.6,13.037609512397642
3.7,16.2,12.723450247038661
3.8,15.2,11.938052083641214
3.9,15.0,11.780972450961723
4.0,15.0,11.780972450961723
4.1,14.4,11.309733552923255
4.2,14.0,10.995574287564276
4.3,14.4,11.309733552923255
4.4,14.2,11.152653920243765
4.5,13.6,10.681415022205297
4.6,13.8,10.838494654884787
4.7,14.4,11.309733552923255
4.8,14.6,11.466813185602744
4.9,14.4,11.309733552923255
5.0,14.6,11.466813185602744
5.1,14.4,11.309733552923255
5.2,13.8,10.838494654884787
5.3,13.4,10.524335389525808
5.4,13.6,10.681415022205297
5.5,13.4,10.524335389525808
5.6,12.6,9.896016858807847
5.7,12.4,9.738937226128359
5.8,12.0,9.42477796076938
5.9,11.0,8.63937979737193
6.0,10.2,8.011061266653972
6.1,10.4,8.168140899333462
6.2,10.0,7.853981633974483
6.3,10.0,7.853981633974483
6.4,10.4,8.168140899333462
6.5,11.2,8.79645943005142
6.6,11.6,9.1106186954104
6.7,11.8,9.26769832808989
6.8,12.2,9.581857593448868
6.9,12.4,9.738937226128359
7.0,12.4,9.738937226128359
7.1,12.4,9.738937226128359
7.2,13.4,10.524335389525808
7.3,13.8,10.838494654884787
7.4,14.6,11.466813185602744
7.5,15.2,11.938052083641214
7.6,16.4,12.88052987971815
7.7,16.8,13.194689145077131
7.8,17.0,13.351768777756622
7.9,17.4,13.6659280431156
8.0,17.2,13.50884841043611
8.1,16.2,12.723450247038661
8.2,15.2,11.938052083641214
8.3,15.0,11.780972450961723
8.4,14.2,11.152653920243765
8.5,13.8,10.838494654884787
8.6,13.4,10.524335389525808
8.7,13.8,10.838494654884787
8.8,13.8,10.838494654884787
8.9,13.8,10.838494654884787
9.0,14.4,11.309733552923255
9.1,15.0,11.780972450961723
9.2,15.2,11.938052083641214
9.3,15.2,11.938052083641214
9.4,15.8,12.409290981679684
9.5,16.0,12.566370614359172
9.6,16.2,12.723450247038661
9.7,15.8,12.409290981679684
9.8,16.2,12.723450247038661
9.9,16.0,12.566370614359172
10.0,15.6,12.252211349000193
10.1,15.8,12.409290981679684
10.2,15.8,12.409290981679684
10.3,15.2,11.938052083641214
10.4,14.6,11.466813185602744
10.5,14.6,11.466813185602744
10.6,14.0,10.995574287564276
10.7,14.0,10.995574287564276
10.8,13.6,10.681415022205297
10.9,13.8,10.838494654884787
11.0,13.4,10.524335389525808
11.1,13.0,10.210176124166829
11.2,13.0,10.210176124166829
11.3,13.2,10.367255756846317
11.4,12.8,10.053096491487338
11.5,12.4,9.738937226128359
11.6,12.8,10.053096491487338
11.7,12.8,10.053096491487338
11.8,13.0,10.210176124166829
11.9,13.6,10.681415022205297
12.0,14.8,11.623892818282235
12.1,15.2,11.938052083641214
12.2,15.4,12.095131716320704
12.3,15.6,12.252211349000193
12.4,15.8,12.409290981679684
12.5,15.2,11.938052083641214
12.6,14.4,11.309733552923255
12.7,14.4,11.309733552923255
12.8,14.6,11.466813185602744
12.9,14.2,11.152653920243765
13.0,14.0,10.995574287564276
13.1,14.6,11.466813185602744
13.2,14.6,11.466813185602744
13.3,14.2,11.152653920243765
13.4,14.2,11.152653920243765
13.5,15.0,11.780972450961723
13.6,15.2,11.938052083641214
13.7,14.8,11.623892818282235
13.8,15.0,11.780972450961723
13.9,15.4,12.095131716320704
14.0,15.0,11.780972450961723
14.1,14.6,11.466813185602744
14.2,15.2,11.938052083641214
14.3,15.6,12.252211349000193
14.4,15.6,12.252211349000193
14.5,15.4,12.095131716320704
14.6,15.6,12.252211349000193
14.7,15.6,12.252211349000193
14.8,14.8,11.623892818282235
14.9,14.2,11.152653920243765
15.0,14.2,11.152653920243765
15.1,14.2,11.152653920243765
15.2,13.6,10.681415022205297
15.3,13.6,10.681415022205297
15.4,13.6,10.681415022205297
15.5,13.4,10.524335389525808
15.6,12.8,10.053096491487338
15.7,12.6,9.896016858807847
15.8,12.6,9.896016858807847
15.9,13.0,10.210176124166829
16.0,13.2,10.367255756846317
16.1,13.6,10.681415022205297
16.2,14.0,10.995574287564276
16.3,14.4,11.309733552923255
16.4,14.2,11.152653920243765
16.5,14.2,11.152653920243765
16.6,14.6,11.466813185602744
16.7,14.6,11.466813185602744
16.8,14.2,11.152653920243765
16.9,13.6,10.681415022205297
17.0,13.6,10.681415022205297
17.1,13.0,10.210176124166829
17.2,12.8,10.053096491487338
17.3,12.8,10.053096491487338
17.4,13.6,10.681415022205297
17.5,13.6,10.681415022205297
17.6,13.4,10.524335389525808
17.7,13.4,10.524335389525808
17.8,13.6,10.681415022205297
17.9,13.0,10.210176124166829
18.0,12.2,9.581857593448868
18.1,12.2,9.581857593448868
18.2,12.2,9.581857593448868
18.3,11.8,9.26769832808989
18.4,11.6,9.1106186954104
18.5,12.0,9.42477796076938
