Unit:(mV)
                     CH1         CH2
Frequency              ?           ?
00001            -132.00    -1760.00
00002            -132.00    -1800.00
00003            -124.00    -1840.00
00004             -92.00    -1840.00
00005             -72.00    -1840.00
00006             -48.00    -1840.00
00007             -32.00    -1840.00
00008             -32.00    -1800.00
00009             -32.00    -1600.00
00010             -36.00    -1400.00
00011             -32.00    -1120.00
00012             -32.00     -760.00
00013             -32.00     -400.00
00014             -32.00     -360.00
00015             -32.00     -400.00
00016             -52.00     -360.00
00017             -80.00     -320.00
00018            -100.00     -280.00
00019            -120.00     -320.00
00020            -132.00     -280.00
00021            -132.00     -280.00
00022            -132.00     -240.00
00023            -132.00     -280.00
00024            -132.00     -280.00
00025            -132.00     -280.00
00026            -128.00     -240.00
00027            -128.00     -240.00
00028            -124.00     -200.00
00029            -128.00     -280.00
00030            -112.00     -560.00
00031             -84.00     -880.00
00032             -52.00    -1200.00
00033             -32.00    -1440.00
00034             -32.00    -1640.00
00035             -32.00    -1680.00
00036             -36.00    -1680.00
00037             -32.00    -1680.00
00038             -32.00    -1720.00
00039             -28.00    -1680.00
00040             -32.00    -1680.00
00041             -32.00    -1680.00
00042             -32.00    -1720.00
00043             -72.00    -1720.00
00044            -104.00    -1680.00
00045            -132.00    -1680.00
00046            -144.00    -1720.00
00047            -144.00    -1720.00
00048            -136.00    -1720.00
00049            -132.00    -1720.00
00050            -140.00    -1720.00
00051            -132.00    -1680.00
00052            -132.00    -1560.00
00053            -136.00    -1320.00
00054            -136.00    -1080.00
00055            -132.00     -760.00
00056            -120.00     -440.00
00057             -88.00     -280.00
00058             -56.00     -320.00
00059             -32.00     -280.00
00060             -32.00     -320.00
00061             -36.00     -320.00
00062             -28.00     -280.00
00063             -32.00     -280.00
00064             -32.00     -280.00
00065             -36.00     -280.00
00066             -32.00     -280.00
00067             -36.00     -280.00
00068             -36.00     -280.00
00069             -60.00     -280.00
00070             -80.00     -280.00
00071             -92.00     -240.00
00072             -96.00     -240.00
00073             -92.00     -360.00
00074             -92.00     -760.00
00075             -92.00    -1120.00
00076             -88.00    -1400.00
00077             -88.00    -1680.00
00078             -88.00    -1760.00
00079             -84.00    -1760.00
00080             -80.00    -1800.00
00081             -84.00    -1800.00
00082             -72.00    -1720.00
00083             -64.00    -1760.00
00084             -52.00    -1760.00
00085             -36.00    -1840.00
00086             -28.00    -1840.00
00087             -32.00    -1840.00
00088             -28.00    -1840.00
00089             -32.00    -1840.00
00090             -32.00    -1840.00
00091             -32.00    -1880.00
00092             -28.00    -1840.00
00093             -32.00    -1840.00
00094             -36.00    -1880.00
00095             -48.00    -1880.00
00096             -76.00    -1760.00
00097            -104.00    -1560.00
00098            -124.00    -1320.00
00099            -128.00     -960.00
00100            -132.00     -600.00
00101            -128.00     -400.00
00102            -128.00     -400.00
