"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,0.733215071916
0.005,0.737151839377
0.01,0.737151839377
0.015,0.741334654806
0.02,0.741334654806
0.025,0.741334654806
0.03,0.745271422267
0.035,0.745271422267
0.04,0.749454237695
0.045,0.749454237695
0.05,0.749454237695
0.055,0.749454237695
0.06,0.753391005157
0.065,0.753391005157
0.07,0.753391005157
0.075,0.757573820585
0.08,0.757573820585
0.085,0.757573820585
0.09,0.765693403475
0.095,0.765693403475
0.1,0.769630170937
0.105,0.765693403475
0.11,0.765693403475
0.115,0.769630170937
0.12,0.769630170937
0.125,0.769630170937
0.13,0.773812986365
0.135,0.777995801793
0.14,0.777995801793
0.145,0.777995801793
0.15,0.781932569254
0.155,0.781932569254
0.16,0.786115384682
0.165,0.786115384682
0.17,0.786115384682
0.175,0.786115384682
0.18,0.790052152144
0.185,0.794234967572
0.19,0.802354550462
0.195,0.802354550462
0.2,0.798171735034
0.205,0.806291317924
0.21,0.802354550462
0.215,0.806291317924
0.22,0.810474133352
0.225,0.806291317924
0.23,0.810474133352
0.235,0.814410900814
0.24,0.818593716242
0.245,0.818593716242
0.25,0.822530483703
0.255,0.822530483703
0.26,0.822530483703
0.265,0.822530483703
0.27,0.826713299131
0.275,0.826713299131
0.28,0.830896114559
0.285,0.834832882021
0.29,0.830896114559
0.295,0.839015697449
0.3,0.842952464911
0.305,0.842952464911
0.31,0.842952464911
0.315,0.847135280339
0.32,0.851072047801
0.325,0.851072047801
0.33,0.851072047801
0.335,0.855254863229
0.34,0.85919163069
0.345,0.863374446119
0.35,0.85919163069
0.355,0.863374446119
0.36,0.863374446119
0.365,0.86731121358
0.37,0.86731121358
0.375,0.87543079647
0.38,0.871494029008
0.385,0.87543079647
0.39,0.88355037936
0.395,0.88355037936
0.4,0.887733194788
0.405,0.887733194788
0.41,0.891916010216
0.415,0.891916010216
0.42,0.891916010216
0.425,0.895852777678
0.43,0.903972360567
0.435,0.903972360567
0.44,0.900035593106
0.445,0.903972360567
0.45,0.908155175995
0.455,0.908155175995
0.46,0.916274758885
0.465,0.912091943457
0.47,0.920211526347
0.475,0.920211526347
0.48,0.924394341775
0.485,0.928331109237
0.49,0.928331109237
0.495,0.932513924665
0.5,0.936450692127
0.505,0.940633507555
0.51,0.940633507555
0.515,0.944816322983
0.52,0.944816322983
0.525,0.948753090444
0.53,0.952935905872
0.535,0.952935905872
0.54,0.956872673334
0.545,0.961055488762
0.55,0.961055488762
0.555,0.961055488762
0.56,0.964992256224
0.565,0.969175071652
0.57,0.977294654542
0.575,0.973111839114
0.58,0.977294654542
0.585,0.985414237432
0.59,0.985414237432
0.595,0.989351004893
0.6,0.989351004893
0.605,0.997470587783
0.61,1.00165340321
0.615,1.00165340321
0.62,1.00165340321
0.625,1.00583621864
0.63,1.01395580153
0.635,1.01395580153
0.64,1.01789256899
0.645,1.02207538442
0.65,1.02601215188
0.655,1.02601215188
0.66,1.03019496731
0.665,1.03413173477
0.67,1.03413173477
0.675,1.03413173477
0.68,1.0383145502
0.685,1.04643413309
0.69,1.04225131766
0.695,1.05037090055
0.7,1.05455371598
0.705,1.05455371598
0.71,1.05037090055
0.715,1.05873653141
0.72,1.06267329887
0.725,1.06267329887
0.73,1.0668561143
0.735,1.07079288176
0.74,1.07497569719
0.745,1.07497569719
0.75,1.07891246465
0.755,1.08309528008
0.76,1.08703204754
0.765,1.08309528008
0.77,1.08703204754
0.775,1.09515163043
0.78,1.09933444585
0.785,1.09933444585
0.79,1.10327121332
0.795,1.10745402874
0.8,1.10745402874
0.805,1.10745402874
0.81,1.11139079621
0.815,1.11139079621
0.82,1.11557361163
0.825,1.11975642706
0.83,1.11975642706
0.835,1.12369319452
0.84,1.12787600995
0.845,1.12787600995
0.85,1.13181277741
0.855,1.13599559284
0.86,1.1399323603
0.865,1.1399323603
0.87,1.1399323603
0.875,1.14411517573
0.88,1.14805194319
0.885,1.14805194319
0.89,1.15223475862
0.895,1.15617152608
0.9,1.15617152608
0.905,1.15617152608
0.91,1.16035434151
0.915,1.16035434151
0.92,1.16429110897
0.925,1.1684739244
0.93,1.1684739244
0.935,1.17265673983
0.94,1.17659350729
0.945,1.18077632272
0.95,1.18077632272
0.955,1.18077632272
0.96,1.18077632272
0.965,1.18889590561
0.97,1.18889590561
0.975,1.18889590561
0.98,1.18889590561
0.985,1.18889590561
0.99,1.19283267307
0.995,1.20513507139
1,1.1970154885
1.005,1.20095225596
1.01,1.20095225596
1.015,1.20907183885
1.02,1.20907183885
1.025,1.20095225596
1.03,1.20907183885
1.035,1.20907183885
1.04,1.21325465428
1.045,1.21325465428
1.05,1.21325465428
1.055,1.21325465428
1.06,1.21325465428
1.065,1.22137423717
1.07,1.22137423717
1.075,1.22137423717
1.08,1.22137423717
1.085,1.22531100463
1.09,1.22531100463
1.095,1.22531100463
1.1,1.22137423717
1.105,1.21719142174
1.11,1.22949382006
1.115,1.22949382006
1.12,1.22949382006
1.125,1.22531100463
1.13,1.22531100463
1.135,1.23367663549
1.14,1.23367663549
1.145,1.23367663549
1.15,1.23367663549
1.155,1.23367663549
1.16,1.23367663549
1.165,1.23367663549
1.17,1.23367663549
1.175,1.23367663549
1.18,1.23367663549
1.185,1.23761340295
1.19,1.23761340295
1.195,1.24179621838
1.2,1.23761340295
1.205,1.24179621838
1.21,1.24179621838
1.215,1.24179621838
1.22,1.24573298584
1.225,1.24179621838
1.23,1.24179621838
1.235,1.24179621838
1.24,1.24573298584
1.245,1.24573298584
1.25,1.24179621838
1.255,1.24179621838
1.26,1.24179621838
1.265,1.24573298584
1.27,1.24573298584
1.275,1.24573298584
1.28,1.24179621838
1.285,1.24573298584
1.29,1.24573298584
1.295,1.24991580127
1.3,1.24573298584
1.305,1.24179621838
1.31,1.24573298584
1.315,1.24991580127
1.32,1.25385256873
1.325,1.24573298584
1.33,1.24573298584
1.335,1.24573298584
1.34,1.24991580127
1.345,1.24573298584
1.35,1.24573298584
1.355,1.24179621838
1.36,1.24573298584
1.365,1.24573298584
1.37,1.24991580127
1.375,1.24573298584
1.38,1.24573298584
1.385,1.24179621838
1.39,1.24179621838
1.395,1.24573298584
1.4,1.24573298584
1.405,1.24179621838
1.41,1.23761340295
1.415,1.24179621838
1.42,1.24179621838
1.425,1.24179621838
1.43,1.23761340295
1.435,1.24179621838
1.44,1.24179621838
1.445,1.25385256873
1.45,1.27427454993
1.455,1.28657694825
1.46,1.2986332986
1.465,1.3271748627
1.47,1.35153361137
1.475,1.37589236004
1.48,1.40443392414
1.485,1.43297548823
1.49,1.44921465401
1.495,1.46963663522
1.5,1.48981256846
1.505,1.50211496678
1.51,1.51023454967
1.515,1.51835413256
1.52,1.52253694799
1.525,1.53065653088
1.53,1.53065653088
1.535,1.53877611377
1.54,1.53459329834
1.545,1.53877611377
1.55,1.54689569666
1.555,1.54689569666
1.56,1.54689569666
1.565,1.54271288123
1.57,1.53459329834
1.575,1.52647371545
1.58,1.5144173651
1.585,1.49793215135
1.59,1.48169298557
1.595,1.4573342369
1.6,1.42485590534
1.605,1.39631434125
1.61,1.36383600969
1.615,1.33529444559
1.62,1.30281611403
1.625,1.27009173451
1.63,1.23367663549
1.635,1.20095225596
1.64,1.17659350729
1.645,1.14411517573
1.65,1.11557361163
1.655,1.09121486296
1.66,1.06267329887
1.665,1.0383145502
1.67,1.01395580153
1.675,0.989351004893
1.68,0.969175071652
1.685,0.940633507555
1.69,0.924394341775
1.695,0.903972360567
1.7,0.887733194788
1.705,0.863374446119
1.71,0.842952464911
1.715,0.822530483703
1.72,0.810474133352
1.725,0.790052152144
1.73,0.773812986365
1.735,0.757573820585
1.74,0.737151839377
1.745,0.725095489026
1.75,0.704673507818
1.755,0.692371109501
1.76,0.676131943721
1.765,0.659892777941
1.77,0.651773195052
1.775,0.639470796734
1.78,0.627414446382
1.785,0.619294863493
1.79,0.606992465175
1.795,0.598872882285
1.8,0.590753299395
1.805,0.582633716505
1.81,0.570331318188
1.815,0.566394550726
1.82,0.562211735298
1.825,0.554092152408
1.83,0.54178975409
1.835,0.54178975409
1.84,0.5336701712
1.845,0.529733403739
1.85,0.525550588311
1.855,0.521613820849
1.86,0.521613820849
1.865,0.517431005421
1.87,0.513494237959
1.875,0.509311422531
1.88,0.505374655069
1.885,0.505374655069
1.89,0.505374655069
1.895,0.501191839641
1.9,0.49725507218
1.905,0.49725507218
1.91,0.49725507218
1.915,0.49725507218
1.92,0.488889441323
1.925,0.488889441323
1.93,0.480769858434
1.935,0.484952673862
1.94,0.476833090972
1.945,0.472650275544
1.95,0.464530692654
1.955,0.456411109764
1.96,0.448291526875
1.965,0.440171943985
1.97,0.432052361095
1.975,0.419749962777
1.98,0.407693612426
1.985,0.399574029536
1.99,0.387271631218
1.995,0.3749692329
2,0.371032465438
2.005,0.358730067121
2.01,0.354793299659
2.015,0.350610484231
2.02,0.342490901341
2.025,0.342490901341
2.03,0.334371318451
2.035,0.334371318451
2.04,0.33043455099
2.045,0.33043455099
2.05,0.3223149681
2.055,0.3223149681
2.06,0.3223149681
2.065,0.318132152672
2.07,0.313949337244
2.075,0.313949337244
2.08,0.310012569782
2.085,0.310012569782
2.09,0.310012569782
2.095,0.310012569782
2.1,0.305829754354
2.105,0.305829754354
2.11,0.301892986892
2.115,0.297710171464
2.12,0.297710171464
2.125,0.297710171464
2.13,0.293773404002
2.135,0.293773404002
2.14,0.293773404002
2.145,0.293773404002
2.15,0.297710171464
2.155,0.289590588574
2.16,0.289590588574
2.165,0.289590588574
2.17,0.285653821113
2.175,0.289590588574
2.18,0.289590588574
2.185,0.285653821113
2.19,0.281471005685
2.195,0.281471005685
2.2,0.281471005685
2.205,0.277534238223
2.21,0.281471005685
2.215,0.277534238223
2.22,0.273351422795
2.225,0.277534238223
2.23,0.277534238223
2.235,0.277534238223
2.24,0.273351422795
2.245,0.277534238223
2.25,0.273351422795
2.255,0.269414655333
2.26,0.269414655333
2.265,0.269414655333
2.27,0.269414655333
2.275,0.261049024477
2.28,0.269414655333
2.285,0.265231839905
2.29,0.261049024477
2.295,0.265231839905
2.3,0.261049024477
2.305,0.265231839905
2.31,0.261049024477
2.315,0.261049024477
2.32,0.261049024477
2.325,0.265231839905
2.33,0.261049024477
2.335,0.261049024477
2.34,0.261049024477
2.345,0.261049024477
2.35,0.261049024477
2.355,0.261049024477
2.36,0.261049024477
2.365,0.261049024477
2.37,0.261049024477
2.375,0.261049024477
2.38,0.261049024477
2.385,0.261049024477
2.39,0.265231839905
2.395,0.261049024477
2.4,0.257112257015
2.405,0.265231839905
2.41,0.261049024477
2.415,0.261049024477
2.42,0.261049024477
2.425,0.261049024477
2.43,0.261049024477
2.435,0.265231839905
2.44,0.261049024477
2.445,0.261049024477
2.45,0.261049024477
2.455,0.261049024477
2.46,0.257112257015
2.465,0.261049024477
2.47,0.261049024477
2.475,0.261049024477
2.48,0.261049024477
2.485,0.257112257015
2.49,0.261049024477
2.495,0.261049024477
2.5,0.261049024477
2.505,0.257112257015
2.51,0.257112257015
2.515,0.257112257015
2.52,0.252929441587
