t, peaks/s, omega 
1.9,49.0,102.62536001726657
2.0,49.0,102.62536001726657
2.1,48.8,102.20648099678793
2.2,48.6,101.7876019763093
2.3,48.4,101.36872295583066
2.4,48.2,100.94984393535202
2.5,48.0,100.53096491487338
2.6,48.0,100.53096491487338
2.7,48.0,100.53096491487338
2.8,48.0,100.53096491487338
2.9,47.8,100.11208589439474
3.0,47.6,99.6932068739161
3.1,47.6,99.6932068739161
3.2,47.4,99.27432785343746
3.3,47.2,98.85544883295883
3.4,47.0,98.43656981248019
3.5,47.0,98.43656981248019
3.6,46.8,98.01769079200153
3.7,46.6,97.5988117715229
3.8,46.4,97.17993275104426
3.9,46.4,97.17993275104426
4.0,46.2,96.76105373056562
4.1,45.8,95.92329568960834
4.2,45.8,95.92329568960834
4.3,45.6,95.50441666912972
4.4,45.6,95.50441666912972
4.5,45.4,95.08553764865106
4.6,45.6,95.50441666912972
4.7,45.4,95.08553764865106
4.8,45.4,95.08553764865106
4.9,45.2,94.66665862817244
5.0,45.0,94.2477796076938
5.1,44.8,93.82890058721516
5.2,44.6,93.41002156673652
5.3,44.4,92.99114254625788
5.4,44.2,92.57226352577925
5.5,44.2,92.57226352577925
5.6,44.0,92.1533845053006
5.7,44.0,92.1533845053006
5.8,43.8,91.73450548482195
5.9,43.6,91.31562646434332
6.0,43.6,91.31562646434332
6.1,43.4,90.89674744386468
6.2,43.2,90.47786842338604
6.3,43.4,90.89674744386468
6.4,43.4,90.89674744386468
6.5,43.2,90.47786842338604
6.6,43.0,90.0589894029074
6.7,42.8,89.64011038242876
6.8,42.6,89.22123136195013
6.9,42.6,89.22123136195013
7.0,42.4,88.80235234147148
7.1,42.4,88.80235234147148
7.2,42.4,88.80235234147148
7.3,42.0,87.96459430051421
7.4,41.8,87.54571528003557
7.5,41.8,87.54571528003557
7.6,41.8,87.54571528003557
7.7,41.8,87.54571528003557
7.8,41.8,87.54571528003557
7.9,41.6,87.12683625955692
8.0,41.4,86.70795723907828
8.1,41.2,86.28907821859967
8.2,41.0,85.870199198121
8.3,41.0,85.870199198121
8.4,40.8,85.45132017764236
8.5,40.6,85.03244115716375
8.6,40.4,84.61356213668509
8.7,40.2,84.19468311620646
8.8,40.0,83.77580409572782
8.9,40.0,83.77580409572782
9.0,40.0,83.77580409572782
9.1,40.0,83.77580409572782
9.2,40.0,83.77580409572782
9.3,40.0,83.77580409572782
9.4,40.0,83.77580409572782
9.5,40.0,83.77580409572782
9.6,40.0,83.77580409572782
9.7,39.8,83.35692507524918
9.8,39.6,82.93804605477054
9.9,39.4,82.5191670342919
10.0,39.2,82.10028801381327
10.1,39.0,81.68140899333461
10.2,39.0,81.68140899333461
10.3,38.8,81.26252997285597
10.4,38.6,80.84365095237735
10.5,38.4,80.4247719318987
10.6,38.2,80.00589291142008
10.7,38.2,80.00589291142008
10.8,38.2,80.00589291142008
10.9,38.2,80.00589291142008
11.0,38.2,80.00589291142008
11.1,38.2,80.00589291142008
11.2,37.8,79.16813487046278
11.3,37.8,79.16813487046278
11.4,37.8,79.16813487046278
11.5,37.6,78.74925584998415
11.6,37.4,78.33037682950551
11.7,37.4,78.33037682950551
11.8,37.4,78.33037682950551
11.9,37.2,77.91149780902687
12.0,37.2,77.91149780902687
12.1,37.0,77.49261878854823
12.2,37.0,77.49261878854823
12.3,36.8,77.07373976806959
12.4,36.6,76.65486074759096
12.5,36.6,76.65486074759096
12.6,36.8,77.07373976806959
12.7,36.6,76.65486074759096
12.8,36.4,76.2359817271123
12.9,36.4,76.2359817271123
13.0,36.2,75.81710270663368
13.1,36.0,75.39822368615503
13.2,36.0,75.39822368615503
13.3,35.8,74.9793446656764
13.4,35.8,74.9793446656764
13.5,35.6,74.56046564519777
13.6,35.4,74.14158662471911
13.7,35.2,73.72270760424048
13.8,35.2,73.72270760424048
13.9,35.0,73.30382858376184
14.0,35.0,73.30382858376184
14.1,35.0,73.30382858376184
14.2,35.0,73.30382858376184
14.3,35.0,73.30382858376184
14.4,35.0,73.30382858376184
14.5,35.0,73.30382858376184
14.6,34.8,72.8849495632832
14.7,34.8,72.8849495632832
14.8,34.6,72.46607054280456
14.9,34.6,72.46607054280456
15.0,34.4,72.04719152232592
15.1,34.4,72.04719152232592
15.2,34.2,71.62831250184729
15.3,34.2,71.62831250184729
15.4,33.8,70.79055446089
15.5,33.8,70.79055446089
15.6,33.8,70.79055446089
15.7,33.6,70.37167544041137
15.8,33.6,70.37167544041137
15.9,33.6,70.37167544041137
16.0,33.4,69.95279641993272
16.1,33.2,69.5339173994541
16.2,33.2,69.5339173994541
16.3,33.0,69.11503837897546
16.4,33.0,69.11503837897546
16.5,32.8,68.6961593584968
16.6,32.8,68.6961593584968
16.7,32.8,68.6961593584968
16.8,32.6,68.27728033801817
16.9,32.4,67.85840131753953
17.0,32.6,68.27728033801817
17.1,32.6,68.27728033801817
17.2,32.4,67.85840131753953
17.3,32.4,67.85840131753953
17.4,32.4,67.85840131753953
17.5,32.2,67.43952229706089
17.6,32.0,67.02064327658225
17.7,32.0,67.02064327658225
17.8,32.0,67.02064327658225
17.9,32.0,67.02064327658225
18.0,31.8,66.6017642561036
18.1,31.6,66.18288523562498
18.2,31.4,65.76400621514632
18.3,31.2,65.3451271946677
18.4,31.0,64.92624817418906
18.5,31.2,65.3451271946677
18.6,31.2,65.3451271946677
18.7,31.2,65.3451271946677
18.8,31.2,65.3451271946677
18.9,31.2,65.3451271946677
19.0,31.0,64.92624817418906
19.1,31.0,64.92624817418906
