"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0,0.110713717033
0.005,0.110713717033
0.01,0.110713717033
0.015,0.106530901605
0.02,0.110713717033
0.025,0.110713717033
0.03,0.110713717033
0.035,0.106530901605
0.04,0.110713717033
0.045,0.110713717033
0.05,0.110713717033
0.055,0.106530901605
0.06,0.106530901605
0.065,0.110713717033
0.07,0.106530901605
0.075,0.106530901605
0.08,0.106530901605
0.085,0.106530901605
0.09,0.106530901605
0.095,0.106530901605
0.1,0.106530901605
0.105,0.106530901605
0.11,0.106530901605
0.115,0.106530901605
0.12,0.106530901605
0.125,0.110713717033
0.13,0.110713717033
0.135,0.106530901605
0.14,0.106530901605
0.145,0.114650484495
0.15,0.106530901605
0.155,0.102594134143
0.16,0.110713717033
0.165,0.110713717033
0.17,0.106530901605
0.175,0.106530901605
0.18,0.106530901605
0.185,0.106530901605
0.19,0.110713717033
0.195,0.106530901605
0.2,0.110713717033
0.205,0.106530901605
0.21,0.110713717033
0.215,0.106530901605
0.22,0.106530901605
0.225,0.110713717033
0.23,0.106530901605
0.235,0.106530901605
0.24,0.106530901605
0.245,0.106530901605
0.25,0.110713717033
0.255,0.110713717033
0.26,0.110713717033
0.265,0.110713717033
0.27,0.106530901605
0.275,0.106530901605
0.28,0.106530901605
0.285,0.110713717033
0.29,0.106530901605
0.295,0.106530901605
0.3,0.106530901605
0.305,0.110713717033
0.31,0.110713717033
0.315,0.106530901605
0.32,0.106530901605
0.325,0.106530901605
0.33,0.110713717033
0.335,0.106530901605
0.34,0.106530901605
0.345,0.106530901605
0.35,0.106530901605
0.355,0.106530901605
0.36,0.110713717033
0.365,0.110713717033
0.37,0.106530901605
0.375,0.106530901605
0.38,0.106530901605
0.385,0.106530901605
0.39,0.110713717033
0.395,0.110713717033
0.4,0.110713717033
0.405,0.106530901605
0.41,0.110713717033
0.415,0.106530901605
0.42,0.106530901605
0.425,0.110713717033
0.43,0.110713717033
0.435,0.106530901605
0.44,0.110713717033
0.445,0.110713717033
0.45,0.106530901605
0.455,0.106530901605
0.46,0.110713717033
