"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0,4.86288413925
0.005,4.11022341016
0.01,3.3939777801
0.015,2.74711767655
0.02,2.19375580021
0.025,1.7257725682
0.03,1.33529444559
0.035,1.01395580153
0.04,0.745271422267
0.045,0.521613820849
0.05,0.346673716769
0.055,0.204211944249
0.06,0.0861089203972
0.065,0.00491309149947
0.07,-0.0642263870468
0.075,-0.117126699814
0.08,-0.157970662229
0.085,-0.182329410898
0.09,-0.202751392106
0.095,-0.214807742457
0.1,-0.231046908237
0.105,-0.239166491127
0.11,-0.239166491127
0.115,-0.239166491127
0.12,-0.239166491127
0.125,-0.235229723665
0.13,-0.222927325347
0.135,-0.206688159567
0.14,-0.174209828008
0.145,-0.133611913559
0.15,-0.0642263870468
0.155,0.0373914230586
0.16,0.179853195579
0.165,0.387271631218
0.17,0.672195176259
0.175,1.06267329887
0.18,1.58749361111
0.185,2.28725402743
0.19,3.18237652903
0.195,4.25243913472
0.2,5.42018278305
0.205,5.91252476373
0.21,5.89210278252
0.215,5.87586361674
0.22,5.87192684928
0.225,5.87586361674
0.23,5.88816601506
0.235,5.89628559795
0.24,5.76612622375
0.245,4.73666153251
0.25,3.63805736272
0.255,2.66173903222
0.26,1.87635392361
0.265,1.2782113174
0.27,0.834832882021
0.275,0.501191839641
0.28,0.257112257015
0.285,0.0902917358253
0.29,-0.027811288026
0.295,-0.109007116924
0.3,-0.174209828008
0.305,-0.206688159567
0.31,-0.235229723665
0.315,-0.255651704872
0.32,-0.267708055224
0.325,-0.271890870652
0.33,-0.271890870652
0.335,-0.275827638114
0.34,-0.275827638114
0.345,-0.271890870652
0.35,-0.259588472334
0.355,-0.243349306555
0.36,-0.222927325347
0.365,-0.17814659547
0.37,-0.109007116924
0.375,-0.0155088897081
0.38,0.139009233164
0.385,0.36684965001
0.39,0.688434342039
0.395,1.1399323603
0.4,1.7543141323
0.405,2.56405798958
0.41,3.59745944828
0.415,4.76913986407
0.42,5.81902653651
0.425,5.9083419483
0.43,5.88398319963
0.435,5.87586361674
0.44,5.87586361674
0.445,5.88816601506
0.45,5.90440518084
0.455,5.70510632809
0.46,4.5860801771
0.465,3.44687809287
0.47,2.46219413151
0.475,1.68935746918
0.48,1.11557361163
0.485,0.704673507818
0.49,0.403510796998
0.495,0.187972778469
0.5,0.0455110059484
0.505,-0.056106804157
0.51,-0.129429098131
0.515,-0.182329410898
0.52,-0.218990557885
0.525,-0.239166491127
0.53,-0.251468889444
0.535,-0.263771287762
0.54,-0.271890870652
