"Poslední měření: čas (s)","Poslední měření: Magnetická indukce (mT)"
0,3.37773861432
0.005,2.88539663364
0.01,2.34015434019
0.015,1.82345361084
0.02,1.37195559258
0.025,1.00583621864
0.03,0.725095489026
0.035,0.513494237959
0.04,0.358730067121
0.045,0.261049024477
0.05,0.20814871171
0.055,0.20002912882
0.06,0.244809858697
0.065,0.342490901341
0.07,0.49725507218
0.075,0.71672985817
0.08,1.00165340321
0.085,1.38401194293
0.09,1.86011475783
0.095,2.40929381874
0.1,2.97914090882
0.105,3.47123684153
0.11,3.78470195067
0.115,3.86589777957
0.12,3.71949923959
0.125,3.3939777801
0.13,2.92624059605
0.135,2.41765944959
0.14,1.93737381927
0.145,1.5144173651
0.15,1.15617152608
0.155,0.879613611898
0.16,0.668012360831
0.165,0.509311422531
0.17,0.411630379887
0.175,0.358730067121
0.18,0.350610484231
0.185,0.387271631218
0.19,0.472650275544
0.195,0.606992465175
0.2,0.806291317924
0.205,1.07891246465
0.21,1.42485590534
0.215,1.85199517494
0.22,2.34015434019
0.225,2.86103788497
0.23,3.32483830155
0.235,3.69514049092
0.24,3.90674174199
0.245,3.91486132488
0.25,3.70719684127
0.255,3.30859913577
0.26,2.81232038763
0.265,2.29143684285
0.27,1.79515809471
0.275,1.38401194293
0.28,1.0383145502
0.285,0.769630170937
0.29,0.566394550726
0.295,0.427869545667
0.3,0.342490901341
0.305,0.313949337244
0.31,0.326251735562
0.315,0.403510796998
0.32,0.5336701712
0.325,0.733215071916
0.33,1.0097729861
0.335,1.36383600969
0.34,1.80721444506
0.345,2.3320347573
0.35,2.90163579942
0.355,3.42645611166
0.36,3.80487788391
0.365,3.94733965644
0.37,3.82111704969
0.375,3.45499767576
0.38,2.9464165293
0.385,2.3891178855
0.39,1.85199517494
0.395,1.39631434125
0.4,1.02207538442
0.405,0.737151839377
0.41,0.521613820849
0.415,0.371032465438
0.42,0.281471005685
0.425,0.228570692918
0.43,0.220451110028
0.435,0.269414655333
0.44,0.354793299659
0.445,0.493072256751
0.45,0.70049069239
0.455,0.973111839114
0.46,1.3271748627
0.465,1.76661653061
0.47,2.27519767707
0.475,2.81232038763
0.48,3.30859913577
0.485,3.67890132514
0.49,3.84572184633
0.495,3.77658236778
0.5,3.48353923985
0.505,3.04828038737
0.51,2.54363600837
0.515,2.03505486191
0.52,1.58749361111
0.525,1.1970154885
0.53,0.891916010216
0.535,0.664075593369
0.54,0.493072256751
0.545,0.395391214108
0.55,0.346673716769
0.555,0.36684965001
0.56,0.448291526875
0.565,0.602809649747
0.57,0.834832882021
0.575,1.16429110897
0.58,1.60373277689
0.585,2.15315788576
0.59,2.76335684233
0.595,3.36961903143
0.6,3.8415390309
0.605,4.05314028197
0.61,3.96357882221
0.615,3.58515704996
0.62,3.02367559073
0.625,2.42577903248
0.63,1.84805840748
0.635,1.36777277715
0.64,0.989351004893
0.645,0.712793090708
0.65,0.509311422531
0.655,0.3749692329
0.66,0.318132152672
0.665,0.310012569782
0.67,0.362912882549
0.675,0.464530692654
0.68,0.647590379624
0.685,0.908155175995
0.69,1.25385256873
0.695,1.67705507086
0.7,2.19375580021
0.705,2.75523725944
0.71,3.27612080421
0.715,3.65847934393
0.72,3.82111704969
0.725,3.7113796567
0.73,3.36149944854
0.735,2.85685506954
0.74,2.28725402743
0.745,1.75037736484
0.75,1.28657694825
0.755,0.908155175995
0.76,0.627414446382
0.765,0.427869545667
0.77,0.297710171464
0.775,0.228570692918
0.78,0.20814871171
0.785,0.248992674125
0.79,0.350610484231
0.795,0.505374655069
0.8,0.749454237695
0.805,1.08703204754
0.81,1.51835413256
0.815,2.05129402769
0.82,2.64549986644
0.825,3.21903767602
0.83,3.67078174225
0.835,3.85777819668
0.84,3.77658236778
0.845,3.43482174251
0.85,2.93017736352
0.855,2.38099830261
0.86,1.85617799037
0.865,1.40861673957
0.87,1.04225131766
0.875,0.769630170937
0.88,0.570331318188
0.885,0.436235176523
0.89,0.36684965001
0.895,0.350610484231
0.9,0.387271631218
0.905,0.484952673862
0.91,0.639470796734
0.915,0.86731121358
0.92,1.18889590561
0.925,1.59979600942
0.93,2.10419434046
0.935,2.65361944933
0.94,3.21091809313
0.945,3.67890132514
0.95,3.91879809234
0.955,3.92298090777
0.96,3.67078174225
0.965,3.20698132567
0.97,2.63713423559
0.975,2.07589882433
0.98,1.56313486244
0.985,1.14411517573
0.99,0.818593716242
0.995,0.578450901077
1,0.423932778205
1.005,0.33043455099
1.01,0.297710171464
1.015,0.326251735562
1.02,0.411630379887
1.025,0.562211735298
1.03,0.794234967572
1.035,1.10327121332
1.04,1.51023454967
1.045,2.01881569613
1.05,2.59653632114
1.055,3.17425694614
1.06,3.65035976104
1.065,3.91879809234
1.07,3.8986221591
1.075,3.59745944828
1.08,3.11323705049
1.085,2.53157965802
1.09,1.96591538336
1.095,1.47775621811
1.1,1.07891246465
1.105,0.781932569254
1.11,0.554092152408
1.115,0.395391214108
1.12,0.289590588574
1.125,0.236690275808
1.13,0.228570692918
1.135,0.269414655333
1.14,0.350610484231
1.145,0.493072256751
1.15,0.70049069239
1.155,0.977294654542
1.16,1.34759684391
1.165,1.79909486217
1.17,2.30767600863
1.175,2.84873548665
1.18,3.34107746733
1.185,3.69514049092
1.19,3.83760226344
1.195,3.73573840537
1.2,3.41021694588
1.205,2.93436017894
1.21,2.39723746839
1.215,1.8844735065
1.22,1.44109507112
1.225,1.07497569719
1.23,0.790052152144
1.235,0.578450901077
1.24,0.436235176523
1.245,0.362912882549
1.25,0.342490901341
1.255,0.3749692329
1.26,0.472650275544
1.265,0.647590379624
1.27,0.891916010216
1.275,1.22949382006
1.28,1.67287225543
1.285,2.21417778142
1.29,2.81232038763
1.295,3.3939777801
1.3,3.82529986512
1.305,4.01647913498
1.31,3.93110049066
1.315,3.60557903117
1.32,3.1051174676
1.325,2.55175559126
1.33,2.01069611324
1.335,1.53877611377
1.34,1.15617152608
1.345,0.863374446119
1.35,0.627414446382
1.355,0.468713508082
1.36,0.36684965001
1.365,0.318132152672
1.37,0.3223149681
1.375,0.36684965001
1.38,0.464530692654
1.385,0.623231630954
1.39,0.842952464911
1.395,1.12369319452
1.4,1.485875801
1.405,1.9130150706
1.41,2.39723746839
1.415,2.90975538231
1.42,3.36961903143
1.425,3.69514049092
1.43,3.82111704969
1.435,3.70326007381
1.44,3.38192142975
1.445,2.92624059605
1.45,2.39723746839
1.455,1.88053673904
1.46,1.41673632246
1.465,1.03413173477
1.47,0.733215071916
1.475,0.509311422531
1.48,0.358730067121
1.485,0.261049024477
1.49,0.216514342566
1.495,0.20814871171
1.5,0.248992674125
1.505,0.342490901341
1.51,0.484952673862
1.515,0.696553924929
1.52,0.985414237432
1.525,1.35965319426
1.53,1.83157319373
1.535,2.36475913683
1.54,2.9178749652
1.545,3.41833652877
1.55,3.78051913525
1.555,3.90255892656
1.56,3.78863871814
1.565,3.45918049118
1.57,2.9953800746
1.575,2.47449652982
1.58,1.97009819879
1.585,1.53459329834
1.59,1.17265673983
1.595,0.891916010216
1.6,0.680314759149
1.605,0.525550588311
1.61,0.419749962777
1.615,0.362912882549
1.62,0.350610484231
1.625,0.3749692329
1.63,0.452474342303
1.635,0.574514133616
1.64,0.757573820585
1.645,1.00165340321
1.65,1.31093569692
1.655,1.70141381953
1.66,2.16127746865
1.665,2.66985861511
1.67,3.17843976157
1.675,3.6016422637
1.68,3.870080595
1.685,3.93922007355
1.69,3.78051913525
1.695,3.46311725865
1.7,3.01161924038
1.705,2.50303809392
1.71,2.00651329781
1.715,1.56313486244
1.72,1.18471309018
1.725,0.88355037936
1.73,0.651773195052
1.735,0.484952673862
1.74,0.3749692329
1.745,0.318132152672
1.75,0.313949337244
1.755,0.354793299659
1.76,0.444354759413
1.765,0.602809649747
1.77,0.822530483703
1.775,1.11557361163
1.78,1.50605173424
1.785,1.97009819879
1.79,2.49885527849
1.795,3.04828038737
1.8,3.54037632008
1.805,3.86589777957
1.81,3.95152247186
1.815,3.77658236778
1.82,3.37773861432
1.825,2.86103788497
1.83,2.31185882406
1.835,1.79909486217
1.84,1.3557164268
1.845,0.993533820321
1.85,0.71672985817
1.855,0.509311422531
1.86,0.362912882549
1.865,0.277534238223
1.87,0.236690275808
1.875,0.228570692918
1.88,0.269414655333
1.885,0.350610484231
1.89,0.493072256751
1.895,0.684251526611
1.9,0.948753090444
1.905,1.29051371571
1.91,1.70141381953
1.915,2.18145340189
1.92,2.7065197621
1.925,3.21091809313
1.93,3.60557903117
1.935,3.82948268055
1.94,3.81718028223
1.945,3.60557903117
1.95,3.22322049145
1.955,2.73899809366
1.96,2.23435371466
1.965,1.76243371519
1.97,1.34759684391
1.975,1.0097729861
1.98,0.749454237695
1.985,0.562211735298
1.99,0.432052361095
1.995,0.36684965001
2,0.358730067121
2.005,0.407693612426
2.01,0.517431005421
2.015,0.70049069239
2.02,0.977294654542
2.025,1.33947726102
2.03,1.80721444506
2.035,2.37287871972
2.04,2.99119725917
2.045,3.56498111672
2.05,3.95545923933
2.055,4.05314028197
2.06,3.8415390309
2.065,3.39004101264
2.07,2.80395475678
2.075,2.2018753831
2.08,1.67287225543
2.085,1.22949382006
2.09,0.88355037936
2.095,0.631351213844
2.1,0.452474342303
2.105,0.350610484231
2.11,0.301892986892
2.115,0.310012569782
2.12,0.371032465438
2.125,0.501191839641
2.13,0.70049069239
2.135,0.977294654542
2.14,1.35153361137
2.145,1.81139726049
2.15,2.34015434019
2.155,2.89769903196
2.16,3.39816059553
2.165,3.73573840537
2.17,3.82529986512
2.175,3.6542965285
2.18,3.25963559047
2.185,2.73481527823
2.19,2.18145340189
2.195,1.66475267254
2.2,1.22137423717
2.205,0.86731121358
2.21,0.602809649747
2.215,0.407693612426
2.22,0.285653821113
2.225,0.224633925456
2.23,0.212331527138
2.235,0.261049024477
2.24,0.362912882549
2.245,0.54178975409
2.25,0.802354550462
2.255,1.14805194319
2.26,1.60373277689
2.265,2.14897507033
2.27,2.75523725944
2.275,3.32902111698
2.28,3.7399212208
2.285,3.89443934367
2.29,3.75616038658
2.295,3.37380184686
2.3,2.84061590376
2.305,2.26707809418
2.31,1.74225778195
2.315,1.30281611403
2.32,0.961055488762
2.325,0.70861027528
2.33,0.521613820849
2.335,0.411630379887
2.34,0.354793299659
2.345,0.358730067121
2.35,0.419749962777
2.355,0.5336701712
2.36,0.720912673598
2.365,0.993533820321
2.37,1.34759684391
2.375,1.79515809471
2.38,2.32391517441
2.385,2.89351621653
2.39,3.43063892709
2.395,3.79282153356
2.4,3.91879809234
2.405,3.77658236778
2.41,3.41021694588
2.415,2.87334028329
2.42,2.30767600863
2.425,1.77055329808
2.43,1.32299204727
2.435,0.952935905872
2.44,0.676131943721
2.445,0.488889441323
2.45,0.36684965001
2.455,0.310012569782
2.46,0.313949337244
2.465,0.3749692329
2.47,0.505374655069
2.475,0.70861027528
2.48,1.00165340321
2.485,1.39213152582
2.49,1.87635392361
2.495,2.45013778115
2.5,3.06033673772
2.505,3.58515704996
2.51,3.90255892656
2.515,3.92298090777
2.52,3.64617694561
2.525,3.1540810129
2.53,2.56799475704
2.535,1.99839371492
2.54,1.49793215135
2.545,1.08703204754
2.55,0.781932569254
2.555,0.545972569518
2.56,0.387271631218
2.565,0.285653821113
2.57,0.240873091236
2.575,0.232753508346
2.58,0.281471005685
2.585,0.383334863756
2.59,0.550155384946
2.595,0.781932569254
2.6,1.09121486296
2.605,1.49399538389
2.61,1.97009819879
2.615,2.49885527849
2.62,3.04409757194
2.625,3.51208080395
2.63,3.79282153356
2.635,3.82948268055
2.64,3.61369861406
2.645,3.18655934446
2.65,2.64549986644
2.655,2.09607475757
2.66,1.59979600942
2.665,1.18889590561
2.67,0.871494029008
2.675,0.635534029272
2.68,0.472650275544
2.685,0.379152048328
2.69,0.342490901341
2.695,0.362912882549
2.7,0.452474342303
2.705,0.611175280603
2.71,0.855254863229
2.715,1.18471309018
2.72,1.62415475809
2.725,2.16939705154
2.73,2.79189840642
2.735,3.41021694588
2.74,3.88631976078
