t, peaks/s, omega 
0,8.6,18.01179788058148
0.1,8.4,17.59291886010284
0.2,8.4,17.59291886010284
0.3,8.4,17.59291886010284
0.4,8.4,17.59291886010284
0.5,8.4,17.59291886010284
0.6,8.4,17.59291886010284
0.7,8.2,17.1740398396242
0.8,8.0,16.755160819145562
0.9,8.2,17.1740398396242
1.0,8.4,17.59291886010284
1.1,8.4,17.59291886010284
1.2,8.4,17.59291886010284
1.3,8.4,17.59291886010284
1.4,8.4,17.59291886010284
1.5,8.4,17.59291886010284
1.6,8.6,18.01179788058148
1.7,8.6,18.01179788058148
1.8,8.6,18.01179788058148
1.9,8.4,17.59291886010284
2.0,8.2,17.1740398396242
2.1,8.2,17.1740398396242
2.2,8.2,17.1740398396242
2.3,8.2,17.1740398396242
2.4,8.2,17.1740398396242
2.5,8.2,17.1740398396242
2.6,8.0,16.755160819145562
2.7,8.2,17.1740398396242
2.8,8.4,17.59291886010284
2.9,8.6,18.01179788058148
3.0,8.6,18.01179788058148
3.1,8.6,18.01179788058148
3.2,8.6,18.01179788058148
3.3,8.6,18.01179788058148
3.4,8.6,18.01179788058148
3.5,8.6,18.01179788058148
3.6,8.6,18.01179788058148
3.7,8.4,17.59291886010284
3.8,8.2,17.1740398396242
3.9,8.0,16.755160819145562
4.0,8.2,17.1740398396242
4.1,8.2,17.1740398396242
4.2,8.2,17.1740398396242
4.3,8.2,17.1740398396242
4.4,8.2,17.1740398396242
4.5,8.2,17.1740398396242
4.6,8.4,17.59291886010284
4.7,8.6,18.01179788058148
4.8,8.6,18.01179788058148
4.9,8.6,18.01179788058148
5.0,8.4,17.59291886010284
5.1,8.4,17.59291886010284
5.2,8.4,17.59291886010284
5.3,8.6,18.01179788058148
5.4,8.6,18.01179788058148
5.5,8.6,18.01179788058148
5.6,8.4,17.59291886010284
5.7,8.2,17.1740398396242
5.8,8.2,17.1740398396242
5.9,8.4,17.59291886010284
6.0,8.6,18.01179788058148
6.1,8.6,18.01179788058148
6.2,8.6,18.01179788058148
6.3,8.4,17.59291886010284
6.4,8.4,17.59291886010284
6.5,8.4,17.59291886010284
6.6,8.6,18.01179788058148
6.7,8.6,18.01179788058148
6.8,8.6,18.01179788058148
6.9,8.4,17.59291886010284
7.0,8.2,17.1740398396242
7.1,8.2,17.1740398396242
7.2,8.4,17.59291886010284
7.3,8.6,18.01179788058148
7.4,8.6,18.01179788058148
7.5,8.6,18.01179788058148
7.6,8.4,17.59291886010284
7.7,8.4,17.59291886010284
7.8,8.4,17.59291886010284
7.9,8.4,17.59291886010284
8.0,8.4,17.59291886010284
8.1,8.4,17.59291886010284
8.2,8.2,17.1740398396242
8.3,8.0,16.755160819145562
8.4,8.2,17.1740398396242
8.5,8.2,17.1740398396242
8.6,8.2,17.1740398396242
8.7,8.2,17.1740398396242
8.8,8.2,17.1740398396242
8.9,8.2,17.1740398396242
9.0,8.4,17.59291886010284
9.1,8.4,17.59291886010284
9.2,8.4,17.59291886010284
9.3,8.4,17.59291886010284
9.4,8.2,17.1740398396242
9.5,8.2,17.1740398396242
9.6,8.2,17.1740398396242
9.7,8.2,17.1740398396242
9.8,8.2,17.1740398396242
9.9,8.2,17.1740398396242
10.0,8.0,16.755160819145562
10.1,8.2,17.1740398396242
10.2,8.4,17.59291886010284
10.3,8.4,17.59291886010284
10.4,8.4,17.59291886010284
10.5,8.4,17.59291886010284
10.6,8.4,17.59291886010284
10.7,8.4,17.59291886010284
10.8,8.6,18.01179788058148
10.9,8.6,18.01179788058148
11.0,8.6,18.01179788058148
11.1,8.4,17.59291886010284
11.2,8.2,17.1740398396242
11.3,8.2,17.1740398396242
11.4,8.4,17.59291886010284
11.5,8.4,17.59291886010284
11.6,8.4,17.59291886010284
