"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,-1.10181066117
0.005,-1.09369107828
0.01,-1.07326909708
0.015,-1.06514951419
0.02,-1.04891034841
0.025,-1.02455159974
0.03,-1.00831243396
0.035,-0.98789045275
0.04,-0.963531704081
0.045,-0.934990139984
0.05,-0.914568158776
0.055,-0.882089827217
0.06,-0.85354826312
0.065,-0.825252746989
0.07,-0.796711182891
0.075,-0.760050035904
0.08,-0.731508471807
0.085,-0.699030140247
0.09,-0.66236899326
0.095,-0.625707846273
0.1,-0.601349097604
0.105,-0.568870766045
0.11,-0.528272851596
0.115,-0.50366805496
0.12,-0.467006907973
0.125,-0.442648159304
0.13,-0.414352643173
0.135,-0.385811079075
0.14,-0.35308669955
0.145,-0.32872795088
0.15,-0.296249619321
0.155,-0.280010453542
0.16,-0.251468889444
0.165,-0.227110140775
0.17,-0.202751392106
0.175,-0.18626617836
0.18,-0.16190742969
0.185,-0.145668263911
0.19,-0.125246282703
0.195,-0.105070349462
0.2,-0.0927679511442
0.205,-0.0765287853646
0.21,-0.0684092024749
0.215,-0.0521700366953
0.22,-0.0440504538055
0.225,-0.027811288026
0.23,-0.0196917051362
0.235,-0.0113260742801
0.24,-0.00738930681837
0.245,0.000730276071408
0.25,0.00491309149947
0.255,0.0130326743893
0.26,0.0130326743893
0.265,0.016969441851
0.27,0.016969441851
0.275,0.021152257279
0.28,0.016969441851
0.285,0.021152257279
0.29,0.016969441851
0.295,0.016969441851
0.3,0.0130326743893
0.305,0.000730276071408
0.31,-0.00738930681837
0.315,-0.00738930681837
0.32,-0.0155088897081
0.325,-0.027811288026
0.33,-0.0359308709158
0.335,-0.0440504538055
0.34,-0.056106804157
0.345,-0.0723459699366
0.35,-0.0846483682544
0.355,-0.0969507665723
0.36,-0.117126699814
0.365,-0.129429098131
0.37,-0.145668263911
0.375,-0.16190742969
0.38,-0.18626617836
0.385,-0.202751392106
0.39,-0.227110140775
0.395,-0.255651704872
0.4,-0.275827638114
0.405,-0.296249619321
0.41,-0.324791183419
0.415,-0.349149932088
0.42,-0.373508680757
0.425,-0.402050244855
0.43,-0.438711391842
0.435,-0.471189723401
0.44,-0.491611704609
0.445,-0.528272851596
0.45,-0.564687950617
0.455,-0.585109931824
0.46,-0.621771078811
0.465,-0.654249410371
0.47,-0.682790974468
0.475,-0.715269306027
0.48,-0.747747637586
0.485,-0.784408784573
0.49,-0.817133164099
0.495,-0.841491912768
0.5,-0.882089827217
0.505,-0.906448575886
0.51,-0.931053372522
0.515,-0.955412121191
0.52,-0.979770869861
0.525,-1.00831243396
0.53,-1.02455159974
0.535,-1.04891034841
0.54,-1.06933232961
0.545,-1.08950826286
0.55,-1.10181066117
0.555,-1.11411305949
0.56,-1.13035222527
0.565,-1.13847180816
0.57,-1.15077420648
0.575,-1.15889378937
0.58,-1.16283055683
0.585,-1.16283055683
0.59,-1.17095013972
0.595,-1.17095013972
0.6,-1.16701337226
0.605,-1.16701337226
0.61,-1.16283055683
0.615,-1.15077420648
0.62,-1.14240857562
0.625,-1.13847180816
0.63,-1.12616940984
0.635,-1.10993024406
0.64,-1.09787389371
0.645,-1.08138867997
0.65,-1.06514951419
0.655,-1.04079076552
0.66,-1.02036878431
0.665,-1.00019285107
0.67,-0.967468471543
0.675,-0.943109722873
0.68,-0.918750974204
0.685,-0.886272642645
0.69,-0.85354826312
0.695,-0.82106993156
0.7,-0.796711182891
0.705,-0.760050035904
0.71,-0.727571704345
0.715,-0.694847324819
0.72,-0.66236899326
0.725,-0.625707846273
0.73,-0.597412330142
0.735,-0.560751183155
0.74,-0.528272851596
0.745,-0.49554847207
0.75,-0.463070140511
0.755,-0.430591808952
0.76,-0.402050244855
0.765,-0.369571913296
0.77,-0.341030349198
0.775,-0.312488785101
0.78,-0.280010453542
0.785,-0.259588472334
0.79,-0.235229723665
0.795,-0.210870974995
0.8,-0.18626617836
0.805,-0.17002701258
0.81,-0.141731496449
0.815,-0.125246282703
0.82,-0.109007116924
0.825,-0.0927679511442
0.83,-0.0723459699366
0.835,-0.0521700366953
0.84,-0.0440504538055
0.845,-0.0236284725979
0.85,-0.0155088897081
0.855,-0.0032064913903
0.86,0.00491309149947
0.865,0.0130326743893
0.87,0.0250890247407
0.875,0.0332086076305
0.88,0.0415742384866
0.885,0.0455110059484
0.89,0.0496938213764
0.895,0.0578134042662
0.9,0.0578134042662
0.905,0.065932987156
0.91,0.065932987156
0.915,0.0617501717279
0.92,0.065932987156
0.925,0.065932987156
0.93,0.0617501717279
0.935,0.0617501717279
0.94,0.0578134042662
0.945,0.0496938213764
0.95,0.0496938213764
0.955,0.0455110059484
0.96,0.0373914230586
0.965,0.0250890247407
0.97,0.016969441851
0.975,0.0130326743893
0.98,0.000730276071408
0.985,-0.0113260742801
0.99,-0.0236284725979
0.995,-0.0317480554877
1,-0.0521700366953
1.005,-0.0642263870468
1.01,-0.0807116007927
1.015,-0.0969507665723
1.02,-0.117126699814
1.025,-0.137548681021
1.03,-0.149851079339
1.035,-0.174209828008
1.04,-0.198568576678
1.045,-0.218990557885
1.05,-0.239166491127
1.055,-0.267708055224
1.06,-0.296249619321
1.065,-0.316671600529
1.07,-0.349149932088
1.075,-0.373508680757
1.08,-0.405987012316
1.085,-0.430591808952
1.09,-0.467006907973
1.095,-0.49554847207
1.1,-0.528272851596
1.105,-0.560751183155
1.11,-0.589292747252
1.115,-0.617588263383
1.12,-0.650312642909
1.125,-0.68672774193
1.13,-0.719452121455
1.135,-0.747747637586
1.14,-0.780472017112
1.145,-0.809013581209
1.15,-0.83730909734
1.155,-0.870033476866
1.16,-0.894392225535
1.165,-0.926870557094
1.17,-0.951229305763
1.175,-0.971651286971
1.18,-1.00019285107
1.185,-1.02036878431
1.19,-1.03685399806
1.195,-1.0570299313
1.2,-1.07326909708
1.205,-1.08950826286
1.21,-1.10181066117
1.215,-1.11411305949
1.22,-1.12616940984
1.225,-1.13035222527
1.23,-1.13428899273
1.235,-1.15077420648
1.24,-1.15077420648
1.245,-1.15077420648
1.25,-1.15471097394
1.255,-1.15077420648
1.26,-1.14659139105
1.265,-1.13428899273
1.27,-1.13428899273
1.275,-1.12616940984
1.28,-1.11411305949
1.285,-1.10181066117
1.29,-1.08950826286
1.295,-1.0774519125
1.3,-1.0570299313
1.305,-1.03685399806
1.31,-1.02455159974
1.315,-0.99601003564
1.32,-0.975588054433
1.325,-0.951229305763
1.33,-0.931053372522
1.335,-0.898328992997
1.34,-0.870033476866
1.345,-0.83730909734
1.35,-0.809013581209
1.355,-0.780472017112
1.36,-0.747747637586
1.365,-0.715269306027
1.37,-0.682790974468
1.375,-0.650312642909
1.38,-0.625707846273
1.385,-0.589292747252
1.39,-0.556568367727
1.395,-0.528272851596
1.4,-0.499731287498
1.405,-0.463070140511
1.41,-0.438711391842
1.415,-0.410169827745
1.42,-0.381628263647
1.425,-0.35308669955
1.43,-0.324791183419
1.435,-0.300432434749
1.44,-0.275827638114
1.445,-0.247532121983
1.45,-0.231046908237
1.455,-0.210870974995
1.46,-0.18626617836
1.465,-0.17002701258
1.47,-0.149851079339
1.475,-0.129429098131
1.48,-0.117126699814
1.485,-0.100887534034
1.49,-0.0846483682544
1.495,-0.0723459699366
1.5,-0.056106804157
1.505,-0.0440504538055
1.51,-0.0359308709158
1.515,-0.0236284725979
1.52,-0.0113260742801
1.525,-0.0032064913903
1.53,0.000730276071408
1.535,0.00884985896118
1.54,0.016969441851
1.545,0.021152257279
1.55,0.0250890247407
1.555,0.0332086076305
1.56,0.0332086076305
1.565,0.0332086076305
1.57,0.0332086076305
1.575,0.0373914230586
1.58,0.0373914230586
1.585,0.0373914230586
1.59,0.0332086076305
1.595,0.0292718401688
1.6,0.0250890247407
1.605,0.021152257279
1.61,0.021152257279
1.615,0.00884985896118
1.62,0.000730276071408
1.625,-0.0032064913903
1.63,-0.0155088897081
1.635,-0.0236284725979
1.64,-0.0359308709158
1.645,-0.0440504538055
1.65,-0.056106804157
1.655,-0.0723459699366
1.66,-0.0846483682544
1.665,-0.100887534034
1.67,-0.117126699814
1.675,-0.137548681021
1.68,-0.153787846801
1.685,-0.174209828008
1.69,-0.194631809216
1.695,-0.218990557885
1.7,-0.231046908237
1.705,-0.259588472334
1.71,-0.283947221003
1.715,-0.308552017639
1.72,-0.33684753377
1.725,-0.361452330406
1.73,-0.393930661965
1.735,-0.418289410634
1.74,-0.446830974732
1.745,-0.479309306291
1.75,-0.50366805496
1.755,-0.532209619058
1.76,-0.568870766045
1.765,-0.601349097604
1.77,-0.629890661701
1.775,-0.66236899326
1.78,-0.694847324819
1.785,-0.723388888917
1.79,-0.751930453014
1.795,-0.780472017112
1.8,-0.809013581209
1.805,-0.841491912768
1.81,-0.865850661437
1.815,-0.898328992997
1.82,-0.922933789632
1.825,-0.943109722873
1.83,-0.967468471543
1.835,-0.992073268179
1.84,-1.01224920142
1.845,-1.0284883672
1.85,-1.04891034841
1.855,-1.06514951419
1.86,-1.0774519125
1.865,-1.08557149539
1.87,-1.10181066117
1.875,-1.10993024406
1.88,-1.11411305949
1.885,-1.11411305949
1.89,-1.12223264238
1.895,-1.12616940984
1.9,-1.12223264238
1.905,-1.12223264238
1.91,-1.11804982695
1.915,-1.11411305949
1.92,-1.1059934766
1.925,-1.09787389371
1.93,-1.08950826286
1.935,-1.08138867997
1.94,-1.06514951419
1.945,-1.0570299313
1.95,-1.04079076552
1.955,-1.02455159974
1.96,-1.00831243396
1.965,-0.983953685289
1.97,-0.963531704081
1.975,-0.939172955412
1.98,-0.918750974204
1.985,-0.894392225535
1.99,-0.865850661437
1.995,-0.83730909734
2,-0.812950348671
2.005,-0.780472017112
2.01,-0.751930453014
2.015,-0.719452121455
2.02,-0.690910557358
2.025,-0.658432225799
2.03,-0.621771078811
2.035,-0.597412330142
2.04,-0.568870766045
2.045,-0.536392434486
2.05,-0.50366805496
2.055,-0.475372538829
2.06,-0.446830974732
2.065,-0.414352643173
2.07,-0.385811079075
2.075,-0.365389097868
2.08,-0.33684753377
2.085,-0.312488785101
2.09,-0.283947221003
2.095,-0.263771287762
2.1,-0.235229723665
2.105,-0.218990557885
2.11,-0.198568576678
2.115,-0.17814659547
2.12,-0.16190742969
2.125,-0.145668263911
2.13,-0.125246282703
2.135,-0.113189932352
2.14,-0.0969507665723
2.145,-0.0846483682544
2.15,-0.0723459699366
2.155,-0.056106804157
2.16,-0.0479872212672
2.165,-0.0398676383775
2.17,-0.0236284725979
2.175,-0.0155088897081
2.18,-0.0155088897081
2.185,-0.00738930681837
2.19,-0.0032064913903
2.195,0.00884985896118
2.2,0.00884985896118
2.205,0.016969441851
2.21,0.016969441851
2.215,0.016969441851
2.22,0.016969441851
2.225,0.016969441851
2.23,0.016969441851
2.235,0.016969441851
2.24,0.0130326743893
2.245,0.0130326743893
2.25,0.00884985896118
2.255,-0.0032064913903
2.26,-0.0032064913903
2.265,-0.0113260742801
2.27,-0.0236284725979
2.275,-0.0317480554877
2.28,-0.0398676383775
2.285,-0.0521700366953
2.29,-0.0602896195851
2.295,-0.0723459699366
2.3,-0.0807116007927
2.305,-0.100887534034
2.31,-0.117126699814
2.315,-0.129429098131
2.32,-0.141731496449
2.325,-0.166090245119
2.33,-0.18626617836
2.335,-0.206688159567
2.34,-0.227110140775
2.345,-0.251468889444
2.35,-0.271890870652
2.355,-0.292066803893
2.36,-0.320608367991
2.365,-0.34496711666
2.37,-0.373508680757
2.375,-0.397867429427
2.38,-0.426408993524
2.385,-0.450767742193
2.39,-0.483492121719
2.395,-0.515970453278
2.4,-0.548448784837
2.405,-0.576990348934
2.41,-0.609468680494
2.415,-0.638010244591
2.42,-0.674671391578
2.425,-0.703212955676
2.43,-0.735691287235
2.435,-0.764232851332
2.44,-0.796711182891
2.445,-0.82918951445
2.45,-0.857731078548
2.455,-0.886272642645
2.46,-0.918750974204
2.465,-0.943109722873
2.47,-0.967468471543
2.475,-0.98789045275
2.48,-1.01224920142
2.485,-1.03685399806
2.49,-1.06121274672
2.495,-1.0774519125
2.5,-1.09369107828
2.505,-1.11411305949
2.51,-1.12616940984
2.515,-1.13428899273
2.52,-1.14240857562
2.525,-1.15889378937
2.53,-1.15889378937
2.535,-1.16701337226
2.54,-1.17095013972
2.545,-1.17513295515
2.55,-1.17095013972
2.555,-1.16283055683
2.56,-1.16283055683
2.565,-1.15889378937
2.57,-1.14659139105
2.575,-1.14240857562
2.58,-1.12616940984
2.585,-1.11411305949
2.59,-1.10181066117
2.595,-1.08557149539
2.6,-1.06933232961
2.605,-1.04497358095
2.61,-1.02455159974
2.615,-1.00831243396
2.62,-0.979770869861
2.625,-0.951229305763
2.63,-0.926870557094
2.635,-0.902511808425
2.64,-0.873970244327
2.645,-0.83730909734
2.65,-0.812950348671
2.655,-0.776289201684
2.66,-0.743810870124
2.665,-0.711332538565
2.67,-0.67860815904
2.675,-0.642193060019
2.68,-0.609468680494
2.685,-0.576990348934
2.69,-0.544512017375
2.695,-0.51178763785
2.7,-0.475372538829
2.705,-0.446830974732
2.71,-0.414352643173
2.715,-0.381628263647
2.72,-0.35308669955
2.725,-0.324791183419
2.73,-0.292066803893
2.735,-0.267708055224
2.74,-0.243349306555
2.745,-0.214807742457
2.75,-0.194631809216
2.755,-0.174209828008
2.76,-0.149851079339
2.765,-0.129429098131
2.77,-0.113189932352
2.775,-0.0927679511442
2.78,-0.0765287853646
2.785,-0.0602896195851
2.79,-0.0479872212672
2.795,-0.0317480554877
2.8,-0.0196917051362
2.805,-0.00738930681837
2.81,0.00491309149947
2.815,0.016969441851
2.82,0.0250890247407
2.825,0.0292718401688
2.83,0.0373914230586
2.835,0.0455110059484
2.84,0.0536305888381
2.845,0.0496938213764
2.85,0.0578134042662
2.855,0.065932987156
2.86,0.0617501717279
2.865,0.0617501717279
2.87,0.0617501717279
2.875,0.0617501717279
2.88,0.0617501717279
2.885,0.0578134042662
2.89,0.0536305888381
2.895,0.0578134042662
2.9,0.0496938213764
2.905,0.0455110059484
2.91,0.0415742384866
2.915,0.0292718401688
2.92,0.016969441851
2.925,0.016969441851
2.93,0.000730276071408
2.935,-0.0032064913903
2.94,-0.0196917051362
2.945,-0.0317480554877
2.95,-0.0440504538055
2.955,-0.0642263870468
2.96,-0.0684092024749
2.965,-0.0927679511442
2.97,-0.109007116924
2.975,-0.129429098131
2.98,-0.145668263911
2.985,-0.166090245119
2.99,-0.18626617836
2.995,-0.210870974995
3,-0.235229723665
3.005,-0.259588472334
3.01,-0.288130036432
3.015,-0.308552017639
3.02,-0.33684753377
3.025,-0.365389097868
3.03,-0.393930661965
3.035,-0.418289410634
3.04,-0.454950557621
3.045,-0.487428889181
3.05,-0.515970453278
3.055,-0.544512017375
3.06,-0.580927116396
3.065,-0.609468680494
3.07,-0.638010244591
3.075,-0.67048857615
3.08,-0.703212955676
3.085,-0.735691287235
3.09,-0.764232851332
3.095,-0.800647950353
3.1,-0.82918951445
3.105,-0.857731078548
3.11,-0.882089827217
3.115,-0.918750974204
3.12,-0.934990139984
3.125,-0.963531704081
3.13,-0.98789045275
3.135,-1.01224920142
3.14,-1.03267118263
3.145,-1.05309316384
3.15,-1.06933232961
3.155,-1.08557149539
3.16,-1.09787389371
3.165,-1.11411305949
3.17,-1.12223264238
3.175,-1.13035222527
3.18,-1.14240857562
3.185,-1.14659139105
3.19,-1.15077420648
3.195,-1.15077420648
3.2,-1.15077420648
3.205,-1.15471097394
3.21,-1.15077420648
3.215,-1.13847180816
3.22,-1.13428899273
3.225,-1.12616940984
3.23,-1.11411305949
3.235,-1.09787389371
3.24,-1.09369107828
3.245,-1.07326909708
3.25,-1.0570299313
3.255,-1.04079076552
3.26,-1.02455159974
3.265,-1.00019285107
3.27,-0.971651286971
