"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,-1.08557149539
0.005,-0.918750974204
0.01,-0.682790974468
0.015,-0.430591808952
0.02,-0.222927325347
0.025,-0.0765287853646
0.03,0.0130326743893
0.035,0.0373914230586
0.04,0.00884985896118
0.045,-0.0765287853646
0.05,-0.222927325347
0.055,-0.426408993524
0.06,-0.67860815904
0.065,-0.914568158776
0.07,-1.06514951419
0.075,-1.12223264238
0.08,-1.06121274672
0.085,-0.902511808425
0.09,-0.67860815904
0.095,-0.430591808952
0.1,-0.231046908237
0.105,-0.0888311836825
0.11,-0.00738930681837
0.115,0.021152257279
0.12,-0.0155088897081
0.125,-0.0969507665723
0.13,-0.251468889444
0.135,-0.458887325083
0.14,-0.711332538565
0.145,-0.947292538302
0.15,-1.1059934766
0.155,-1.15889378937
0.16,-1.10993024406
0.165,-0.947292538302
0.17,-0.703212955676
0.175,-0.442648159304
0.18,-0.222927325347
0.185,-0.0642263870468
0.19,0.0292718401688
0.195,0.065932987156
0.2,0.0455110059484
0.205,-0.0236284725979
0.21,-0.166090245119
0.215,-0.357269514978
0.22,-0.601349097604
0.225,-0.85354826312
0.23,-1.04079076552
0.235,-1.13847180816
0.24,-1.12223264238
0.245,-0.992073268179
0.25,-0.780472017112
0.255,-0.515970453278
0.26,-0.296249619321
0.265,-0.129429098131
0.27,-0.0196917051362
0.275,0.0292718401688
0.28,0.0250890247407
0.285,-0.0317480554877
0.29,-0.157970662229
0.295,-0.341030349198
0.3,-0.580927116396
0.305,-0.82918951445
0.31,-1.02036878431
0.315,-1.11804982695
0.32,-1.09787389371
0.325,-0.971651286971
0.33,-0.764232851332
0.335,-0.515970453278
0.34,-0.292066803893
0.345,-0.129429098131
0.35,-0.027811288026
0.355,0.016969441851
0.36,0.000730276071408
0.365,-0.0602896195851
0.37,-0.18626617836
0.375,-0.377691496185
0.38,-0.613651495922
0.385,-0.865850661437
0.39,-1.0570299313
0.395,-1.15471097394
0.4,-1.13847180816
0.405,-1.01224920142
0.41,-0.796711182891
0.415,-0.532209619058
0.42,-0.288130036432
0.425,-0.109007116924
0.43,0.00884985896118
0.435,0.0578134042662
0.44,0.0578134042662
0.445,0.00491309149947
0.45,-0.109007116924
0.455,-0.283947221003
0.46,-0.51178763785
0.465,-0.764232851332
0.47,-0.992073268179
0.475,-1.11804982695
0.48,-1.14240857562
0.485,-1.0570299313
0.49,-0.865850661437
0.495,-0.609468680494
0.5,-0.365389097868
0.505,-0.174209828008
0.51,-0.0479872212672
