t, peaks/s, omega 
0.4,1.4,2.9321531433504737
0.5,1.2,2.5132741228718345
0.6,1.2,2.5132741228718345
0.7,1.4,2.9321531433504737
1.1,1.4,2.9321531433504737
1.2,1.4,2.9321531433504737
1.3,1.4,2.9321531433504737
1.7,1.6,3.3510321638291125
1.8,1.6,3.3510321638291125
1.9,1.6,3.3510321638291125
2.0,1.6,3.3510321638291125
2.3,1.6,3.3510321638291125
2.4,1.4,2.9321531433504737
2.5,1.4,2.9321531433504737
2.6,1.4,2.9321531433504737
2.7,1.6,3.3510321638291125
2.8,1.6,3.3510321638291125
2.9,1.6,3.3510321638291125
3.0,1.4,2.9321531433504737
3.1,1.4,2.9321531433504737
3.2,1.4,2.9321531433504737
3.3,1.6,3.3510321638291125
3.6,1.6,3.3510321638291125
3.7,1.4,2.9321531433504737
3.8,1.4,2.9321531433504737
3.9,1.4,2.9321531433504737
4.0,1.6,3.3510321638291125
4.1,1.6,3.3510321638291125
4.2,1.6,3.3510321638291125
4.3,1.4,2.9321531433504737
4.4,1.4,2.9321531433504737
4.5,1.4,2.9321531433504737
4.6,1.6,3.3510321638291125
4.9,1.6,3.3510321638291125
5.0,1.4,2.9321531433504737
5.1,1.4,2.9321531433504737
5.2,1.4,2.9321531433504737
5.3,1.6,3.3510321638291125
5.4,1.6,3.3510321638291125
5.5,1.6,3.3510321638291125
5.6,1.4,2.9321531433504737
5.7,1.4,2.9321531433504737
5.8,1.4,2.9321531433504737
5.9,1.6,3.3510321638291125
6.2,1.6,3.3510321638291125
6.3,1.4,2.9321531433504737
6.4,1.4,2.9321531433504737
6.5,1.4,2.9321531433504737
6.6,1.6,3.3510321638291125
6.7,1.6,3.3510321638291125
6.8,1.6,3.3510321638291125
6.9,1.4,2.9321531433504737
7.0,1.4,2.9321531433504737
7.1,1.4,2.9321531433504737
7.2,1.6,3.3510321638291125
7.5,1.6,3.3510321638291125
7.6,1.4,2.9321531433504737
7.7,1.4,2.9321531433504737
7.8,1.4,2.9321531433504737
7.9,1.6,3.3510321638291125
8.0,1.6,3.3510321638291125
8.1,1.6,3.3510321638291125
8.2,1.4,2.9321531433504737
8.3,1.4,2.9321531433504737
8.4,1.4,2.9321531433504737
8.5,1.6,3.3510321638291125
8.8,1.6,3.3510321638291125
8.9,1.4,2.9321531433504737
9.0,1.4,2.9321531433504737
9.1,1.4,2.9321531433504737
9.2,1.6,3.3510321638291125
9.3,1.6,3.3510321638291125
9.4,1.6,3.3510321638291125
9.5,1.4,2.9321531433504737
9.6,1.4,2.9321531433504737
9.7,1.4,2.9321531433504737
9.8,1.6,3.3510321638291125
10.1,1.6,3.3510321638291125
10.2,1.4,2.9321531433504737
10.3,1.4,2.9321531433504737
10.4,1.4,2.9321531433504737
10.5,1.6,3.3510321638291125
10.6,1.6,3.3510321638291125
10.7,1.6,3.3510321638291125
10.8,1.4,2.9321531433504737
10.9,1.4,2.9321531433504737
11.0,1.4,2.9321531433504737
11.1,1.6,3.3510321638291125
11.4,1.6,3.3510321638291125
11.5,1.4,2.9321531433504737
11.6,1.4,2.9321531433504737
11.7,1.4,2.9321531433504737
11.8,1.6,3.3510321638291125
11.9,1.6,3.3510321638291125
12.0,1.6,3.3510321638291125
12.1,1.4,2.9321531433504737
12.2,1.2,2.5132741228718345
12.3,1.2,2.5132741228718345
12.4,1.4,2.9321531433504737
12.5,1.6,3.3510321638291125
12.6,1.6,3.3510321638291125
12.7,1.6,3.3510321638291125
12.8,1.4,2.9321531433504737
12.9,1.4,2.9321531433504737
13.0,1.4,2.9321531433504737
13.1,1.6,3.3510321638291125
13.4,1.6,3.3510321638291125
13.5,1.4,2.9321531433504737
13.6,1.4,2.9321531433504737
13.7,1.4,2.9321531433504737
13.8,1.6,3.3510321638291125
13.9,1.6,3.3510321638291125
14.0,1.6,3.3510321638291125
14.1,1.4,2.9321531433504737
14.2,1.4,2.9321531433504737
14.3,1.4,2.9321531433504737
14.4,1.6,3.3510321638291125
14.7,1.6,3.3510321638291125
14.8,1.4,2.9321531433504737
14.9,1.4,2.9321531433504737
15.0,1.4,2.9321531433504737
15.1,1.6,3.3510321638291125
