"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,-0.707149723137
0.005,-0.776289201684
0.01,-0.841491912768
0.015,-0.898328992997
0.02,-0.955412121191
0.025,-1.00019285107
0.03,-1.04079076552
0.035,-1.0774519125
0.04,-1.09787389371
0.045,-1.11411305949
0.05,-1.12223264238
0.055,-1.12223264238
0.06,-1.11411305949
0.065,-1.09787389371
0.07,-1.06514951419
0.075,-1.03267118263
0.08,-0.99601003564
0.085,-0.947292538302
0.09,-0.890209410107
0.095,-0.833372329878
0.1,-0.764232851332
0.105,-0.694847324819
0.11,-0.629890661701
0.115,-0.564687950617
0.12,-0.49554847207
0.125,-0.430591808952
0.13,-0.365389097868
0.135,-0.308552017639
0.14,-0.251468889444
0.145,-0.206688159567
0.15,-0.16190742969
0.155,-0.125246282703
0.16,-0.0888311836825
0.165,-0.0602896195851
0.17,-0.0359308709158
0.175,-0.0155088897081
0.18,-0.0032064913903
0.185,0.00884985896118
0.19,0.016969441851
0.195,0.021152257279
0.2,0.016969441851
0.205,0.016969441851
0.21,0.000730276071408
0.215,-0.0113260742801
0.22,-0.027811288026
0.225,-0.0479872212672
0.23,-0.0723459699366
0.235,-0.105070349462
0.24,-0.145668263911
0.245,-0.18626617836
0.25,-0.235229723665
0.255,-0.288130036432
0.26,-0.341030349198
0.265,-0.402050244855
0.27,-0.467006907973
0.275,-0.532209619058
0.28,-0.601349097604
0.285,-0.674671391578
0.29,-0.743810870124
0.295,-0.812950348671
0.3,-0.882089827217
0.305,-0.939172955412
0.31,-0.992073268179
0.315,-1.04079076552
0.32,-1.08557149539
0.325,-1.11804982695
0.33,-1.14240857562
0.335,-1.15889378937
0.34,-1.16701337226
0.345,-1.16283055683
0.35,-1.15889378937
0.355,-1.13847180816
0.36,-1.11411305949
0.365,-1.0774519125
0.37,-1.03685399806
0.375,-0.983953685289
0.38,-0.922933789632
0.385,-0.861667846009
0.39,-0.792528367463
0.395,-0.723388888917
0.4,-0.646129827481
0.405,-0.572807533506
0.41,-0.50366805496
0.415,-0.430591808952
0.42,-0.365389097868
0.425,-0.300432434749
0.43,-0.243349306555
0.435,-0.190448993788
0.44,-0.141731496449
0.445,-0.100887534034
0.45,-0.0642263870468
0.455,-0.0317480554877
0.46,-0.0032064913903
0.465,0.021152257279
0.47,0.0373914230586
0.475,0.0536305888381
0.48,0.0578134042662
0.485,0.065932987156
0.49,0.065932987156
0.495,0.0617501717279
0.5,0.0578134042662
0.505,0.0496938213764
0.51,0.0292718401688
0.515,0.00884985896118
0.52,-0.0155088897081
0.525,-0.0440504538055
0.53,-0.0765287853646
0.535,-0.113189932352
0.54,-0.16190742969
0.545,-0.210870974995
0.55,-0.263771287762
0.555,-0.324791183419
0.56,-0.389747846537
0.565,-0.454950557621
0.57,-0.524090036168
0.575,-0.593229514714
0.58,-0.666551808688
0.585,-0.735691287235
0.59,-0.809013581209
0.595,-0.873970244327
0.6,-0.934990139984
0.605,-0.98789045275
0.61,-1.03267118263
0.615,-1.07326909708
0.62,-1.10181066117
0.625,-1.12616940984
0.63,-1.14240857562
0.635,-1.15077420648
0.64,-1.14659139105
0.645,-1.13428899273
0.65,-1.11411305949
0.655,-1.08557149539
0.66,-1.04891034841
0.665,-1.00831243396
0.67,-0.951229305763
0.675,-0.894392225535
0.68,-0.82918951445
0.685,-0.760050035904
0.69,-0.68672774193
0.695,-0.617588263383
0.7,-0.544512017375
0.705,-0.479309306291
0.71,-0.410169827745
0.715,-0.349149932088
0.72,-0.288130036432
0.725,-0.239166491127
0.73,-0.190448993788
0.735,-0.145668263911
0.74,-0.100887534034
0.745,-0.0684092024749
0.75,-0.0398676383775
0.755,-0.0196917051362
0.76,0.000730276071408
0.765,0.016969441851
0.77,0.0292718401688
0.775,0.0373914230586
0.78,0.0415742384866
0.785,0.0373914230586
0.79,0.0292718401688
0.795,0.021152257279
0.8,0.00884985896118
0.805,-0.0113260742801
0.81,-0.0359308709158
0.815,-0.0602896195851
0.82,-0.0888311836825
0.825,-0.129429098131
0.83,-0.17002701258
0.835,-0.218990557885
0.84,-0.271890870652
0.845,-0.32872795088
0.85,-0.389747846537
0.855,-0.458887325083
0.86,-0.524090036168
0.865,-0.597412330142
0.87,-0.666551808688
0.875,-0.739628054696
0.88,-0.804830765781
0.885,-0.865850661437
0.89,-0.926870557094
0.895,-0.979770869861
0.9,-1.02455159974
0.905,-1.06121274672
0.91,-1.08950826286
0.915,-1.10993024406
0.92,-1.12223264238
0.925,-1.12223264238
0.93,-1.12223264238
0.935,-1.10181066117
0.94,-1.08557149539
0.945,-1.04891034841
0.95,-1.00831243396
0.955,-0.963531704081
0.96,-0.914568158776
0.965,-0.85354826312
0.97,-0.788591600001
0.975,-0.723388888917
0.98,-0.654249410371
0.985,-0.585109931824
0.99,-0.515970453278
0.995,-0.446830974732
1,-0.385811079075
1.005,-0.320608367991
1.01,-0.271890870652
1.015,-0.218990557885
1.02,-0.174209828008
1.025,-0.129429098131
1.03,-0.0969507665723
1.035,-0.0642263870468
1.04,-0.0398676383775
1.045,-0.0155088897081
1.05,-0.00738930681837
1.055,0.00884985896118
1.06,0.016969441851
1.065,0.021152257279
1.07,0.021152257279
1.075,0.016969441851
1.08,0.00884985896118
1.085,-0.0113260742801
1.09,-0.027811288026
1.095,-0.0479872212672
1.1,-0.0723459699366
1.105,-0.105070349462
1.11,-0.141731496449
1.115,-0.18626617836
1.12,-0.227110140775
1.125,-0.283947221003
1.13,-0.33684753377
1.135,-0.389747846537
1.14,-0.458887325083
1.145,-0.528272851596
1.15,-0.601349097604
1.155,-0.666551808688
1.16,-0.739628054696
1.165,-0.812950348671
1.17,-0.878153059755
1.175,-0.939172955412
1.18,-0.99601003564
1.185,-1.04079076552
1.19,-1.08557149539
1.195,-1.11804982695
1.2,-1.14240857562
1.205,-1.15889378937
1.21,-1.16701337226
1.215,-1.16283055683
1.22,-1.15889378937
1.225,-1.13428899273
1.23,-1.1059934766
1.235,-1.07326909708
1.24,-1.02455159974
1.245,-0.971651286971
1.25,-0.910631391314
1.255,-0.849611495658
1.26,-0.776289201684
1.265,-0.703212955676
1.27,-0.629890661701
1.275,-0.556568367727
1.28,-0.483492121719
1.285,-0.410169827745
1.29,-0.34496711666
1.295,-0.283947221003
1.3,-0.222927325347
1.305,-0.174209828008
1.31,-0.121309515242
1.315,-0.0846483682544
1.32,-0.0479872212672
1.325,-0.0196917051362
1.33,0.00884985896118
1.335,0.0250890247407
1.34,0.0455110059484
1.345,0.0578134042662
1.35,0.0617501717279
1.355,0.0617501717279
1.36,0.0617501717279
