"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,-0.983953685289
0.005,-1.12616940984
0.01,-1.11411305949
0.015,-0.939172955412
0.02,-0.658432225799
0.025,-0.361452330406
0.03,-0.141731496449
0.035,-0.00738930681837
0.04,0.0455110059484
0.045,0.016969441851
0.05,-0.0927679511442
0.055,-0.288130036432
0.06,-0.560751183155
0.065,-0.849611495658
0.07,-1.04891034841
0.075,-1.10993024406
0.08,-1.01224920142
0.085,-0.788591600001
0.09,-0.50366805496
0.095,-0.243349306555
0.1,-0.0723459699366
0.105,0.016969441851
0.11,0.021152257279
0.115,-0.0521700366953
0.12,-0.206688159567
0.125,-0.446830974732
0.13,-0.739628054696
0.135,-1.00019285107
0.14,-1.13847180816
0.145,-1.11804982695
0.15,-0.947292538302
0.155,-0.666551808688
0.16,-0.361452330406
0.165,-0.125246282703
0.17,0.016969441851
0.175,0.0698697546177
0.18,0.0455110059484
0.185,-0.0440504538055
0.19,-0.235229723665
0.195,-0.50366805496
0.2,-0.796711182891
0.205,-1.03685399806
0.21,-1.13428899273
0.215,-1.08138867997
0.22,-0.873970244327
0.225,-0.585109931824
0.23,-0.300432434749
0.235,-0.100887534034
0.24,0.00884985896118
0.245,0.0415742384866
0.25,0.000730276071408
0.255,-0.129429098131
0.26,-0.349149932088
0.265,-0.633827429163
0.27,-0.910631391314
0.275,-1.08138867997
0.28,-1.09787389371
0.285,-0.955412121191
0.29,-0.707149723137
0.295,-0.418289410634
0.3,-0.18626617836
0.305,-0.0440504538055
0.31,0.021152257279
0.315,0.00491309149947
0.32,-0.0888311836825
0.325,-0.267708055224
0.33,-0.528272851596
0.335,-0.825252746989
0.34,-1.0570299313
0.345,-1.15471097394
0.35,-1.08950826286
0.355,-0.878153059755
0.36,-0.572807533506
0.365,-0.280010453542
0.37,-0.0765287853646
0.375,0.0415742384866
0.38,0.0698697546177
0.385,0.0292718401688
0.39,-0.0927679511442
0.395,-0.304369202211
0.4,-0.585109931824
0.405,-0.873970244327
0.41,-1.08138867997
0.415,-1.13428899273
0.42,-1.02455159974
0.425,-0.788591600001
0.43,-0.487428889181
0.435,-0.227110140775
0.44,-0.056106804157
0.445,0.0292718401688
0.45,0.0332086076305
0.455,-0.0359308709158
0.46,-0.194631809216
0.465,-0.434528576414
0.47,-0.731508471807
0.475,-0.983953685289
0.48,-1.10181066117
0.485,-1.07326909708
0.49,-0.898328992997
0.495,-0.625707846273
0.5,-0.33684753377
0.505,-0.129429098131
