t, peaks/s, omega 
0.1,14.8,30.997047515419293
0.2,14.8,30.997047515419293
0.3,14.6,30.578168494940652
0.4,14.6,30.578168494940652
0.5,14.4,30.159289474462014
0.6,14.6,30.578168494940652
0.7,14.4,30.159289474462014
0.8,14.6,30.578168494940652
0.9,14.4,30.159289474462014
1.0,14.6,30.578168494940652
1.1,14.6,30.578168494940652
1.2,14.8,30.997047515419293
1.3,14.8,30.997047515419293
2.2,14.8,30.997047515419293
2.3,14.8,30.997047515419293
2.4,14.6,30.578168494940652
2.5,14.6,30.578168494940652
2.6,14.4,30.159289474462014
2.7,14.6,30.578168494940652
2.8,14.4,30.159289474462014
2.9,14.6,30.578168494940652
3.0,14.4,30.159289474462014
3.1,14.4,30.159289474462014
3.2,14.4,30.159289474462014
3.3,14.4,30.159289474462014
3.4,14.4,30.159289474462014
3.5,14.4,30.159289474462014
3.6,14.4,30.159289474462014
3.7,14.2,29.740410453983372
3.8,14.2,29.740410453983372
3.9,14.0,29.321531433504735
4.0,14.0,29.321531433504735
4.1,14.2,29.740410453983372
4.2,14.2,29.740410453983372
4.3,14.2,29.740410453983372
4.4,14.2,29.740410453983372
4.5,14.2,29.740410453983372
4.6,14.2,29.740410453983372
4.7,14.2,29.740410453983372
4.8,14.4,30.159289474462014
4.9,14.4,30.159289474462014
5.0,14.6,30.578168494940652
5.1,14.4,30.159289474462014
5.2,14.6,30.578168494940652
5.3,14.6,30.578168494940652
5.4,14.6,30.578168494940652
5.5,14.6,30.578168494940652
5.6,14.6,30.578168494940652
5.7,14.6,30.578168494940652
5.8,14.4,30.159289474462014
5.9,14.6,30.578168494940652
6.0,14.4,30.159289474462014
6.1,14.6,30.578168494940652
6.2,14.4,30.159289474462014
6.3,14.6,30.578168494940652
6.4,14.6,30.578168494940652
6.5,14.6,30.578168494940652
6.6,14.6,30.578168494940652
6.7,14.6,30.578168494940652
6.8,14.6,30.578168494940652
6.9,14.4,30.159289474462014
7.0,14.6,30.578168494940652
7.1,14.4,30.159289474462014
7.2,14.6,30.578168494940652
7.3,14.4,30.159289474462014
7.4,14.6,30.578168494940652
7.5,14.6,30.578168494940652
7.6,14.8,30.997047515419293
7.7,14.8,30.997047515419293
7.8,14.8,30.997047515419293
7.9,14.8,30.997047515419293
8.0,14.6,30.578168494940652
8.1,14.6,30.578168494940652
8.2,14.4,30.159289474462014
8.3,14.6,30.578168494940652
8.4,14.4,30.159289474462014
8.5,14.6,30.578168494940652
8.6,14.4,30.159289474462014
8.7,14.6,30.578168494940652
8.8,14.6,30.578168494940652
8.9,14.8,30.997047515419293
9.0,14.8,30.997047515419293
9.1,14.8,30.997047515419293
9.2,14.8,30.997047515419293
9.3,14.6,30.578168494940652
9.4,14.6,30.578168494940652
9.5,14.4,30.159289474462014
9.6,14.6,30.578168494940652
9.7,14.4,30.159289474462014
9.8,14.6,30.578168494940652
9.9,14.4,30.159289474462014
10.0,14.6,30.578168494940652
10.1,14.6,30.578168494940652
10.2,14.6,30.578168494940652
10.3,14.6,30.578168494940652
10.4,14.6,30.578168494940652
10.5,14.6,30.578168494940652
10.6,14.4,30.159289474462014
10.7,14.6,30.578168494940652
10.8,14.4,30.159289474462014
10.9,14.6,30.578168494940652
11.0,14.4,30.159289474462014
11.1,14.4,30.159289474462014
11.2,14.4,30.159289474462014
11.3,14.4,30.159289474462014
11.4,14.4,30.159289474462014
11.5,14.4,30.159289474462014
11.6,14.6,30.578168494940652
11.7,14.4,30.159289474462014
11.8,14.6,30.578168494940652
11.9,14.4,30.159289474462014
12.0,14.4,30.159289474462014
12.1,14.4,30.159289474462014
12.2,14.4,30.159289474462014
12.3,14.4,30.159289474462014
12.4,14.4,30.159289474462014
12.5,14.6,30.578168494940652
12.6,14.4,30.159289474462014
12.7,14.6,30.578168494940652
12.8,14.4,30.159289474462014
12.9,14.6,30.578168494940652
13.0,14.6,30.578168494940652
13.1,14.8,30.997047515419293
13.2,14.8,30.997047515419293
13.3,14.8,30.997047515419293
13.4,14.8,30.997047515419293
13.5,14.6,30.578168494940652
13.6,14.6,30.578168494940652
13.7,14.4,30.159289474462014
13.8,14.6,30.578168494940652
13.9,14.4,30.159289474462014
14.0,14.6,30.578168494940652
14.1,14.4,30.159289474462014
14.2,14.6,30.578168494940652
14.3,14.6,30.578168494940652
14.4,14.6,30.578168494940652
14.5,14.6,30.578168494940652
14.6,14.6,30.578168494940652
14.7,14.6,30.578168494940652
14.8,14.4,30.159289474462014
14.9,14.6,30.578168494940652
15.0,14.4,30.159289474462014
15.1,14.6,30.578168494940652
15.2,14.4,30.159289474462014
15.3,14.6,30.578168494940652
15.4,14.6,30.578168494940652
15.5,14.8,30.997047515419293
15.6,14.8,30.997047515419293
15.7,14.8,30.997047515419293
15.8,14.8,30.997047515419293
15.9,14.6,30.578168494940652
16.0,14.6,30.578168494940652
16.1,14.4,30.159289474462014
16.2,14.6,30.578168494940652
16.3,14.4,30.159289474462014
16.4,14.6,30.578168494940652
16.5,14.4,30.159289474462014
16.6,14.6,30.578168494940652
16.7,14.6,30.578168494940652
16.8,14.8,30.997047515419293
16.9,14.8,30.997047515419293
17.0,14.8,30.997047515419293
17.1,14.8,30.997047515419293
17.2,14.6,30.578168494940652
17.3,14.6,30.578168494940652
17.4,14.4,30.159289474462014
17.5,14.6,30.578168494940652
17.6,14.4,30.159289474462014
17.7,14.6,30.578168494940652
17.8,14.4,30.159289474462014
17.9,14.6,30.578168494940652
18.0,14.6,30.578168494940652
18.1,14.8,30.997047515419293
18.2,14.8,30.997047515419293
18.7,14.8,30.997047515419293
18.8,14.8,30.997047515419293
18.9,14.6,30.578168494940652
19.0,14.6,30.578168494940652
