"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.309010600E-2,-4.875000000E0,5.655000305E1,2.831250191E0,5.683031275E1
5.309010600E-2,-4.800000191E0,5.645625305E1,2.212500095E0,5.670311867E1
6.309010600E-2,-5.306250095E0,5.634375381E1,2.212500095E0,5.663629614E1
7.309010600E-2,-5.081250191E0,5.636250305E1,1.968750119E0,5.662531970E1
8.309010600E-2,-5.062500000E0,5.636250305E1,1.781250119E0,5.661743114E1
9.309010600E-2,-4.818750381E0,5.645625305E1,1.556250095E0,5.668289670E1
1.030901060E-1,-4.781250000E0,5.649375153E1,1.350000024E0,5.671178725E1
1.130901060E-1,-4.837500095E0,5.655000305E1,1.537500024E0,5.677735604E1
1.230901060E-1,-4.743750095E0,5.660625076E1,1.312500000E0,5.681983322E1
1.330901060E-1,-4.706250191E0,5.660625076E1,1.406250000E0,5.681895771E1
1.430901060E-1,-4.481250286E0,5.673750305E1,1.462500095E0,5.693298484E1
1.530901060E-1,-4.293750286E0,5.683125305E1,1.425000072E0,5.701103613E1
1.630901060E-1,-4.218750000E0,5.683125305E1,1.368750095E0,5.700405820E1
1.730901060E-1,-4.500000000E0,5.692500305E1,1.331250072E0,5.711810745E1
1.830901060E-1,-4.687500000E0,5.696250153E1,1.462500095E0,5.717375397E1
1.930901060E-1,-4.537500381E0,5.690625381E1,1.125000000E0,5.709795319E1
2.030901060E-1,-4.875000000E0,5.694375229E1,1.031250000E0,5.716135081E1
2.130901060E-1,-4.781250000E0,5.713125229E1,8.812500238E-1,5.733774447E1
2.230901060E-1,-4.781250000E0,5.716875076E1,6.187500358E-1,5.737167652E1
2.330901060E-1,-4.762500286E0,5.724375153E1,5.812500119E-1,5.744446317E1
2.430901060E-1,-4.650000095E0,5.715000153E1,8.062500358E-1,5.734453082E1
2.530901060E-1,-4.425000191E0,5.713125229E1,9.937500358E-1,5.731097760E1
2.630901060E-1,-4.143750191E0,5.692500305E1,1.050000072E0,5.708527952E1
2.730901060E-1,-3.937500238E0,5.694375229E1,1.200000048E0,5.709233603E1
2.830901060E-1,-3.581250191E0,5.677500153E1,1.331250072E0,5.690341271E1
2.930901060E-1,-3.787500143E0,5.662500381E1,1.350000024E0,5.676758507E1
3.030901060E-1,-3.637500048E0,5.653125381E1,1.425000072E0,5.666608059E1
3.130901060E-1,-3.862500191E0,5.630625153E1,1.500000000E0,5.645850572E1
3.230901060E-1,-3.956250191E0,5.638125229E1,1.537500024E0,5.654079440E1
3.330901060E-1,-4.068750381E0,5.626875305E1,1.481250048E0,5.643510788E1
3.430901060E-1,-4.350000381E0,5.625000381E1,1.481250048E0,5.643739482E1
3.530901060E-1,-4.668750286E0,5.621250153E1,1.350000024E0,5.642220358E1
3.630901060E-1,-4.781250000E0,5.638125229E1,1.125000000E0,5.659480176E1
3.730901060E-1,-4.725000381E0,5.621250153E1,1.125000000E0,5.642195124E1
3.830901060E-1,-4.725000381E0,5.625000381E1,1.125000000E0,5.645931440E1
3.930901060E-1,-4.781250000E0,5.632500076E1,8.062500358E-1,5.653331851E1
4.030901060E-1,-4.593750000E0,5.641875076E1,6.937500238E-1,5.660971000E1
4.130901060E-1,-4.462500095E0,5.638125229E1,7.500000000E-1,5.656254960E1
4.230901060E-1,-4.293750286E0,5.658750153E1,6.187500358E-1,5.675354149E1
4.330901060E-1,-4.406250000E0,5.666250229E1,7.125000358E-1,5.683803182E1
4.430901060E-1,-4.406250000E0,5.666250229E1,8.437500596E-1,5.683982863E1
4.530901060E-1,-4.200000286E0,5.688750076E1,7.500000000E-1,5.704726326E1
4.630901060E-1,-4.031250000E0,5.683125305E1,6.562500000E-1,5.697782871E1
4.730901060E-1,-3.825000048E0,5.685000229E1,1.012500048E0,5.698752971E1
4.830901060E-1,-3.956250191E0,5.700000381E1,8.625000119E-1,5.714364581E1
4.930901060E-1,-4.068750381E0,5.679375076E1,1.181250095E0,5.695156018E1
5.030901060E-1,-3.881250143E0,5.662500381E1,1.237500072E0,5.677135339E1
5.130901060E-1,-3.693750143E0,5.655000305E1,1.293750048E0,5.668527520E1
5.230901060E-1,-3.750000238E0,5.649375153E1,1.406250000E0,5.663553657E1
5.330901060E-1,-3.675000191E0,5.653125381E1,1.518750072E0,5.667093511E1
5.430901060E-1,-4.031250000E0,5.641875076E1,1.668750048E0,5.658719944E1
5.530901060E-1,-4.012500286E0,5.626875305E1,1.350000024E0,5.642778773E1
5.630901060E-1,-4.031250000E0,5.606250381E1,1.387500048E0,5.622437609E1
5.730901060E-1,-4.012500286E0,5.611875153E1,9.562500119E-1,5.627014169E1
5.830901060E-1,-4.050000191E0,5.628750229E1,9.937500358E-1,5.644176605E1
5.930901060E-1,-4.012500286E0,5.634375381E1,9.750000238E-1,5.649486151E1
6.030901060E-1,-3.993750095E0,5.643750381E1,8.625000119E-1,5.658520816E1
6.130901060E-1,-3.881250143E0,5.653125381E1,8.437500596E-1,5.667061562E1
6.230901060E-1,-3.862500191E0,5.660625076E1,9.187500477E-1,5.674531377E1
6.330901060E-1,-3.918750048E0,5.653125381E1,1.200000048E0,5.667961944E1
6.430901060E-1,-4.050000191E0,5.641875076E1,1.256250024E0,5.657787645E1
6.530901060E-1,-4.125000000E0,5.664375305E1,1.331250072E0,5.680935320E1
6.630901060E-1,-4.162500381E0,5.660625076E1,1.425000072E0,5.677697297E1
6.730901060E-1,-3.993750095E0,5.658750153E1,1.312500000E0,5.674344037E1
6.830901060E-1,-3.975000143E0,5.647500229E1,1.387500048E0,5.663171961E1
6.930901060E-1,-4.087500095E0,5.641875076E1,1.500000000E0,5.658650983E1
7.030901060E-1,-4.087500095E0,5.636250305E1,1.500000000E0,5.653042904E1
7.130901060E-1,-4.143750191E0,5.671875381E1,1.500000000E0,5.688969766E1
7.230901060E-1,-4.087500095E0,5.692500305E1,1.556250095E0,5.709278014E1
7.330901060E-1,-3.993750095E0,5.692500305E1,1.518750072E0,5.708513479E1
7.430901060E-1,-3.918750048E0,5.701875305E1,1.368750095E0,5.716964473E1
7.530901060E-1,-4.181250095E0,5.692500305E1,1.631250024E0,5.710166198E1
7.630901060E-1,-4.106250286E0,5.681250381E1,1.612500072E0,5.698352426E1
7.730901060E-1,-4.200000286E0,5.668125153E1,1.331250072E0,5.685223394E1
7.830901060E-1,-4.125000000E0,5.694375229E1,9.937500358E-1,5.710161196E1
7.930901060E-1,-4.181250095E0,5.685000229E1,1.087500095E0,5.701393048E1
8.030901060E-1,-4.162500381E0,5.692500305E1,9.375000596E-1,5.708468523E1
8.130901060E-1,-3.937500238E0,5.690625381E1,9.000000358E-1,5.704941394E1
8.230901060E-1,-4.050000191E0,5.694375229E1,8.062500358E-1,5.709328739E1
8.330901060E-1,-3.937500238E0,5.720625305E1,6.750000119E-1,5.734557456E1
8.430901060E-1,-3.881250143E0,5.724375153E1,8.250000477E-1,5.738111028E1
8.530901060E-1,-3.881250143E0,5.733750153E1,9.937500358E-1,5.747730616E1
8.630901060E-1,-3.825000048E0,5.703750229E1,1.218750000E0,5.717860303E1
8.730901060E-1,-3.843750238E0,5.705625153E1,1.068750024E0,5.719556347E1
8.830901060E-1,-3.768750191E0,5.703750229E1,1.087500095E0,5.717222054E1
8.930901060E-1,-3.881250143E0,5.711250305E1,1.293750048E0,5.725884994E1
9.030901060E-1,-3.956250191E0,5.692500305E1,1.275000095E0,5.707655835E1
9.130901060E-1,-4.087500095E0,5.686875153E1,1.331250072E0,5.703099845E1
9.230901060E-1,-3.918750048E0,5.705625153E1,1.218750000E0,5.720365191E1
9.330901060E-1,-4.125000000E0,5.698125076E1,1.031250000E0,5.713967133E1
9.430901060E-1,-4.125000000E0,5.694375229E1,9.375000596E-1,5.710066073E1
9.530901060E-1,-3.975000143E0,5.705625153E1,8.625000119E-1,5.720105218E1
9.630901060E-1,-4.087500095E0,5.694375229E1,9.750000238E-1,5.709859199E1
9.730901060E-1,-4.087500095E0,5.675625229E1,9.375000596E-1,5.691097203E1
9.830901060E-1,-3.918750048E0,5.685000229E1,1.087500095E0,5.699528067E1
9.930901060E-1,-3.975000143E0,5.679375076E1,8.250000477E-1,5.693866329E1
1.003090106E0,-4.387500286E0,5.660625076E1,9.750000238E-1,5.678440287E1
1.013090106E0,-4.237500191E0,5.664375305E1,1.050000072E0,5.681173882E1
1.023090106E0,-4.293750286E0,5.670000076E1,1.068750024E0,5.687238877E1
1.033090106E0,-4.293750286E0,5.638125229E1,9.000000358E-1,5.655167461E1
1.043090106E0,-4.293750286E0,5.640000153E1,7.312500477E-1,5.656793429E1
1.053090106E0,-4.312500000E0,5.660625076E1,6.750000119E-1,5.677429794E1
1.063090106E0,-4.462500095E0,5.653125381E1,6.375000477E-1,5.671069539E1
1.073090106E0,-4.181250095E0,5.653125381E1,7.500000000E-1,5.669063424E1
1.083090106E0,-3.900000095E0,5.653125381E1,7.500000000E-1,5.667058460E1
1.093090106E0,-3.600000143E0,5.660625076E1,7.875000238E-1,5.672607674E1
1.103090106E0,-3.675000191E0,5.686875153E1,9.375000596E-1,5.699508253E1
1.113090106E0,-3.637500048E0,5.726250076E1,1.237500072E0,5.739126072E1
1.123090106E0,-3.581250191E0,5.739375305E1,1.312500000E0,5.752035204E1
1.133090106E0,-3.562500238E0,5.741250229E1,1.218750000E0,5.753583387E1
1.143090106E0,-3.506250143E0,5.748750305E1,1.218750000E0,5.760722306E1
1.153090106E0,-3.431250095E0,5.773125076E1,1.406250000E0,5.785022326E1
1.163090106E0,-3.581250191E0,5.780625153E1,1.068750024E0,5.792693929E1
1.173090106E0,-3.900000095E0,5.786250305E1,9.562500119E-1,5.800166958E1
1.183090106E0,-3.750000238E0,5.786250305E1,6.937500238E-1,5.798804230E1
1.193090106E0,-3.825000048E0,5.786250305E1,6.750000119E-1,5.799271946E1
1.203090106E0,-3.900000095E0,5.799375153E1,6.375000477E-1,5.812823430E1
1.213090106E0,-3.862500191E0,5.803125381E1,6.750000119E-1,5.816357066E1
1.223090106E0,-3.825000048E0,5.833125305E1,8.812500238E-1,5.846317054E1
1.233090106E0,-3.900000095E0,5.806875229E1,7.312500477E-1,5.820416411E1
1.243090106E0,-3.393750191E0,5.803125381E1,8.062500358E-1,5.813599572E1
1.253090106E0,-3.243750095E0,5.808750153E1,9.750000238E-1,5.818616995E1
1.263090106E0,-3.300000191E0,5.806875229E1,1.200000048E0,5.817482268E1
1.273090106E0,-3.300000191E0,5.797500229E1,1.275000095E0,5.808284185E1
1.283090106E0,-3.187500238E0,5.801250076E1,1.443750024E0,5.811793885E1
1.293090106E0,-3.431250095E0,5.812500381E1,1.331250072E0,5.824140943E1
1.303090106E0,-3.581250191E0,5.806875229E1,1.012500048E0,5.818788965E1
1.313090106E0,-3.581250191E0,5.848125076E1,1.106250048E0,5.860124429E1
1.323090106E0,-3.768750191E0,5.866875076E1,1.200000048E0,5.880191999E1
1.333090106E0,-3.900000095E0,5.866875076E1,1.200000048E0,5.881047795E1
1.343090106E0,-3.656250238E0,5.876250076E1,9.187500477E-1,5.888330632E1
1.353090106E0,-3.787500143E0,5.893125153E1,6.750000119E-1,5.905669470E1
1.363090106E0,-3.525000095E0,5.891250229E1,6.187500358E-1,5.902110981E1
1.373090106E0,-3.112500191E0,5.866875076E1,8.250000477E-1,5.875704722E1
1.383090106E0,-2.962500095E0,5.833125305E1,9.562500119E-1,5.841426113E1
1.393090106E0,-2.906250000E0,5.818125153E1,8.812500238E-1,5.826045760E1
1.403090106E0,-3.112500191E0,5.825625229E1,8.437500596E-1,5.834544114E1
1.413090106E0,-3.018750191E0,5.805000305E1,8.625000119E-1,5.813483993E1
1.423090106E0,-3.206250191E0,5.793750381E1,1.181250095E0,5.803817485E1
1.433090106E0,-2.925000191E0,5.786250305E1,1.218750000E0,5.794920394E1
1.443090106E0,-3.000000000E0,5.788125229E1,1.237500072E0,5.797215515E1
1.453090106E0,-3.281250238E0,5.810625076E1,8.812500238E-1,5.820549444E1
1.463090106E0,-3.131250143E0,5.823750305E1,9.187500477E-1,5.832885727E1
1.473090106E0,-3.375000238E0,5.812500381E1,1.012500048E0,5.823170830E1
1.483090106E0,-3.468750238E0,5.799375153E1,9.187500477E-1,5.810466028E1
1.493090106E0,-3.581250191E0,5.808750153E1,6.750000119E-1,5.820170798E1
1.503090106E0,-3.525000095E0,5.795625305E1,5.437500477E-1,5.806589841E1
1.513090106E0,-3.581250191E0,5.797500229E1,7.875000238E-1,5.809084609E1
