"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.555605500E-2,3.843750238E0,5.465625381E1,1.537500024E0,5.481281240E1
4.555605500E-2,3.975000143E0,5.617500305E1,1.125000000E0,5.632670076E1
5.555605500E-2,3.393750191E0,5.581875229E1,9.937500358E-1,5.593065516E1
6.555605500E-2,3.337500095E0,5.581875229E1,1.275000095E0,5.593297452E1
7.555605500E-2,3.300000191E0,5.602500153E1,1.143750072E0,5.613375955E1
8.555605500E-2,3.468750238E0,5.598750305E1,9.375000596E-1,5.610268828E1
9.555605500E-2,3.656250238E0,5.606250381E1,8.812500238E-1,5.618851396E1
1.055560550E-1,3.675000191E0,5.596875381E1,8.250000477E-1,5.609534433E1
1.155560550E-1,3.825000048E0,5.610000229E1,7.312500477E-1,5.623500341E1
1.255560550E-1,3.787500143E0,5.583750153E1,6.937500238E-1,5.597010830E1
1.355560550E-1,3.956250191E0,5.585625076E1,6.000000238E-1,5.599939879E1
1.455560550E-1,3.900000095E0,5.587500381E1,3.937500119E-1,5.601232981E1
1.555560550E-1,3.862500191E0,5.566875076E1,4.500000179E-1,5.580440143E1
1.655560550E-1,3.581250191E0,5.555625153E1,7.312500477E-1,5.567636090E1
1.755560550E-1,3.300000191E0,5.542500305E1,6.750000119E-1,5.552725988E1
1.855560550E-1,3.356250048E0,5.529375076E1,7.125000358E-1,5.540009877E1
1.955560550E-1,3.093750238E0,5.491875076E1,9.000000358E-1,5.501318456E1
2.055560550E-1,2.925000191E0,5.476875305E1,1.012500048E0,5.485614909E1
2.155560550E-1,2.831250191E0,5.452500153E1,1.162500024E0,5.461083386E1
2.255560550E-1,2.718750000E0,5.420625305E1,1.237500072E0,5.428849674E1
2.355560550E-1,2.418750048E0,5.394375229E1,1.256250024E0,5.401256268E1
2.455560550E-1,2.475000143E0,5.364375305E1,1.068750024E0,5.371145217E1
2.555560550E-1,2.568750143E0,5.338125229E1,1.087500095E0,5.345408525E1
2.655560550E-1,2.306250095E0,5.302500153E1,1.200000048E0,5.308869537E1
2.755560550E-1,1.875000119E0,5.293125153E1,1.256250024E0,5.297934671E1
2.855560550E-1,1.668750048E0,5.242500305E1,1.218750000E0,5.246571283E1
2.955560550E-1,1.368750095E0,5.221875381E1,1.143750072E0,5.224920948E1
3.055560550E-1,1.368750095E0,5.205000305E1,1.331250072E0,5.208501244E1
3.155560550E-1,1.631250024E0,5.197500229E1,1.256250024E0,5.201576688E1
3.255560550E-1,1.312500000E0,5.199375153E1,1.087500095E0,5.202168308E1
3.355560550E-1,9.187500477E-1,5.195625305E1,1.106250048E0,5.197614955E1
3.455560550E-1,7.687500119E-1,5.186250305E1,9.000000358E-1,5.187600794E1
3.555560550E-1,1.106250048E0,5.184375381E1,7.312500477E-1,5.186071081E1
3.655560550E-1,1.162500024E0,5.193750381E1,7.687500119E-1,5.195619968E1
3.755560550E-1,1.200000048E0,5.186250305E1,8.062500358E-1,5.188264895E1
3.855560550E-1,1.031250000E0,5.175000381E1,5.625000000E-1,5.176333430E1
3.955560550E-1,1.106250048E0,5.150625229E1,5.062500238E-1,5.152061823E1
4.055560550E-1,1.106250048E0,5.158125305E1,6.750000119E-1,5.159752979E1
4.155560550E-1,1.462500095E0,5.133750153E1,6.562500000E-1,5.136252168E1
4.255560550E-1,1.556250095E0,5.154375076E1,6.937500238E-1,5.157190559E1
4.355560550E-1,1.462500095E0,5.167500305E1,7.312500477E-1,5.170086627E1
4.455560550E-1,1.275000095E0,5.178750229E1,5.437500477E-1,5.180604871E1
4.555560550E-1,1.425000072E0,5.178750229E1,4.125000238E-1,5.180874612E1
4.655560550E-1,1.687500119E0,5.195625305E1,2.625000179E-1,5.198431296E1
4.755560550E-1,1.575000048E0,5.178750229E1,3.750000149E-2,5.181146036E1
4.855560550E-1,1.762500048E0,5.178750229E1,-3.937500119E-1,5.181898145E1
4.955560550E-1,1.687500119E0,5.180625153E1,-5.812500119E-1,5.183698685E1
5.055560550E-1,1.762500048E0,5.178750229E1,-6.937500238E-1,5.182212934E1
5.155560550E-1,1.968750119E0,5.178750229E1,-9.750000238E-1,5.183408141E1
5.255560550E-1,2.231250048E0,5.178750229E1,-1.087500095E0,5.184695291E1
5.355560550E-1,2.306250095E0,5.197500229E1,-1.162500024E0,5.203913007E1
5.455560550E-1,2.306250095E0,5.205000305E1,-1.331250072E0,5.211807588E1
5.555560550E-1,2.231250048E0,5.246250153E1,-1.237500072E0,5.252450808E1
5.655560550E-1,2.550000191E0,5.218125153E1,-1.106250048E0,5.225523228E1
5.755560550E-1,2.493750095E0,5.231250381E1,-1.162500024E0,5.238480936E1
5.855560550E-1,2.268750191E0,5.233125305E1,-1.143750072E0,5.239289492E1
5.955560550E-1,2.212500095E0,5.212500381E1,-1.275000095E0,5.218751579E1
6.055560550E-1,2.062500000E0,5.216250229E1,-1.312500000E0,5.221975878E1
6.155560550E-1,2.175000191E0,5.212500381E1,-1.331250072E0,5.218734401E1
6.255560550E-1,2.437500000E0,5.208750153E1,-1.125000000E0,5.215663761E1
6.355560550E-1,2.868750095E0,5.203125381E1,-1.125000000E0,5.212242057E1
6.455560550E-1,3.018750191E0,5.238750076E1,-6.375000477E-1,5.247827641E1
6.555560550E-1,3.318750143E0,5.263125229E1,-4.875000119E-1,5.273803633E1
6.655560550E-1,3.675000191E0,5.268750381E1,-5.437500477E-1,5.281831452E1
6.755560550E-1,3.956250191E0,5.287500381E1,-2.812500000E-1,5.302355180E1
6.855560550E-1,4.500000000E0,5.302500153E1,-1.687500030E-1,5.321587417E1
6.955560550E-1,4.781250000E0,5.315625381E1,-3.750000149E-2,5.337086356E1
7.055560550E-1,4.743750095E0,5.321250153E1,7.500000298E-2,5.342358195E1
7.155560550E-1,4.818750381E0,5.319375229E1,1.875000075E-2,5.341157168E1
7.255560550E-1,4.856250286E0,5.310000229E1,-3.187500238E-1,5.332255631E1
7.355560550E-1,5.006250381E0,5.296875381E1,-3.000000119E-1,5.320565218E1
7.455560550E-1,5.306250095E0,5.313750076E1,-2.812500000E-1,5.340252222E1
7.555560550E-1,5.400000095E0,5.319375229E1,-4.687500298E-1,5.346919684E1
7.655560550E-1,5.643750191E0,5.310000229E1,-4.500000179E-1,5.340097995E1
7.755560550E-1,5.587500095E0,5.300625229E1,-4.875000119E-1,5.330216314E1
7.855560550E-1,5.906250000E0,5.295000076E1,-4.687500298E-1,5.328044760E1
7.955560550E-1,6.056250095E0,5.302500153E1,-2.250000089E-1,5.337021245E1
8.055560550E-1,6.168750286E0,5.295000076E1,-1.500000060E-1,5.330833482E1
8.155560550E-1,6.243750095E0,5.285625076E1,-2.812500000E-1,5.322449400E1
8.255560550E-1,6.206250191E0,5.263125229E1,-3.187500238E-1,5.299686652E1
8.355560550E-1,6.225000381E0,5.244375229E1,-1.125000045E-1,5.281202931E1
