t, peaks/s, omega 
0,46.2,36.28539514896211
0.1,45.2,35.499996985564664
0.2,43.6,34.24335992412875
0.3,42.0,32.98672286269283
0.4,40.8,32.044245066615886
0.5,39.8,31.25884690321844
0.6,38.6,30.316369107141504
0.7,37.4,29.373891311064565
0.8,36.6,28.74557278034661
0.9,35.6,27.96017461694916
1.0,34.6,27.17477645355171
1.1,33.8,26.54645792283375
1.2,33.0,25.918139392115794
1.3,32.2,25.289820861397835
1.4,31.4,24.661502330679873
1.5,30.6,24.03318379996192
1.6,30.0,23.561944901923447
1.7,29.6,23.24778563656447
1.8,28.8,22.61946710584651
1.9,28.0,21.991148575128552
2.0,27.6,21.676989309769574
2.1,27.0,21.205750411731103
2.2,26.4,20.734511513692635
2.3,26.0,20.420352248333657
2.4,25.6,20.106192982974676
2.5,25.0,19.634954084936208
2.6,24.6,19.32079481957723
2.7,24.0,18.84955592153876
2.8,23.6,18.53539665617978
2.9,23.4,18.378317023500287
3.0,23.0,18.06415775814131
3.1,22.6,17.749998492782332
3.2,22.2,17.43583922742335
3.3,21.8,17.121679962064373
3.4,21.4,16.807520696705392
3.5,21.2,16.6504410640259
3.6,20.8,16.336281798666924
3.7,20.4,16.022122533307943
3.8,20.0,15.707963267948966
3.9,19.6,15.393804002589988
4.0,19.2,15.079644737231007
4.1,19.0,14.922565104551516
4.2,18.8,14.765485471872028
4.3,18.6,14.608405839192539
4.4,18.4,14.451326206513047
4.5,18.2,14.294246573833558
4.6,17.8,13.98008730847458
4.7,17.8,13.98008730847458
4.8,17.6,13.823007675795091
4.9,17.4,13.6659280431156
5.0,17.2,13.50884841043611
5.1,17.0,13.351768777756622
5.2,16.8,13.194689145077131
5.3,16.6,13.037609512397642
5.4,16.4,12.88052987971815
5.5,16.0,12.566370614359172
5.6,16.0,12.566370614359172
5.7,15.6,12.252211349000193
5.8,15.6,12.252211349000193
5.9,15.4,12.095131716320704
6.0,15.4,12.095131716320704
6.1,15.2,11.938052083641214
6.2,15.2,11.938052083641214
6.3,15.0,11.780972450961723
6.4,14.8,11.623892818282235
6.5,14.8,11.623892818282235
6.6,14.6,11.466813185602744
6.7,14.4,11.309733552923255
6.8,14.2,11.152653920243765
6.9,14.2,11.152653920243765
7.0,13.8,10.838494654884787
7.1,13.6,10.681415022205297
7.2,13.4,10.524335389525808
7.3,13.2,10.367255756846317
7.4,13.0,10.210176124166829
7.5,12.8,10.053096491487338
7.6,12.8,10.053096491487338
7.7,12.8,10.053096491487338
7.8,12.6,9.896016858807847
7.9,12.4,9.738937226128359
8.0,12.4,9.738937226128359
8.1,12.2,9.581857593448868
8.2,11.8,9.26769832808989
8.3,11.8,9.26769832808989
8.4,11.8,9.26769832808989
8.5,11.8,9.26769832808989
8.6,11.6,9.1106186954104
8.7,11.6,9.1106186954104
8.8,11.4,8.953539062730911
8.9,11.2,8.79645943005142
9.0,11.0,8.63937979737193
9.1,11.0,8.63937979737193
9.2,11.0,8.63937979737193
9.3,10.8,8.482300164692441
9.4,10.6,8.32522053201295
9.5,10.4,8.168140899333462
9.6,10.2,8.011061266653972
9.7,10.0,7.853981633974483
9.8,10.0,7.853981633974483
9.9,10.0,7.853981633974483
10.0,10.0,7.853981633974483
10.1,10.0,7.853981633974483
10.2,10.0,7.853981633974483
10.3,10.0,7.853981633974483
10.4,10.0,7.853981633974483
10.5,9.8,7.696902001294994
10.6,9.6,7.5398223686155035
10.7,9.4,7.382742735936014
10.8,9.2,7.225663103256523
10.9,9.0,7.0685834705770345
11.0,9.0,7.0685834705770345
11.1,9.0,7.0685834705770345
11.2,9.0,7.0685834705770345
11.3,9.0,7.0685834705770345
11.4,8.8,6.911503837897546
11.5,8.8,6.911503837897546
11.6,8.8,6.911503837897546
11.7,8.8,6.911503837897546
11.8,8.8,6.911503837897546
11.9,8.8,6.911503837897546
12.0,8.6,6.754424205218055
12.1,8.4,6.5973445725385655
12.2,8.2,6.440264939859075
12.3,8.0,6.283185307179586
12.4,8.0,6.283185307179586
12.5,8.0,6.283185307179586
12.6,8.0,6.283185307179586
12.7,8.0,6.283185307179586
12.8,7.8,6.126105674500097
12.9,7.8,6.126105674500097
13.0,7.8,6.126105674500097
13.1,7.8,6.126105674500097
13.2,7.6,5.969026041820607
13.3,7.6,5.969026041820607
13.4,7.6,5.969026041820607
13.5,7.6,5.969026041820607
13.6,7.4,5.811946409141117
13.7,7.4,5.811946409141117
13.8,7.6,5.969026041820607
13.9,7.4,5.811946409141117
14.0,7.2,5.654866776461628
14.1,7.2,5.654866776461628
14.2,7.2,5.654866776461628
14.3,7.0,5.497787143782138
14.4,7.0,5.497787143782138
14.5,6.8,5.340707511102648
14.6,6.8,5.340707511102648
14.7,6.8,5.340707511102648
14.8,6.6,5.183627878423159
14.9,6.6,5.183627878423159
15.0,6.8,5.340707511102648
15.1,6.6,5.183627878423159
15.2,6.6,5.183627878423159
15.3,6.8,5.340707511102648
15.4,6.6,5.183627878423159
15.5,6.6,5.183627878423159
15.6,6.6,5.183627878423159
15.7,6.4,5.026548245743669
15.8,6.4,5.026548245743669
15.9,6.4,5.026548245743669
16.0,6.2,4.869468613064179
16.1,6.2,4.869468613064179
16.2,6.2,4.869468613064179
16.3,5.8,4.5553093477052
16.4,5.8,4.5553093477052
16.5,5.8,4.5553093477052
16.6,5.8,4.5553093477052
16.7,5.8,4.5553093477052
16.8,5.8,4.5553093477052
16.9,5.8,4.5553093477052
17.0,5.6,4.39822971502571
17.1,5.6,4.39822971502571
17.2,5.6,4.39822971502571
17.3,5.8,4.5553093477052
17.4,5.8,4.5553093477052
17.5,5.8,4.5553093477052
17.6,5.8,4.5553093477052
17.7,5.6,4.39822971502571
17.8,5.6,4.39822971502571
17.9,5.4,4.241150082346221
18.0,5.6,4.39822971502571
18.1,5.4,4.241150082346221
18.2,5.4,4.241150082346221
18.3,5.2,4.084070449666731
18.4,5.2,4.084070449666731
